channel,disg_feel_esc-con,disg_feel_pla-con,disg_supp-esc-con,disg_supp_pla-con,fear_feel_esc-con,fear_feel_pla-con,fear_supp_esc-con,fear_supp_pla-con,fear-disg_pla,fear-disg_esc
1,-2.150,0,0,0,0,0,0,0,0,-2.424
2,-2.150,0,0,0,0,0,0,0,0,-2.424
3,-2.150,0,0,0,0,0,0,0,0,-2.424
4,-2.150,0,0,0,0,0,0,0,0,-2.424
5,-2.150,0,0,0,0,0,0,0,0,-2.424
6,-2.150,0,0,0,0,0,0,0,0,-2.424
7,-1.961,0,0,0,0,0,0,0,0,0
8,-1.961,0,0,0,0,0,0,0,0,0
9,-1.961,0,0,0,0,0,0,0,0,0
10,-1.961,0,0,0,0,0,0,0,0,0
11,0,0,0,0,2.241,0,0,2.003,0,-2.329
12,0,0,0,0,2.241,0,0,2.003,0,-2.329
13,0,0,0,0,2.241,0,0,2.003,0,-2.329
14,0,0,0,0,2.241,0,0,2.003,0,-2.329
15,0,0,0,0,2.241,0,0,2.003,0,-2.329
16,0,0,0,0,2.241,0,0,2.003,0,-2.329
