"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.198459,-3.160195,-1.11014,-11.18197,-0.983132,-10.29103,-0.127008,-1.519899
"doxy",1,0.600952,17.66939,0.835167,15.53293,0.951987,18.39999,-0.116821,-2.581327
"oxy",9,-0.323599,-18.69215,-0.631966,-23.09106,-0.295636,-11.22572,-0.33633,-14.60021
"doxy",9,-0.129614,-13.13785,-0.45342,-29.07167,-0.183909,-12.25398,-0.269512,-20.53007
"oxy",2,0.126317,4.842286,0.045565,1.104897,0.349076,8.796554,-0.303511,-8.743869
"doxy",2,0.269246,22.82453,0.089033,4.774198,0.167503,9.33425,-0.07847,-4.999182
"oxy",10,-0.440007,-19.01776,-0.931015,-25.45393,-0.381615,-10.8425,-0.5494,-17.84557
"doxy",10,-0.290934,-15.08952,-0.6853,-22.48332,-0.263561,-8.986025,-0.421739,-16.43867
"oxy",3,0.128509,2.185587,0.309547,3.330116,1.039593,11.62258,-0.730046,-9.330964
"doxy",3,0.704225,35.15228,0.409795,12.93917,0.38325,12.5756,0.026545,0.995778
"oxy",11,0.121468,4.513815,-0.02822,-0.663341,0.075681,1.84872,-0.103901,-2.901628
"doxy",11,0.327539,17.394,0.179881,6.042529,0.195815,6.835763,-0.015935,-0.635941
"oxy",4,0.642455,17.30668,0.720915,12.28438,0.638896,11.31372,0.082019,1.660466
"doxy",4,0.694075,23.75486,0.802835,17.38085,0.589849,13.27064,0.212986,5.47822
"oxy",12,0.432213,9.898957,0.442078,6.404552,0.379581,5.714794,0.062497,1.075703
"doxy",12,0.331789,17.82554,0.015961,0.542426,0.290314,10.25306,-0.274353,-11.07726
"oxy",5,0.331192,13.51458,-0.023394,-0.603835,0.227336,6.098111,-0.25073,-7.689003
"doxy",5,0.697828,32.34352,0.321424,9.42358,0.397535,12.11208,-0.076111,-2.651101
"oxy",13,-0.115994,-5.283422,-0.333458,-9.607686,0.183006,5.479596,-0.516463,-17.67913
"doxy",13,0.048882,2.501791,-0.671713,-21.74613,-0.291352,-9.802186,-0.380361,-14.62977
"oxy",6,0.643784,16.88851,0.083499,1.385572,0.290807,5.014881,-0.207308,-4.087049
"doxy",6,0.496699,29.71958,0.246401,9.325861,0.462438,18.18891,-0.216037,-9.714463
"oxy",14,0.418718,11.5034,-0.038593,-0.670674,0.290383,5.244206,-0.328976,-6.792194
"doxy",14,0.622073,21.40035,-0.137404,-2.990034,0.097145,2.196861,-0.234548,-6.06392
"oxy",7,0.393028,11.28133,0.209932,3.811652,0.347789,6.562306,-0.137857,-2.973762
"doxy",7,0.424701,23.03686,0.287997,9.881573,0.325398,11.60273,-0.037402,-1.524659
"oxy",15,-0.079119,-2.296348,-0.665564,-12.21931,-0.238954,-4.559081,-0.42661,-9.305324
"doxy",15,0.364985,13.8114,-0.854156,-20.44553,-0.518064,-12.88697,-0.336092,-9.55792
"oxy",8,0.075415,1.803424,-0.375345,-5.677629,-0.102505,-1.611346,-0.27284,-4.90329
"doxy",8,0.131569,7.827595,-0.1614,-6.074021,-0.015261,-0.59683,-0.146139,-6.534068
"oxy",16,0.046947,1.512427,-0.745341,-15.18862,-0.319192,-6.759597,-0.42615,-10.31736
"doxy",16,0.557744,29.58384,-0.330992,-11.10541,-0.125438,-4.373755,-0.205553,-8.193804
