"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.077454,-8.497605,0.020111,2.849778,-0.164266,-21.89289,0.020111,2.849778,-0.164266,-21.89289,-0.184377,-20.6186,-0.144155,-12.53599
"doxy",1,0.022028,3.197266,0.00806,1.510996,0.12488,22.01896,0.00806,1.510996,0.12488,22.01896,0.11682,17.28297,0.13294,15.29442
"oxy",9,0.114833,15.0888,-0.002077,-0.352577,-0.063847,-10.19141,-0.002077,-0.352577,-0.063847,-10.19141,-0.06177,-8.273044,-0.065925,-6.866157
"doxy",9,0.032124,7.983717,0.011782,3.781947,-0.043668,-13.18384,0.011782,3.781947,-0.043668,-13.18384,-0.05545,-14.04676,-0.031886,-6.281365
"oxy",2,0.026277,4.962424,-0.018699,-4.561034,-0.089787,-20.59819,-0.018699,-4.561034,-0.089787,-20.59819,-0.071088,-13.68383,-0.108486,-16.23916
"doxy",2,0.062338,18.36618,-0.005233,-1.991388,0.090331,32.32988,-0.005233,-1.991388,0.090331,32.32988,0.095564,28.69853,0.085098,19.8728
"oxy",10,-0.080638,-9.094803,0.047844,6.969649,-0.165728,-22.70682,0.047844,6.969649,-0.165728,-22.70682,-0.213572,-24.55285,-0.117884,-10.53874
"doxy",10,-0.036587,-8.030472,0.010472,2.968627,-0.05636,-15.02761,0.010472,2.968627,-0.05636,-15.02761,-0.066832,-14.95195,-0.045889,-7.983533
"oxy",3,-0.252381,-27.33566,-0.153037,-21.40904,-0.103072,-13.56183,-0.153037,-21.40904,-0.103072,-13.56183,0.049965,5.516189,-0.256109,-21.98747
"doxy",3,-0.122236,-24.36738,-0.085764,-22.0822,0.069971,16.94462,-0.085764,-22.0822,0.069971,16.94462,0.155735,31.64442,-0.015793,-2.495459
"oxy",11,0.058201,7.201746,-0.013623,-2.177329,-0.05487,-8.248079,-0.013623,-2.177329,-0.05487,-8.248079,-0.041247,-5.202407,-0.068494,-6.717989
"doxy",11,-0.040455,-8.387456,0.050669,13.56824,-0.007934,-1.998309,0.050669,13.56824,-0.007934,-1.998309,-0.058603,-12.38444,0.042735,7.022826
"oxy",4,0.074635,9.546373,-0.06374,-10.53023,-0.089885,-13.96648,-0.06374,-10.53023,-0.089885,-13.96648,-0.026145,-3.408629,-0.153625,-15.57528
"doxy",4,0.042593,12.02581,-0.057085,-20.81762,0.038098,13.06728,-0.057085,-20.81762,0.038098,13.06728,0.095184,27.39309,-0.018987,-4.249323
"oxy",12,0.04382,6.575035,0.102445,19.85382,-0.199161,-36.30217,0.102445,19.85382,-0.199161,-36.30217,-0.301606,-46.12815,-0.096716,-11.50267
"doxy",12,0.132478,29.97192,0.060884,17.79114,0.010486,2.881974,0.060884,17.79114,0.010486,2.881974,-0.050398,-11.62216,0.071371,12.79872
"oxy",5,-0.204817,-23.43646,-0.06103,-9.019767,-0.089136,-12.39034,-0.06103,-9.019767,-0.089136,-12.39034,-0.028106,-3.27816,-0.150166,-13.61991
"doxy",5,-0.148824,-34.38389,0.073306,21.87518,-0.003801,-1.066695,0.073306,21.87518,-0.003801,-1.066695,-0.077107,-18.15838,0.069506,12.72859
"oxy",13,0.004937,0.884253,0.015466,3.577688,-0.129185,-28.10727,0.015466,3.577688,-0.129185,-28.10727,-0.144651,-26.40734,-0.113719,-16.14409
"doxy",13,0.135864,30.48184,0.056691,16.42784,0.151536,41.30067,0.056691,16.42784,0.151536,41.30067,0.094845,21.68964,0.208228,37.02985
