"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.580753,-39.47327,-0.232045,-19.36021,0.137689,10.94849,-0.232045,-19.36021,0.137689,10.94849,0.369734,25.8115,-0.094357,-4.72707
"doxy",1,0.265292,34.35818,0.276023,43.88102,0.153631,23.27705,0.276023,43.88102,0.153631,23.27705,-0.122393,-16.28068,0.429654,41.01398
"oxy",9,-0.418946,-44.60361,-0.101143,-13.21828,0.022966,2.860553,-0.101143,-13.21828,0.022966,2.860553,0.12411,13.57158,-0.078177,-6.13477
"doxy",9,-0.002967,-0.57709,-0.025662,-6.12771,0.006717,1.528671,-0.025662,-6.12771,0.006717,1.528671,0.032379,6.469346,-0.018945,-2.716315
"oxy",2,-0.230701,-27.9892,-0.244854,-36.46475,-0.036823,-5.226463,-0.244854,-36.46475,-0.036823,-5.226463,0.208031,25.92269,-0.281677,-25.18836
"doxy",2,-0.088987,-18.09911,0.020058,5.007791,-0.053428,-12.71292,0.020058,5.007791,-0.053428,-12.71292,-0.073486,-15.35144,-0.03337,-5.002596
"oxy",10,-0.412235,-50.36992,-0.174036,-26.10307,-0.019855,-2.838239,-0.174036,-26.10307,-0.019855,-2.838239,0.154181,19.34947,-0.193891,-17.46196
"doxy",10,-0.083871,-14.62023,-0.062682,-13.41252,-0.012675,-2.584812,-0.062682,-13.41252,-0.012675,-2.584812,0.050007,8.95337,-0.075357,-9.682163
"oxy",3,-0.354999,-21.08168,-0.238562,-17.39027,0.114975,7.987801,-0.238562,-17.39027,0.114975,7.987801,0.353538,21.56386,-0.123587,-5.409535
"doxy",3,0.317725,27.29138,0.336606,35.49129,0.109239,10.97733,0.336606,35.49129,0.109239,10.97733,-0.227367,-20.05922,0.445845,28.22708
"oxy",11,-0.381994,-31.15832,0.073876,7.396872,0.128025,12.21679,0.073876,7.396872,0.128025,12.21679,0.054149,4.536482,0.201901,12.13849
"doxy",11,0.134644,16.96963,0.124005,19.18439,0.193806,28.57562,0.124005,19.18439,0.193806,28.57562,0.069801,9.035646,0.31781,29.52299
"oxy",4,-0.314849,-47.95696,-0.174787,-32.68013,-0.036197,-6.450081,-0.174787,-32.68013,-0.036197,-6.450081,0.13859,21.68171,-0.210984,-23.68679
"doxy",4,0.061969,14.81351,0.089944,26.39267,0.027796,7.773448,0.089944,26.39267,0.027796,7.773448,-0.062148,-15.25894,0.11774,20.7452
"oxy",12,-0.659924,-61.15178,-0.023838,-2.711492,0.1069,11.5888,-0.023838,-2.711492,0.1069,11.5888,0.130738,12.44313,0.083062,5.673188
"doxy",12,-0.002656,-0.498227,0.101354,23.3368,0.138925,30.48599,0.101354,23.3368,0.138925,30.48599,0.037571,7.238384,0.24028,33.21992
"oxy",5,-0.468259,-41.74603,-0.069013,-7.552373,0.121758,12.69904,-0.069013,-7.552373,0.121758,12.69904,0.190771,17.46839,0.052745,3.465937
"doxy",5,0.019485,2.013453,0.272368,34.54885,0.194847,23.55543,0.272368,34.54885,0.194847,23.55543,-0.077521,-8.227757,0.467215,35.5858
"oxy",13,-0.416804,-45.55963,-0.123506,-16.57154,0.010434,1.334326,-0.123506,-16.57154,0.010434,1.334326,0.133941,15.03742,-0.113072,-9.109834
"doxy",13,0.339798,65.32069,0.150439,35.49893,0.075621,17.00656,0.150439,35.49893,0.075621,17.00656,-0.074818,-14.77227,0.22606,32.03028
"oxy",6,-0.582589,-46.62275,-0.114422,-11.24011,0.160063,14.98547,-0.114422,-11.24011,0.160063,14.98547,0.274485,22.5614,0.045641,2.692138
"doxy",6,0.064402,8.873711,0.183712,31.07206,0.149656,24.12373,0.183712,31.07206,0.149656,24.12373,-0.034056,-4.819673,0.333368,33.85618
"oxy",14,-0.434375,-32.25327,0.026328,2.399694,0.127059,11.03718,0.026328,2.399694,0.127059,11.03718,0.10073,7.682142,0.153387,8.394697
"doxy",14,0.188157,22.23112,0.273804,39.71061,0.188988,26.12284,0.273804,39.71061,0.188988,26.12284,-0.084816,-10.29271,0.462792,40.30277
"oxy",7,-0.629462,-57.35486,-0.150328,-16.81387,0.065332,6.964175,-0.150328,-16.81387,0.065332,6.964175,0.21566,20.18288,-0.084997,-5.708348
"doxy",7,-0.085935,-12.77565,0.110887,20.23562,0.05064,8.807366,0.110887,20.23562,0.05064,8.807366,-0.060247,-9.199414,0.161526,17.69956
"oxy",15,-0.448286,-45.55756,-0.15418,-19.23355,0.000291,0.034636,-0.15418,-19.23355,0.000291,0.034636,0.154472,16.12375,-0.153889,-11.5271
"doxy",15,0.394518,68.13079,0.173272,36.73092,0.071772,14.50036,0.173272,36.73092,0.071772,14.50036,-0.1015,-18.00342,0.245045,31.19105
"oxy",8,-0.801963,-76.91423,-0.302003,-35.55404,-0.03371,-3.782335,-0.302003,-35.55404,-0.03371,-3.782335,0.268292,26.42854,-0.335713,-23.73167
"doxy",8,-0.056857,-9.145995,-0.008691,-1.716139,-0.070931,-13.34824,-0.008691,-1.716139,-0.070931,-13.34824,-0.06224,-10.28308,-0.079622,-9.440296
"oxy",16,-0.282407,-45.09438,-0.082336,-16.13837,0.016841,3.146016,-0.082336,-16.13837,0.016841,3.146016,0.099177,16.26553,-0.065495,-7.708308
"doxy",16,0.168988,39.16469,0.048361,13.75824,-0.008298,-2.249912,0.048361,13.75824,-0.008298,-2.249912,-0.05666,-13.48727,0.040063,6.843716
