"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.291602,-27.3925,-0.173099,-24.05019,-0.173099,-24.05019
"doxy",1,0.389915,40.10045,0.002991,0.455022,0.002991,0.455022
"oxy",9,-0.517606,-52.74049,-0.175102,-26.3888,-0.175102,-26.3888
"doxy",9,-0.083088,-8.886611,-0.141052,-22.31301,-0.141052,-22.31301
"oxy",2,-0.399773,-47.36469,-0.046642,-8.17336,-0.046642,-8.17336
"doxy",2,0.040601,6.267248,0.045215,10.32308,0.045215,10.32308
"oxy",10,-0.557222,-53.284,-0.214991,-30.40691,-0.214991,-30.40691
"doxy",10,-0.022918,-3.435834,-0.13793,-30.58488,-0.13793,-30.58488
"oxy",3,-0.709502,-49.97858,-0.12014,-12.51702,-0.12014,-12.51702
"doxy",3,0.613846,37.45339,-0.066993,-6.045623,-0.066993,-6.045623
"oxy",11,-0.472973,-43.55446,-0.099849,-13.59946,-0.099849,-13.59946
"doxy",11,-0.188497,-19.93098,0.107256,16.77379,0.107256,16.77379
"oxy",4,-0.367419,-25.38668,0.140514,14.35975,0.140514,14.35975
"doxy",4,-0.011016,-0.700773,0.253604,23.86169,0.253604,23.86169
"oxy",12,-0.502587,-35.81939,-0.000418,-0.044064,-0.000418,-0.044064
"doxy",12,0.279465,36.08454,0.02752,5.255675,0.02752,5.255675
"oxy",5,-0.569162,-51.64776,0.004953,0.664725,0.004953,0.664725
"doxy",5,0.031022,2.952762,0.205329,28.90597,0.205329,28.90597
"oxy",13,-0.286964,-44.54369,-0.027558,-6.326808,-0.027558,-6.326808
"doxy",13,0.403487,53.58925,0.139027,27.31066,0.139027,27.31066
"oxy",6,-0.63785,-37.46062,0.156857,13.62525,0.156857,13.62525
"doxy",6,0.225363,19.49753,0.165794,21.21539,0.165794,21.21539
"oxy",14,-0.433539,-28.08947,0.28314,27.13319,0.28314,27.13319
"doxy",14,0.365907,12.81475,0.618785,32.05256,0.618785,32.05256
"oxy",7,-0.595742,-65.91217,0.01528,2.500448,0.01528,2.500448
"doxy",7,-0.041593,-5.674766,0.010686,2.156442,0.010686,2.156442
"oxy",15,-0.378592,-36.3401,-0.225734,-32.04764,-0.225734,-32.04764
"doxy",15,0.765417,55.02749,-0.08423,-8.956322,-0.08423,-8.956322
"oxy",8,-0.773097,-54.90447,0.052847,5.551103,0.052847,5.551103
"doxy",8,-0.031099,-3.628618,0.107287,18.51488,0.107287,18.51488
"oxy",16,-0.430872,-53.62588,-0.154631,-28.46478,-0.154631,-28.46478
"doxy",16,0.368567,45.62724,-0.090574,-16.58415,-0.090574,-16.58415
