"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.039259,-0.290013,-1.039168,-4.605929,-1.044472,-4.895392,0.005304,0.027589
"doxy",1,-0.009188,-0.045082,1.856047,5.464266,1.82168,5.671187,0.034367,0.11873
"oxy",9,0.469435,24.58918,0.119177,3.745523,0.019789,0.657653,0.099388,3.665487
"doxy",9,-0.078,-10.61297,-0.202881,-16.56282,0.093162,8.042511,-0.296044,-28.36119
"oxy",2,0.260555,20.08987,0.286277,13.24392,0.034409,1.683312,0.251868,13.67348
"doxy",2,-0.159179,-27.55,-0.232836,-24.17896,0.007754,0.851498,-0.24059,-29.3185
"oxy",10,0.877552,45.27228,0.355421,11.00156,-0.024104,-0.788964,0.379524,13.78567
"doxy",10,-0.164183,-16.09551,-0.183735,-10.80739,0.156737,9.748992,-0.340472,-23.50103
"oxy",3,0.515589,5.373871,-0.478391,-2.991704,-0.347666,-2.299098,-0.130725,-0.959333
"doxy",3,-0.271651,-1.765414,-0.371497,-1.448582,1.199538,4.946078,-1.571035,-7.188697
"oxy",11,0.576277,30.41374,0.1784,5.649175,-0.028624,-0.958468,0.207024,7.692847
"doxy",11,-0.292884,-38.03121,-0.15685,-12.22025,0.13156,10.83878,-0.28841,-26.36836
"oxy",4,0.338025,18.38161,0.573566,18.71418,0.228267,7.87572,0.345299,13.22083
"doxy",4,-0.046127,-7.14021,-0.081834,-7.60052,0.091898,9.025592,-0.173732,-18.93505
"oxy",12,0.645981,40.26792,0.215033,8.042616,-0.051514,-2.037401,0.266547,11.69883
"doxy",12,-0.397598,-38.81033,-0.197279,-11.55409,0.155328,9.61976,-0.352607,-24.23385
"oxy",5,0.626124,13.08952,0.344139,4.316672,-0.154748,-2.052582,0.498887,7.343349
"doxy",5,-0.077224,-0.468246,-1.083735,-3.94274,0.254363,0.978563,-1.338098,-5.712675
"oxy",13,0.660412,39.32297,0.269884,9.641863,-0.004448,-0.168046,0.274332,11.50104
"doxy",13,-0.289156,-37.09942,-0.172094,-13.24812,0.085562,6.965084,-0.257656,-23.27579
"oxy",6,0.597357,41.32011,0.551075,22.87129,0.08737,3.834434,0.463705,22.58386
"doxy",6,-0.071893,-10.48633,-0.091034,-7.96696,0.11436,10.58333,-0.205394,-21.09372
"oxy",14,0.468466,31.68543,0.291675,11.83677,0.028688,1.231099,0.262987,12.52405
"doxy",14,-0.162815,-20.79446,-0.048117,-3.687269,0.086385,7.000057,-0.134502,-12.09512
"oxy",7,0.630489,36.84422,-0.009103,-0.319186,-0.177328,-6.574774,0.168225,6.921667
"doxy",7,-0.015594,-1.444742,-0.337122,-18.74048,0.033655,1.978344,-0.370777,-24.18705
"oxy",15,0.501218,26.30089,0.303776,9.564231,0.00649,0.216081,0.297286,10.98366
"doxy",15,-0.249559,-25.96832,-0.047979,-2.995517,0.120116,7.930198,-0.168095,-12.31557
"oxy",8,0.971521,61.32292,0.392078,14.84894,-0.065129,-2.608303,0.457207,20.31948
"doxy",8,-0.062902,-6.09091,-0.157076,-9.126032,0.177626,10.91283,-0.334701,-22.81953
"oxy",16,0.476658,24.63699,0.030832,0.956174,-0.211916,-6.949546,0.242748,8.834174
"doxy",16,-0.250289,-23.42031,-0.337544,-18.95109,0.075165,4.462533,-0.412709,-27.19098
