"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.298238,10.20914,-0.154351,-7.797562,-0.154351,-7.797562
"doxy",1,-0.471939,-9.957911,0.291305,9.070981,0.291305,9.070981
"oxy",9,-0.0661,-4.865578,-0.154254,-16.75686,-0.154254,-16.75686
"doxy",9,0.104832,13.62299,-0.029204,-5.600793,-0.029204,-5.600793
"oxy",2,-0.077592,-7.77715,-0.049653,-7.344652,-0.049653,-7.344652
"doxy",2,-0.136405,-32.84548,0.080381,28.56426,0.080381,28.56426
"oxy",10,-0.067006,-4.112838,-0.235231,-21.30836,-0.235231,-21.30836
"doxy",10,0.164211,20.79451,0.040392,7.548655,0.040392,7.548655
"oxy",3,0.351718,6.101104,0.310135,7.939421,0.310135,7.939421
"doxy",3,-0.196491,-1.393889,0.607862,6.363789,0.607862,6.363789
"oxy",11,-0.176768,-15.90645,-0.152013,-20.18713,-0.152013,-20.18713
"doxy",11,0.035885,4.555751,0.044722,8.379039,0.044722,8.379039
"oxy",4,-0.002845,-0.265068,-0.041794,-5.747216,-0.041794,-5.747216
"doxy",4,-0.050383,-12.56943,0.089819,33.0692,0.089819,33.0692
"oxy",12,-0.044854,-3.643436,-0.065885,-7.898078,-0.065885,-7.898078
"doxy",12,0.043015,5.862668,0.183801,36.96946,0.183801,36.96946
"oxy",5,-0.031857,-0.826634,0.050651,1.939627,0.050651,1.939627
"doxy",5,0.130297,1.034572,0.71202,8.343392,0.71202,8.343392
"oxy",13,-0.160987,-14.37589,-0.119155,-15.70293,-0.119155,-15.70293
"doxy",13,0.030149,5.336242,0.093585,24.44534,0.093585,24.44534
"oxy",6,-0.128539,-9.673351,-0.150134,-16.67418,-0.150134,-16.67418
"doxy",6,0.092596,19.48968,0.055403,17.20952,0.055403,17.20952
"oxy",14,-0.163064,-19.14999,-0.045445,-7.876353,-0.045445,-7.876353
"doxy",14,-0.03587,-9.449398,0.082626,32.1231,0.082626,32.1231
"oxy",7,0.022005,1.004175,-0.385946,-25.99253,-0.385946,-25.99253
"doxy",7,0.169077,14.82959,-0.210857,-27.29343,-0.210857,-27.29343
"oxy",15,-0.152995,-14.91072,-0.10032,-14.42887,-0.10032,-14.42887
"doxy",15,-0.055337,-7.528771,0.108458,21.77673,0.108458,21.77673
"oxy",8,0.057136,2.874396,-0.331718,-24.62804,-0.331718,-24.62804
"doxy",8,0.219977,28.65228,-0.080977,-15.56575,-0.080977,-15.56575
"oxy",16,-0.091188,-4.95474,-0.320084,-25.66689,-0.320084,-25.66689
"doxy",16,-0.141022,-10.75855,0.102187,11.50511,0.102187,11.50511
