"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.003259,-1.124991,-0.090209,-43.83786,-0.090209,-43.83786
"doxy",1,0.003757,0.846696,0.141319,44.83207,0.141319,44.83207
"oxy",9,-0.097396,-11.22674,0.034968,5.674205,0.034968,5.674205
"doxy",9,0.044365,7.336983,0.208048,48.43658,0.208048,48.43658
"oxy",2,-0.17757,-18.24556,-0.04065,-5.879947,-0.04065,-5.879947
"doxy",2,0.023027,5.97253,0.092283,33.69565,0.092283,33.69565
"oxy",10,-0.128438,-9.100296,0.204087,20.35659,0.204087,20.35659
"doxy",10,0.125012,15.72605,0.383472,67.90916,0.383472,67.90916
"oxy",3,-0.073035,-4.031044,0.119725,9.302456,0.119725,9.302456
"doxy",3,-0.053484,-2.135077,-0.045903,-2.579657,-0.045903,-2.579657
"oxy",11,-0.032152,-3.191291,-0.02539,-3.547647,-0.02539,-3.547647
"doxy",11,0.079601,10.155,0.227334,40.82756,0.227334,40.82756
"oxy",4,-0.107941,-14.54708,0.034324,6.512115,0.034324,6.512115
"doxy",4,0.037189,11.50484,0.102686,44.72085,0.102686,44.72085
"oxy",12,-0.142458,-14.33325,0.021906,3.102801,0.021906,3.102801
"doxy",12,0.066666,14.19194,0.247066,74.04236,0.247066,74.04236
"oxy",5,-0.146185,-14.07009,-0.052251,-7.079772,-0.052251,-7.079772
"doxy",5,-0.084126,-7.469597,0.091789,11.4732,0.091789,11.4732
"oxy",13,-0.160302,-16.52162,-0.099496,-14.43603,-0.099496,-14.43603
"doxy",13,0.011706,2.444453,0.101642,29.87927,0.101642,29.87927
"oxy",6,-0.12647,-14.82168,-0.003476,-0.573549,-0.003476,-0.573549
"doxy",6,0.011923,1.905215,0.197737,44.47936,0.197737,44.47936
"oxy",14,-0.147341,-20.21119,-0.079903,-15.42983,-0.079903,-15.42983
"doxy",14,0.09138,31.95854,0.123689,60.89706,0.123689,60.89706
"oxy",7,-0.171756,-20.18351,-0.019998,-3.308319,-0.019998,-3.308319
"doxy",7,-0.105767,-19.35505,0.07119,18.33971,0.07119,18.33971
"oxy",15,-0.167486,-15.98724,-0.136997,-18.40916,-0.136997,-18.40916
"doxy",15,0.121927,20.35604,0.121358,28.52271,0.121358,28.52271
"oxy",8,-0.106918,-10.64627,0.16544,23.1908,0.16544,23.1908
"doxy",8,0.031189,4.495103,0.234812,47.64107,0.234812,47.64107
"oxy",16,-0.408376,-25.97972,-0.303973,-27.22306,-0.303973,-27.22306
"doxy",16,0.393229,42.3132,0.324808,49.20235,0.324808,49.20235
