"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.169639,-1.117416,-0.386867,-1.675255,1.756237,7.70152,-2.143103,-9.605432
"doxy",1,0.257651,1.073836,0.905977,2.4823,-1.564558,-4.341128,2.470535,7.006197
"oxy",9,0.203787,5.49982,0.394706,7.002874,0.368915,6.628303,0.025791,0.473623
"doxy",9,0.879051,19.00668,0.351876,5.001637,0.05901,0.849417,0.292866,4.308697
"oxy",2,-0.216994,-17.21579,-0.118313,-6.170795,0.135153,7.138553,-0.253466,-13.68307
"doxy",2,0.076682,16.95789,-0.023771,-3.455804,-0.153694,-22.62774,0.129923,19.55025
"oxy",10,-0.201852,-12.29739,-0.04902,-1.96328,0.14574,5.911033,-0.19476,-8.073545
"doxy",10,0.04129,4.23271,-0.253882,-17.10951,0.069518,4.744348,-0.3234,-22.55796
"oxy",3,-0.378059,-16.06976,-0.243244,-6.797082,0.363549,10.28767,-0.606794,-17.54992
"doxy",3,0.205804,19.93617,0.027194,1.731783,-0.115423,-7.4436,0.142617,9.400327
"oxy",11,0.006639,0.51069,0.118732,6.004578,0.16373,8.385253,-0.044998,-2.355372
"doxy",11,0.07489,12.76711,-0.172579,-19.34136,-0.00035,-0.039673,-0.172229,-19.9784
"oxy",4,-0.225121,-11.92811,-0.116276,-4.050183,0.157511,5.556091,-0.273787,-9.870783
"doxy",4,0.123686,19.53721,-0.140226,-14.56139,-0.234793,-24.69069,0.094567,10.16408
"oxy",12,0.022835,1.065443,-0.102688,-3.149758,0.173131,5.377823,-0.275819,-8.756612
"doxy",12,0.021567,2.393164,-0.266535,-19.44293,0.004185,0.309167,-0.27072,-20.44007
"oxy",5,-0.685775,-28.32539,-0.257991,-7.005328,0.155297,4.270329,-0.413287,-11.61532
"doxy",5,0.038251,4.552744,-0.398092,-31.1493,-0.134835,-10.68416,-0.263257,-21.32061
"oxy",13,-0.290232,-14.69607,-0.018647,-0.62073,0.185028,6.237313,-0.203675,-7.017441
"doxy",13,0.08608,12.003,-0.294759,-27.01989,-0.182025,-16.89753,-0.112733,-10.69604
"oxy",6,-0.447891,-19.55497,-0.102502,-2.942042,0.191431,5.564197,-0.293934,-8.732105
"doxy",6,0.015418,1.684085,-0.35376,-25.40262,-0.044077,-3.205231,-0.309683,-23.01659
"oxy",14,-0.067463,-3.31854,-0.019398,-0.627285,0.22443,7.349711,-0.243828,-8.161174
"doxy",14,-0.014848,-2.264308,-0.086471,-8.668821,-0.038211,-3.879259,-0.048261,-5.007647
"oxy",7,-0.133857,-5.528989,0.081652,2.217182,0.226619,6.231689,-0.144967,-4.074361
"doxy",7,0.694975,21.14126,0.242073,4.841049,0.042612,0.86297,0.199462,4.128631
"oxy",15,-0.328796,-16.15737,-0.244719,-7.905756,0.260649,8.52718,-0.505368,-16.89809
"doxy",15,0.00877,1.19344,-0.056131,-5.021569,-0.039792,-3.605021,-0.016339,-1.51291
"oxy",8,-0.350239,-20.31658,-0.125552,-4.78783,0.075126,2.901211,-0.200678,-7.920802
"doxy",8,-0.057913,-6.328618,-0.364124,-26.15835,-0.006576,-0.47843,-0.357548,-26.58577
"oxy",16,-0.141614,-9.48142,-0.036992,-1.628166,0.282646,12.59835,-0.319638,-14.56159
"doxy",16,0.007562,1.631279,0.064543,9.153194,0.005152,0.739947,0.059391,8.717583
