"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.281133,-16.12079,-0.04602,-3.230008,-0.009908,-0.73997,-0.04602,-3.230008,-0.009908,-0.73997,0.036112,2.119962,-0.055928,-2.567872
"doxy",1,0.313576,14.79481,0.026898,1.553323,-0.06778,-4.165252,0.026898,1.553323,-0.06778,-4.165252,-0.094678,-4.573107,-0.040883,-1.544465
"oxy",9,-0.112157,-11.94631,0.02119,2.762674,0.042939,5.957066,0.02119,2.762674,0.042939,5.957066,0.021749,2.371576,0.064129,5.469382
"doxy",9,-0.084781,-16.48992,-0.03485,-8.296618,0.001774,0.449448,-0.03485,-8.296618,0.001774,0.449448,0.036624,7.292567,-0.033075,-5.151096
"oxy",2,0.046728,4.044684,-0.088847,-9.412999,0.092208,10.39543,-0.088847,-9.412999,0.092208,10.39543,0.181054,16.0439,0.003361,0.232926
"doxy",2,-0.076769,-19.15998,0.056786,17.34738,-0.081873,-26.61478,0.056786,17.34738,-0.081873,-26.61478,-0.138659,-35.4287,-0.025087,-5.013389
"oxy",10,-0.246668,-24.22812,0.03984,4.78967,0.008982,1.149131,0.03984,4.78967,0.008982,1.149131,-0.030857,-3.102863,0.048822,3.839688
"doxy",10,0.067135,12.18759,0.064961,14.43469,-0.002037,-0.48156,0.064961,14.43469,-0.002037,-0.48156,-0.066998,-12.4517,0.062925,9.146698
"oxy",3,-0.010605,-0.980812,-0.067198,-7.60701,-0.024119,-2.905425,-0.067198,-7.60701,-0.024119,-2.905425,0.043079,4.078834,-0.091317,-6.762393
"doxy",3,0.089744,15.94925,0.0575,12.50781,-0.014066,-3.256039,0.0575,12.50781,-0.014066,-3.256039,-0.071566,-13.02081,0.043433,6.180571
"oxy",11,-0.139365,-20.19454,-0.021414,-3.798074,-0.030707,-5.795542,-0.021414,-3.798074,-0.030707,-5.795542,-0.009293,-1.378608,-0.052121,-6.047412
"doxy",11,-0.009273,-2.986321,0.001265,0.4985,-0.010513,-4.409678,0.001265,0.4985,-0.010513,-4.409678,-0.011777,-3.882971,-0.009248,-2.38476
"oxy",4,-0.100713,-8.875056,0.009142,0.986048,0.020098,2.306847,0.009142,0.986048,0.020098,2.306847,0.010957,0.98846,0.02924,2.063184
"doxy",4,0.008585,1.755443,-0.000324,-0.081133,-0.045537,-12.12846,-0.000324,-0.081133,-0.045537,-12.12846,-0.045213,-9.465158,-0.045861,-7.50908
"oxy",12,-0.211073,-22.15875,-0.001424,-0.182986,-0.017669,-2.416064,-0.001424,-0.182986,-0.017669,-2.416064,-0.016245,-1.745987,-0.019094,-1.604986
"doxy",12,0.099075,24.20725,0.049677,14.85648,0.004462,1.42012,0.049677,14.85648,0.004462,1.42012,-0.045214,-11.30975,0.054139,10.59168
"oxy",5,0.038003,3.365707,-0.019715,-2.137156,-0.05821,-6.714704,-0.019715,-2.137156,-0.05821,-6.714704,-0.038495,-3.490267,-0.077925,-5.525947
"doxy",5,0.090852,19.4196,0.005626,1.471946,-0.016438,-4.576372,0.005626,1.471946,-0.016438,-4.576372,-0.022064,-4.828185,-0.010812,-1.850436
"oxy",13,-0.175468,-18.12432,-0.015074,-1.905824,0.004211,0.566543,-0.015074,-1.905824,0.004211,0.566543,0.019285,2.039339,-0.010863,-0.898449
"doxy",13,0.00385,0.987138,0.031497,9.885466,-0.045434,-15.1737,0.031497,9.885466,-0.045434,-15.1737,-0.076931,-20.19481,-0.013936,-2.861309
"oxy",6,-0.161564,-13.24382,0.014291,1.433897,-0.098711,-10.53912,0.014291,1.433897,-0.098711,-10.53912,-0.113002,-9.483107,-0.08442,-5.540945
"doxy",6,0.098009,17.78639,-0.017027,-3.782187,0.000836,0.19756,-0.017027,-3.782187,0.000836,0.19756,0.017863,3.318708,-0.016191,-2.352741
"oxy",14,-0.392882,-33.77633,0.039117,4.116216,-0.027133,-3.038172,0.039117,4.116216,-0.027133,-3.038172,-0.06625,-5.830823,0.011984,0.824978
"doxy",14,-0.003286,-0.655031,0.062226,15.18243,-0.04172,-10.83197,0.062226,15.18243,-0.04172,-10.83197,-0.103946,-21.21257,0.020505,3.272897
"oxy",7,-0.049663,-5.031404,0.012899,1.599519,0.022244,2.935193,0.012899,1.599519,0.022244,2.935193,0.009345,0.969234,0.035142,2.850775
"doxy",7,-0.01309,-3.95448,0.012278,4.540007,-0.040682,-16.00739,0.012278,4.540007,-0.040682,-16.00739,-0.05296,-16.37914,-0.028404,-6.870656
"oxy",15,-0.291466,-22.46523,-0.054895,-5.178931,0.041856,4.201959,-0.054895,-5.178931,0.041856,4.201959,0.096751,7.63442,-0.013039,-0.804732
"doxy",15,0.050145,13.03447,0.031617,10.05939,-0.042984,-14.55265,0.031617,10.05939,-0.042984,-14.55265,-0.074601,-19.85213,-0.011367,-2.365737
"oxy",8,-0.064999,-5.299251,-0.006616,-0.660253,-0.025249,-2.68115,-0.006616,-0.660253,-0.025249,-2.68115,-0.018633,-1.55516,-0.031865,-2.080163
"doxy",8,0.063563,14.80715,0.064239,18.31661,0.00861,2.612458,0.064239,18.31661,0.00861,2.612458,-0.055629,-13.26663,0.072849,13.58819
"oxy",16,-0.183755,-18.29445,0.023254,2.833755,0.008629,1.118926,0.023254,2.833755,0.008629,1.118926,-0.014625,-1.490675,0.031883,2.54162
"doxy",16,-0.08558,-18.42121,0.021389,5.63522,-0.054416,-15.25613,0.021389,5.63522,-0.054416,-15.25613,-0.075804,-16.70468,-0.033027,-5.692362
