"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.056109,4.247823,0.061875,6.937912,0.061875,6.937912
"doxy",1,0.19193,10.92656,-0.10286,-8.672918,-0.10286,-8.672918
"oxy",9,-0.020487,-1.95589,0.040412,5.714181,0.040412,5.714181
"doxy",9,0.099886,21.31095,0.081615,25.7896,0.081615,25.7896
"oxy",2,0.116273,13.23092,0.077301,13.02793,0.077301,13.02793
"doxy",2,0.008082,2.543098,-0.023321,-10.8682,-0.023321,-10.8682
"oxy",10,0.071233,8.423299,0.052546,9.202763,0.052546,9.202763
"doxy",10,0.040872,10.18286,0.072046,26.58482,0.072046,26.58482
"oxy",3,0.107456,11.20073,0.048684,7.515816,0.048684,7.515816
"doxy",3,0.040276,9.210219,0.015606,5.285458,0.015606,5.285458
"oxy",11,-0.032272,-4.895915,0.054411,12.22557,0.054411,12.22557
"doxy",11,0.038543,15.22121,0.050219,29.37285,0.050219,29.37285
"oxy",4,0.12766,12.4038,0.101043,14.54075,0.101043,14.54075
"doxy",4,0.032612,9.739353,0.042051,18.59977,0.042051,18.59977
"oxy",12,0.003933,0.413464,0.122164,19.02292,0.122164,19.02292
"doxy",12,-0.037836,-8.951068,0.057716,20.22301,0.057716,20.22301
"oxy",5,0.028587,9.430743,-0.057181,-27.93844,-0.057181,-27.93844
"doxy",5,0.012861,2.413583,0.099074,27.53732,0.099074,27.53732
"oxy",13,0.01338,1.59623,0.102299,18.0754,0.102299,18.0754
"doxy",13,0.039011,11.41827,0.00523,2.267295,0.00523,2.267295
"oxy",6,-0.16262,-13.9393,0.087988,11.17034,0.087988,11.17034
"doxy",6,0.117217,32.61292,0.055451,22.84987,0.055451,22.84987
"oxy",14,0.09348,8.819695,0.129277,18.06483,0.129277,18.06483
"doxy",14,0.002352,0.612945,0.04575,17.66072,0.04575,17.66072
"oxy",7,-0.011378,-1.094028,0.04396,6.260593,0.04396,6.260593
"doxy",7,0.073283,22.85134,0.044843,20.71037,0.044843,20.71037
"oxy",15,0.009434,0.86712,0.130678,17.78916,0.130678,17.78916
"doxy",15,0.120775,38.53942,0.020547,9.710747,0.020547,9.710747
"oxy",8,0.036727,3.742134,0.027583,4.162594,0.027583,4.162594
"doxy",8,0.067492,18.42887,0.048115,19.45831,0.048115,19.45831
"oxy",16,0.027503,3.434786,0.10068,18.62295,0.10068,18.62295
"doxy",16,0.093409,30.19961,-0.001667,-0.798157,-0.001667,-0.798157
