"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.28802,36.52204,0.105515,18.95682,0.105515,18.95682
"doxy",1,-0.022593,-8.423243,-0.085402,-45.11215,-0.085402,-45.11215
"oxy",9,0.060117,11.11651,0.0418,10.95128,0.0418,10.95128
"doxy",9,-0.017643,-4.772432,-0.016102,-6.171103,-0.016102,-6.171103
"oxy",2,0.086725,9.305389,0.145717,22.15231,0.145717,22.15231
"doxy",2,-0.105709,-32.30175,-0.083418,-36.1153,-0.083418,-36.1153
"oxy",10,0.079752,10.71847,0.107299,20.43174,0.107299,20.43174
"doxy",10,-0.061986,-19.56689,0.038974,17.43108,0.038974,17.43108
"oxy",3,0.125015,15.04929,0.048186,8.218456,0.048186,8.218456
"doxy",3,-0.028601,-5.799724,-0.072496,-20.82851,-0.072496,-20.82851
"oxy",11,0.034807,14.59216,0.012003,7.129651,0.012003,7.129651
"doxy",11,-0.07542,-20.47194,0.024972,9.603954,0.024972,9.603954
"oxy",4,0.139548,15.50251,0.11475,18.06136,0.11475,18.06136
"doxy",4,-0.106943,-32.36459,-0.055897,-23.96781,-0.055897,-23.96781
"oxy",12,0.163371,25.12041,0.129627,28.24021,0.129627,28.24021
"doxy",12,-0.123264,-29.16684,0.033519,11.23719,0.033519,11.23719
"oxy",5,-0.02123,-2.909542,0.096884,18.81277,0.096884,18.81277
"doxy",5,-0.122861,-26.08623,-0.015122,-4.549077,-0.015122,-4.549077
"oxy",13,7.527584e-05,0.009824,0.14998,27.73279,0.14998,27.73279
"doxy",13,-0.163208,-44.04743,-0.050101,-19.15794,-0.050101,-19.15794
"oxy",6,0.183753,22.76299,0.099665,17.49269,0.099665,17.49269
"doxy",6,-0.126532,-27.28105,0.012002,3.666349,0.012002,3.666349
"oxy",14,0.132949,16.429,0.158279,27.71216,0.158279,27.71216
"doxy",14,-0.093644,-28.963,0.014824,6.496144,0.014824,6.496144
"oxy",7,0.017199,2.314046,0.107195,20.43504,0.107195,20.43504
"doxy",7,-0.100175,-29.5217,-0.035325,-14.74998,-0.035325,-14.74998
"oxy",15,0.086554,10.07772,0.221288,36.50505,0.221288,36.50505
"doxy",15,-0.151017,-44.19884,-0.016062,-6.660577,-0.016062,-6.660577
"oxy",8,0.019362,2.538481,0.10427,19.36901,0.10427,19.36901
"doxy",8,-0.12022,-41.43879,-0.008106,-3.95864,-0.008106,-3.95864
"oxy",16,0.057627,8.087259,0.169807,33.76394,0.169807,33.76394
"doxy",16,-0.076589,-27.33759,-0.045096,-22.80605,-0.045096,-22.80605
