"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.038859,-1.399001,-0.169425,-3.710749,0.065955,1.518406,-0.23538,-6.035183
"doxy",1,-0.137271,-8.833951,-0.154401,-6.044778,0.123966,5.101424,-0.278367,-12.75808
"oxy",9,0.246312,18.33093,0.073112,3.310102,-0.062286,-2.964153,0.135397,7.176317
"doxy",9,-0.159828,-19.77971,-0.108615,-8.177375,0.155928,12.33973,-0.264543,-23.31615
"oxy",2,0.099624,5.843151,-0.006601,-0.235516,0.03116,1.168666,-0.03776,-1.577286
"doxy",2,-0.009438,-1.336606,0.080825,6.963099,0.081922,7.418494,-0.001097,-0.110606
"oxy",10,0.351134,22.7048,0.162412,6.388787,-0.025935,-1.072389,0.188348,8.673565
"doxy",10,0.053858,5.389686,0.161162,9.811343,0.20873,13.35702,-0.047568,-3.390111
"oxy",3,0.745917,10.19094,-0.168692,-1.402079,-0.788061,-6.884913,0.619369,6.026514
"doxy",3,-1.012879,-8.863907,0.590903,3.145853,1.612033,9.021032,-1.02113,-6.364162
"oxy",11,-0.026649,-1.36243,-0.089369,-2.77961,0.038212,1.24926,-0.127581,-4.645364
"doxy",11,-0.350345,-19.84223,0.006344,0.218578,0.490763,17.7738,-0.484419,-19.53923
"oxy",4,0.175613,9.873014,0.083221,2.846311,0.001412,0.050772,0.081809,3.275571
"doxy",4,0.074674,8.641968,0.179328,12.6254,0.174637,12.92393,0.004691,0.386599
"oxy",12,0.220583,12.85312,0.162025,5.743456,0.027993,1.043047,0.134032,5.562078
"doxy",12,0.075862,6.171659,0.399086,19.75154,0.425053,22.11248,-0.025967,-1.504492
"oxy",5,0.361355,20.63424,0.074357,2.583034,-0.185419,-6.77054,0.259776,10.56442
"doxy",5,-0.317735,-12.90368,0.172898,4.271628,0.587188,15.24896,-0.41429,-11.98243
"oxy",13,-0.065077,-3.406928,-0.058183,-1.853065,0.029011,0.971215,-0.087194,-3.251011
"doxy",13,-0.059489,-5.07526,0.160326,8.321126,0.395989,21.60334,-0.235663,-14.31881
"oxy",6,0.333082,23.67016,0.122625,5.301336,-0.022148,-1.006467,0.144773,7.327091
"doxy",6,-0.033492,-4.224256,0.156073,11.97555,0.306287,24.70336,-0.150214,-13.49322
"oxy",14,0.067701,3.828986,0.1868,6.427156,0.006151,0.222445,0.180649,7.276396
"doxy",14,0.24688,20.25238,0.431231,21.52061,0.309004,16.20947,0.122227,7.14084
"oxy",7,0.277854,13.94556,0.154804,4.726696,-0.043512,-1.396494,0.198316,7.088754
"doxy",7,-0.230651,-18.0384,-0.084758,-4.032504,0.219312,10.96778,-0.304069,-16.93586
"oxy",15,-0.158436,-7.0615,-0.098489,-2.670454,-0.066287,-1.889221,-0.032203,-1.022173
"doxy",15,-0.064897,-5.855832,0.071907,3.947195,0.232967,13.44226,-0.16106,-10.35008
"oxy",8,0.37204,26.01458,0.213633,9.087631,0.027942,1.249412,0.185691,9.2472
"doxy",8,-0.033495,-7.554542,0.035541,4.87653,0.161731,23.32556,-0.12619,-20.26941
"oxy",16,-0.032322,-2.825885,-0.041555,-2.210248,-0.106933,-5.978453,0.065378,4.070858
"doxy",16,0.087688,22.39384,0.02843,4.416865,0.016936,2.765835,0.011493,2.090354
