"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.009799,-1.276764,0.014456,2.228281,0.086059,13.2662,0.014456,2.228281,0.086059,13.2662,0.071603,9.200205,0.100516,9.682413
"doxy",1,0.091791,32.55075,0.03393,14.23417,-0.025998,-10.90735,0.03393,14.23417,-0.025998,-10.90735,-0.059928,-20.95677,0.007932,2.079489
"oxy",9,0.051972,5.613994,0.046126,5.894311,-0.107708,-13.76467,0.046126,5.894311,-0.107708,-13.76467,-0.153834,-16.38649,-0.061582,-4.917842
"doxy",9,0.003873,1.104215,0.027589,9.30539,0.044635,15.05612,0.027589,9.30539,0.044635,15.05612,0.017047,4.792822,0.072224,15.22361
"oxy",2,-0.013153,-1.29641,0.00737,0.859364,0.179179,20.89462,0.00737,0.859364,0.179179,20.89462,0.171809,16.69974,0.186549,13.59384
"doxy",2,0.069358,18.7505,0.075234,24.06112,-0.0184,-5.884976,0.075234,24.06112,-0.0184,-5.884976,-0.093633,-24.96204,0.056834,11.35908
"oxy",10,0.072666,6.173929,0.061015,6.132767,-0.077904,-7.830885,0.061015,6.132767,-0.077904,-7.830885,-0.138919,-11.63933,-0.016889,-1.060873
"doxy",10,0.050212,12.07585,0.070057,19.93216,0.011406,3.245284,0.070057,19.93216,0.011406,3.245284,-0.058651,-13.90997,0.081463,14.48415
"oxy",3,0.030604,4.237041,-0.021938,-3.592993,-0.019303,-3.16173,-0.021938,-3.592993,-0.019303,-3.16173,0.002634,0.35967,-0.041241,-4.221099
"doxy",3,0.055221,27.12936,-0.017316,-10.06382,-0.036919,-21.45852,-0.017316,-10.06382,-0.036919,-21.45852,-0.019603,-9.497146,-0.054235,-19.69836
"oxy",11,0.05309,6.900989,0.061774,9.499378,-0.101391,-15.59266,0.061774,9.499378,-0.101391,-15.59266,-0.163165,-20.91525,-0.039617,-3.807213
"doxy",11,0.040471,10.62209,0.054823,17.02233,0.036753,11.41243,0.054823,17.02233,0.036753,11.41243,-0.01807,-4.676923,0.091577,17.76926
"oxy",4,-0.008768,-0.981536,-0.040557,-5.371237,0.107327,14.21503,-0.040557,-5.371237,0.107327,14.21503,0.147884,16.32586,0.06677,5.526155
"doxy",4,0.07989,18.87096,0.124424,34.76892,-0.005155,-1.440627,0.124424,34.76892,-0.005155,-1.440627,-0.129579,-30.18336,0.119269,20.82793
"oxy",12,0.061509,4.143263,0.090989,7.250721,-0.072141,-5.749156,0.090989,7.250721,-0.072141,-5.749156,-0.16313,-10.83607,0.018848,0.938618
"doxy",12,0.057455,12.16021,0.105028,26.29683,-0.025448,-6.372166,0.105028,26.29683,-0.025448,-6.372166,-0.130476,-27.23176,0.07958,12.4518
"oxy",5,0.020739,2.296163,0.008973,1.175254,-0.030125,-3.946041,0.008973,1.175254,-0.030125,-3.946041,-0.039098,-4.268769,-0.021152,-1.731382
"doxy",5,0.078014,22.22558,0.005023,1.693012,0.040369,13.60633,0.005023,1.693012,0.040369,13.60633,0.035345,9.929897,0.045392,9.56045
"oxy",13,0.00651,0.923693,0.030993,5.202092,0.014348,2.408447,0.030993,5.202092,0.014348,2.408447,-0.016645,-2.328855,0.045341,4.755955
"doxy",13,0.038739,12.06354,0.058385,21.50883,-0.013144,-4.84262,0.058385,21.50883,-0.013144,-4.84262,-0.07153,-21.96568,0.045241,10.41543
"oxy",6,0.049076,5.131841,0.01156,1.430069,0.04262,5.272768,0.01156,1.430069,0.04262,5.272768,0.03106,3.202886,0.05418,4.188584
"doxy",6,0.084075,21.01346,0.065152,19.26404,0.065126,19.25769,0.065152,19.26404,0.065126,19.25769,-2.58928e-05,-0.006382,0.130279,24.07259
"oxy",14,-0.032479,-2.221868,0.09636,7.798347,-0.153441,-12.41876,0.09636,7.798347,-0.153441,-12.41876,-0.249801,-16.85181,-0.057081,-2.88691
"doxy",14,0.025951,6.081732,0.028321,7.851834,-0.000615,-0.17038,0.028321,7.851834,-0.000615,-0.17038,-0.028936,-6.687122,0.027707,4.800382
"oxy",7,0.006324,0.646446,0.014982,1.811702,-0.087236,-10.54984,0.014982,1.811702,-0.087236,-10.54984,-0.102217,-10.3037,-0.072254,-5.460282
"doxy",7,0.064652,18.77367,0.019508,6.701578,0.052354,17.98608,0.019508,6.701578,0.052354,17.98608,0.032846,9.405479,0.071863,15.42731
"oxy",15,-0.002177,-0.307316,-0.003157,-0.527297,-0.027115,-4.528831,-0.003157,-0.527297,-0.027115,-4.528831,-0.023958,-3.33533,-0.030272,-3.159537
