"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.181208,-9.387522,-0.057731,-4.405456,-0.057731,-4.405456
"doxy",1,0.036365,4.980148,0.065193,13.15129,0.065193,13.15129
"oxy",9,-0.172926,-19.52176,0.086413,14.36959,0.086413,14.36959
"doxy",9,-0.076299,-15.47141,0.04385,13.09754,0.04385,13.09754
"oxy",2,-0.237681,-18.76986,0.036483,4.243934,0.036483,4.243934
"doxy",2,-0.078123,-13.34362,0.016563,4.167062,0.016563,4.167062
"oxy",10,-0.098996,-10.27274,-0.022817,-3.487608,-0.022817,-3.487608
"doxy",10,-0.058007,-10.33158,0.022422,5.882518,0.022422,5.882518
"oxy",3,-0.046343,-2.852243,0.030908,2.802101,0.030908,2.802101
"doxy",3,-0.055318,-3.454502,0.054107,4.977187,0.054107,4.977187
"oxy",11,-0.124176,-15.79162,0.090549,16.96204,0.090549,16.96204
"doxy",11,-0.041748,-8.497781,0.029816,8.939852,0.029816,8.939852
"oxy",4,-0.209474,-25.09997,-0.039133,-6.90713,-0.039133,-6.90713
"doxy",4,-0.000221,-0.036602,0.002787,0.679029,0.002787,0.679029
"oxy",12,-0.105915,-9.887906,0.009742,1.339671,0.009742,1.339671
"doxy",12,-0.019789,-3.443103,-0.085255,-21.85057,-0.085255,-21.85057
"oxy",5,-0.057283,-4.513667,0.066614,7.731777,0.066614,7.731777
"doxy",5,-0.042545,-9.012471,0.008922,2.783831,0.008922,2.783831
"oxy",13,-0.145105,-18.60975,0.04636,8.758113,0.04636,8.758113
"doxy",13,-0.001636,-0.39656,0.038834,13.86474,0.038834,13.86474
"oxy",6,-0.167842,-18.90119,-0.038233,-6.342194,-0.038233,-6.342194
"doxy",6,-0.026863,-6.191538,0.019485,6.615451,0.019485,6.615451
"oxy",14,-0.092432,-8.857347,0.054848,7.741883,0.054848,7.741883
"doxy",14,-0.009646,-1.3644,-0.136014,-28.33992,-0.136014,-28.33992
"oxy",7,-0.215521,-19.94358,-0.031597,-4.306897,-0.031597,-4.306897
"doxy",7,-0.040486,-10.64413,0.009112,3.528869,0.009112,3.528869
"oxy",15,-0.158033,-19.31409,-0.022961,-4.133545,-0.022961,-4.133545
"doxy",15,-0.048796,-8.735487,0.07437,19.61138,0.07437,19.61138
"oxy",8,-0.158482,-17.77194,-0.041385,-6.836038,-0.041385,-6.836038
"doxy",8,-0.047656,-14.65624,0.015592,7.063385,0.015592,7.063385
"oxy",16,-0.122677,-17.5332,0.132214,27.83447,0.132214,27.83447
"doxy",16,-0.068158,-16.09062,0.047283,16.44271,0.047283,16.44271
