"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.090469,-9.39297,0.194326,29.55021,0.194326,29.55021
"doxy",1,0.113062,29.02382,0.110633,41.59592,0.110633,41.59592
"oxy",9,0.166014,16.70467,0.112509,16.58083,0.112509,16.58083
"doxy",9,-0.013977,-3.790891,0.010898,4.329352,0.010898,4.329352
"oxy",2,-0.26231,-25.0245,0.18695,26.12177,0.18695,26.12177
"doxy",2,0.119668,22.4144,0.179719,49.30253,0.179719,49.30253
"oxy",10,0.146393,13.93019,0.063557,8.857834,0.063557,8.857834
"doxy",10,-0.019358,-3.910522,0.062313,18.43627,0.062313,18.43627
"oxy",3,-0.06226,-3.233102,0.352367,26.79986,0.352367,26.79986
"doxy",3,0.099874,3.487284,-0.211179,-10.79974,-0.211179,-10.79974
"oxy",11,0.055065,6.874734,0.102887,18.8134,0.102887,18.8134
"doxy",11,-0.049198,-10.4738,0.078676,24.53173,0.078676,24.53173
"oxy",4,-0.152851,-14.83467,0.087572,12.44818,0.087572,12.44818
"doxy",4,0.084279,11.52742,0.168184,33.69194,0.168184,33.69194
"oxy",12,-0.094551,-8.548957,-0.010737,-1.421826,-0.010737,-1.421826
"doxy",12,0.13756,24.75334,0.042207,11.12379,0.042207,11.12379
"oxy",5,0.200961,13.87581,0.090759,9.178296,0.090759,9.178296
"doxy",5,0.087611,5.941489,-0.028188,-2.799769,-0.028188,-2.799769
"oxy",13,0.046515,7.023335,-0.062277,-13.77232,-0.062277,-13.77232
"doxy",13,-0.029202,-8.798174,0.042606,18.801,0.042606,18.801
"oxy",6,0.141971,12.4317,0.035461,4.547871,0.035461,4.547871
"doxy",6,-0.128562,-20.56499,0.114019,26.71292,0.114019,26.71292
"oxy",14,-0.054126,-6.604585,-0.098083,-17.52917,-0.098083,-17.52917
"doxy",14,-0.094821,-24.60473,0.004362,1.657647,0.004362,1.657647
"oxy",7,0.238669,19.84846,-0.027586,-3.360039,-0.027586,-3.360039
"doxy",7,-0.100226,-27.94577,-0.003916,-1.599045,-0.003916,-1.599045
"oxy",15,0.054067,6.813064,-0.009682,-1.786825,-0.009682,-1.786825
"doxy",15,-0.031495,-4.3143,0.138378,27.76319,0.138378,27.76319
"oxy",8,0.216643,24.21343,0.00847,1.386521,0.00847,1.386521
"doxy",8,-0.243503,-47.7561,0.066029,18.96646,0.066029,18.96646
"oxy",16,0.081265,7.749232,0.106695,14.90127,0.106695,14.90127
"doxy",16,0.056203,10.55385,0.092429,25.42062,0.092429,25.42062
