"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-5.651478,-3.256176,-24.2673,-8.404038,-28.82805,-10.62891,4.560748,1.857206
"doxy",1,8.670887,3.272532,36.40902,8.259431,44.91801,10.84847,-8.508992,-2.269743
"oxy",9,-0.391216,-8.818621,0.211663,2.867811,0.446779,6.444721,-0.235115,-3.745791
"doxy",9,0.593292,20.17345,0.612775,12.52374,0.113123,2.461448,0.499652,12.00765
"oxy",2,-0.752339,-8.49156,0.64517,4.37692,1.028282,7.427001,-0.383112,-3.056175
"doxy",2,0.883854,22.34892,0.783191,11.90322,0.11408,1.845925,0.669111,11.95782
"oxy",10,0.539905,6.875963,1.136007,8.695973,0.816665,6.655608,0.319342,2.874424
"doxy",10,1.352278,26.29527,1.079947,12.62218,0.282189,3.511389,0.797758,10.96379
"oxy",3,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0
"oxy",11,-0.060371,-0.956038,0.678246,6.455875,0.536968,5.441554,0.141278,1.581248
"doxy",11,0.357496,10.54528,0.612618,10.8617,0.068528,1.293542,0.544091,11.34323
"oxy",4,-0.7336,-8.218498,0.588624,3.963614,1.010935,7.247422,-0.422311,-3.343827
"doxy",4,0.704528,19.79344,0.636679,10.75138,0.07467,1.342451,0.562009,11.15949
"oxy",12,1.129348,8.901038,1.832736,8.682274,0.890918,4.493429,0.941818,5.246361
"doxy",12,1.107147,16.77844,1.23117,11.21463,0.209485,2.031546,1.021685,10.94312
"oxy",5,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0
"oxy",13,-0.783734,-18.01188,-0.216084,-2.98493,0.228628,3.362382,-0.444712,-7.223499
"doxy",13,-0.139964,-10.92196,0.066384,3.113671,0.122156,6.099967,-0.055771,-3.075925
"oxy",6,0.060852,0.708334,0.953696,6.672562,0.73412,5.46835,0.219576,1.806448
"doxy",6,0.349824,12.08362,0.601416,12.48659,0.150173,3.319463,0.451243,11.01632
"oxy",14,-0.301435,-4.547099,0.412596,3.740987,0.649158,6.266407,-0.236562,-2.522113
"doxy",14,0.349986,11.24855,0.556723,10.7549,0.204675,4.209576,0.352049,7.996999
"oxy",7,-0.713625,-14.43822,0.189734,2.307322,0.480932,6.22665,-0.291198,-4.164
"doxy",7,0.203588,13.18306,0.36034,14.02483,0.087574,3.628823,0.272767,12.48341
"oxy",15,-1.048433,-17.54481,-0.084482,-0.849756,0.49811,5.334087,-0.582592,-6.890497
"doxy",15,0.171054,7.692291,0.315645,8.531816,0.239652,6.896535,0.075993,2.415304
"oxy",8,-0.516145,-6.636638,1.030388,7.963385,0.976136,8.031821,0.054252,0.493025
"doxy",8,0.255728,6.669875,0.807674,12.66183,0.226054,3.772931,0.58162,10.72154
"oxy",16,0.005096,0.056704,0.940345,6.289312,0.717197,5.106948,0.223147,1.754953
"doxy",16,0.704753,16.48008,0.871599,12.25068,0.412954,6.179485,0.458644,7.580138
