"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-1.203668,-4.554915,0.991326,2.2135,-0.129255,-0.30745,1.120581,2.958912
"doxy",1,0.995527,5.623159,1.15659,3.854751,1.764874,6.266054,-0.608284,-2.397446
"oxy",9,0.89736,14.14367,1.126436,10.4759,0.778445,7.712162,0.347991,3.827178
"doxy",9,0.520462,19.2499,0.580618,12.67124,0.344438,8.007613,0.23618,6.095335
"oxy",2,2.662135,28.84986,1.501512,9.60134,-0.284154,-1.935619,1.785665,13.50296
"doxy",2,0.894247,21.61487,1.224685,17.46664,0.405746,6.164573,0.818939,13.81217
"oxy",10,2.228208,29.39561,0.847044,6.593591,-0.220438,-1.827962,1.067482,9.826582
"doxy",10,2.951351,40.09508,1.380322,11.06471,-0.482184,-4.117526,1.862506,17.65563
"oxy",3,-1.070108,-4.48632,-3.375532,-8.350148,-2.408426,-6.346711,-0.967107,-2.829123
"doxy",3,-0.375367,-1.297738,-3.383684,-6.902558,-1.995589,-4.336656,-1.388095,-3.348614
"oxy",11,1.414093,16.19942,1.96842,13.30542,1.268517,9.134204,0.699903,5.59467
"doxy",11,0.462233,15.02855,0.647842,12.42837,0.347461,7.100919,0.300381,6.81465
"oxy",4,0.994511,15.02914,0.531072,4.735518,0.129619,1.231247,0.401453,4.23326
"doxy",4,0.365068,7.899765,0.672151,8.582167,0.385092,5.237911,0.287059,4.33438
"oxy",12,2.402336,17.25704,2.887334,12.23824,1.108276,5.004187,1.779058,8.917392
"doxy",12,1.153149,15.28368,1.627214,12.72555,0.468886,3.906279,1.158327,10.71245
"oxy",5,0.423831,1.871193,-0.181844,-0.473712,-3.296947,-9.149364,3.115103,9.596513
"doxy",5,-1.49963,-3.681697,-4.675897,-6.773579,-2.62891,-4.056883,-2.046987,-3.506662
"oxy",13,0.666334,18.65836,-0.422429,-6.979506,-0.080765,-1.421541,-0.341663,-6.675678
"doxy",13,0.169939,14.00877,-0.160446,-7.804142,0.12543,6.499232,-0.285876,-16.44372
"oxy",6,1.335389,12.43818,2.021146,11.10801,0.752641,4.406463,1.268505,8.244347
"doxy",6,0.919616,14.71469,1.533157,14.47506,0.381037,3.832344,1.15212,12.86344
"oxy",14,1.037387,14.85681,0.63442,5.361065,0.402484,3.623156,0.231935,2.317753
"doxy",14,0.116163,3.205606,0.274608,4.471438,0.392599,6.809994,-0.117991,-2.272
"oxy",7,0.61408,10.25013,0.508421,5.007462,0.490216,5.143335,0.018206,0.212042
"doxy",7,0.391915,19.93887,0.420054,12.60966,0.09591,3.067094,0.324144,11.50698
"oxy",15,1.214852,23.33431,0.062733,0.710983,0.059196,0.71469,0.003537,0.047407
"doxy",15,0.805347,26.79644,0.644498,12.65333,0.430026,8.993773,0.214472,4.979422
"oxy",8,1.953862,18.6828,2.081212,11.74232,-0.142504,-0.856503,2.223716,14.83687
"doxy",8,2.069135,22.07213,2.297282,14.4597,-0.161193,-1.080822,2.458475,18.29938
"oxy",16,1.810475,20.70342,1.340293,9.043543,0.332785,2.39203,1.007507,8.039201
"doxy",16,0.368818,6.740504,0.911262,9.826831,0.763776,8.774037,0.147487,1.880825
