"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-7.259311,-11.01666,-10.10503,-16.45899,-0.484673,-0.789418,-10.10503,-16.45899,-0.484673,-0.789418,9.620358,11.4007,-10.5897,-11.87152
"doxy",1,14.0289,14.82456,15.68189,17.78555,-0.19543,-0.221642,15.68189,17.78555,-0.19543,-0.221642,-15.87732,-13.1015,15.48646,12.08866
"oxy",9,-0.130721,-10.23939,0.15376,12.92653,0.022445,1.886877,0.15376,12.92653,0.022445,1.886877,-0.131315,-8.032093,0.176204,10.1956
"doxy",9,-0.040494,-5.245909,-0.177808,-24.72228,-0.077489,-10.77386,-0.177808,-24.72228,-0.077489,-10.77386,0.100319,10.14832,-0.255297,-24.43096
"oxy",2,0.072974,3.289629,0.284345,13.7574,0.136495,6.603913,0.284345,13.7574,0.136495,6.603913,-0.14785,-5.204584,0.420841,14.0141
"doxy",2,-0.158167,-11.24743,0.056339,4.29986,-0.180322,-13.76223,0.056339,4.29986,-0.180322,-13.76223,-0.236661,-13.14161,-0.123983,-6.5128
"oxy",10,-0.045606,-3.793698,0.2409,21.50739,0.077714,6.938132,0.2409,21.50739,0.077714,6.938132,-0.163186,-10.60007,0.318614,19.5782
"doxy",10,-0.126761,-17.77945,-0.083671,-12.59558,-0.058188,-8.759328,-0.083671,-12.59558,-0.058188,-8.759328,0.025483,2.791034,-0.141859,-14.69799
"oxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",11,-0.222852,-17.81812,0.128233,11.00414,0.003319,0.284833,0.128233,11.00414,0.003319,0.284833,-0.124914,-7.799045,0.131552,7.769835
"doxy",11,-0.06737,-13.20585,-0.098011,-20.61994,-0.049532,-10.42051,-0.098011,-20.61994,-0.049532,-10.42051,0.048479,7.420671,-0.147543,-21.36424
"oxy",4,0.046369,2.381997,0.193299,10.6574,0.192053,10.58852,0.193299,10.6574,0.192053,10.58852,-0.001246,-0.049979,0.385351,14.62299
"doxy",4,-0.145781,-16.82573,0.044089,5.461524,-0.106212,-13.15681,0.044089,5.461524,-0.106212,-13.15681,-0.150301,-13.54631,-0.062123,-5.296572
"oxy",12,-0.029041,-1.698441,0.305917,19.20252,0.112624,7.069366,0.305917,19.20252,0.112624,7.069366,-0.193292,-8.827631,0.418541,18.08216
"doxy",12,-0.193592,-21.79811,0.012973,1.567767,-0.04824,-5.82962,0.012973,1.567767,-0.04824,-5.82962,-0.061213,-5.38219,-0.035267,-2.933363
"oxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",13,-0.056666,-5.189003,0.053458,5.25388,0.031958,3.140822,0.053458,5.25388,0.031958,3.140822,-0.0215,-1.537357,0.085416,5.777834
"doxy",13,-0.02632,-4.430884,-0.006587,-1.190138,-0.043958,-7.942252,-0.006587,-1.190138,-0.043958,-7.942252,-0.037371,-4.912735,-0.050545,-6.285617
"oxy",6,0.061811,3.424072,0.296326,17.61797,0.152079,9.041648,0.296326,17.61797,0.152079,9.041648,-0.144247,-6.23976,0.448405,18.34904
"doxy",6,-0.175276,-22.68584,0.042425,5.893343,-0.06707,-9.316829,0.042425,5.893343,-0.06707,-9.316829,-0.109495,-11.06658,-0.024646,-2.356383
"oxy",14,0.047463,3.166353,0.150402,10.7688,0.130411,9.337301,0.150402,10.7688,0.130411,9.337301,-0.019991,-1.041397,0.280813,13.83848
"doxy",14,-0.110693,-15.69521,0.078715,11.97892,-0.017782,-2.706031,0.078715,11.97892,-0.017782,-2.706031,-0.096497,-10.68436,0.060933,6.382191
"oxy",7,-0.130363,-8.435342,0.199081,13.82584,0.057266,3.976943,0.199081,13.82584,0.057266,3.976943,-0.141816,-7.165717,0.256347,12.25312
"doxy",7,-0.053384,-9.574027,-0.11228,-21.61192,-0.109215,-21.02166,-0.11228,-21.61192,-0.109215,-21.02166,0.003065,0.429197,-0.221495,-29.34354
"oxy",15,-0.104002,-7.082764,0.144519,10.56327,0.05091,3.721071,0.144519,10.56327,0.05091,3.721071,-0.093609,-4.978131,0.195429,9.831487
"doxy",15,-0.045993,-5.302633,0.068213,8.440748,-0.043267,-5.353877,0.068213,8.440748,-0.043267,-5.353877,-0.11148,-10.03662,0.024945,2.124529
"oxy",8,-0.10033,-4.976418,0.520172,27.69122,0.148796,7.920985,0.520172,27.69122,0.148796,7.920985,-0.371376,-14.38414,0.668969,24.51081
"doxy",8,-0.246098,-21.22442,0.119995,11.10709,-0.079863,-7.392273,0.119995,11.10709,-0.079863,-7.392273,-0.199858,-13.45967,0.040131,2.556698
"oxy",16,0.030131,1.785638,0.233957,14.8808,0.095934,6.101785,0.233957,14.8808,0.095934,6.101785,-0.138023,-6.387274,0.329892,14.4417
"doxy",16,-0.072804,-7.197565,0.02577,2.734363,-0.085676,-9.090562,0.02577,2.734363,-0.085676,-9.090562,-0.111446,-8.603575,-0.059906,-4.374871
