"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.721616,7.767715,0.636077,9.77143,0.636077,9.77143
"doxy",1,4.383918,18.39665,-1.306442,-7.823982,-1.306442,-7.823982
"oxy",9,0.45946,13.04442,0.448933,18.18943,0.448933,18.18943
"doxy",9,0.083125,4.7262,0.046535,3.775869,0.046535,3.775869
"oxy",2,1.111626,30.38669,0.360772,14.07407,0.360772,14.07407
"doxy",2,0.392925,34.53981,-0.152211,-19.09491,-0.152211,-19.09491
"oxy",10,0.714094,12.75477,0.208242,5.308182,0.208242,5.308182
"doxy",10,0.139246,3.107733,0.103149,3.285391,0.103149,3.285391
"oxy",3,6.43311,18.56225,-3.163316,-13.02607,-3.163316,-13.02607
"doxy",3,13.39746,14.81762,-8.587539,-13.55458,-8.587539,-13.55458
"oxy",11,0.668658,16.76377,0.521706,18.66616,0.521706,18.66616
"doxy",11,-0.063181,-3.854847,0.116823,10.172,0.116823,10.172
"oxy",4,1.918691,54.3615,0.012534,0.506785,0.012534,0.506785
"doxy",4,0.560978,51.67813,-0.161883,-21.28257,-0.161883,-21.28257
"oxy",12,0.767539,21.01364,0.286938,11.21114,0.286938,11.21114
"doxy",12,-0.0142,-0.921751,0.019236,1.781909,0.019236,1.781909
"oxy",5,5.475677,19.13531,-2.768694,-13.80811,-2.768694,-13.80811
"doxy",5,18.31263,17.71659,-11.8676,-16.38528,-11.8676,-16.38528
"oxy",13,0.05603,2.549284,0.480782,31.21814,0.480782,31.21814
"doxy",13,-0.157636,-23.54121,-0.020132,-4.290623,-0.020132,-4.290623
"oxy",6,0.617823,27.51423,0.322748,20.51247,0.322748,20.51247
"doxy",6,0.082104,8.119702,0.0287,4.050599,0.0287,4.050599
"oxy",14,0.625504,27.54992,0.16994,10.68185,0.16994,10.68185
"doxy",14,0.321665,48.29486,-0.092479,-19.81532,-0.092479,-19.81532
"oxy",7,-0.114504,-3.686859,0.677568,31.13498,0.677568,31.13498
"doxy",7,-0.443279,-30.2376,0.207299,20.18032,0.207299,20.18032
"oxy",15,0.226812,8.998652,0.462639,26.19472,0.462639,26.19472
"doxy",15,-0.167801,-15.97078,-0.026094,-3.54432,-0.026094,-3.54432
"oxy",8,2.571884,28.89099,-0.59148,-9.482281,-0.59148,-9.482281
"doxy",8,0.571564,8.616585,-0.121153,-2.606542,-0.121153,-2.606542
"oxy",16,0.337312,12.22485,0.435906,22.54581,0.435906,22.54581
"doxy",16,0.048922,4.979021,-0.031582,-4.587111,-0.031582,-4.587111
