"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.782413,22.02054,0.380383,6.685198,-0.706263,-13.72945,1.086647,27.24527
"doxy",1,0.135302,15.63814,-0.095203,-6.87122,-0.139325,-11.1226,0.044122,4.543084
"oxy",9,1.453549,27.88881,0.738185,8.844364,-0.429315,-5.689458,1.167499,19.95575
"doxy",9,-0.831481,-25.32197,-0.453414,-8.622661,-0.032103,-0.67529,-0.421311,-11.43032
"oxy",2,0.666281,10.2768,-0.275108,-2.649751,-1.13681,-12.11108,0.861702,11.84046
"doxy",2,-0.222884,-6.851936,-0.543816,-10.43972,-0.330463,-7.017023,-0.213353,-5.843128
"oxy",10,0.332263,7.54421,0.130141,1.845217,-0.78675,-12.33851,0.916891,18.54642
"doxy",10,0.184881,9.876659,0.132219,4.410761,-0.106881,-3.943772,0.239099,11.37911
"oxy",3,-0.360742,-20.02269,-0.058792,-2.037729,0.128101,4.911024,-0.186893,-9.241228
"doxy",3,0.631665,19.37339,0.204867,3.923666,-0.064002,-1.355834,0.268869,7.34633
"oxy",11,0.885267,22.82074,0.378935,6.099883,-0.755842,-13.45801,1.134777,26.06015
"doxy",11,0.456777,19.82313,0.077495,2.100115,-0.334962,-10.04054,0.412457,15.94619
"oxy",4,0.150917,3.264889,-0.323139,-4.365372,-0.792741,-11.84558,0.469602,9.050469
"doxy",4,-0.238502,-9.337489,-0.371858,-9.091099,-0.191293,-5.172882,-0.180564,-6.297692
"oxy",12,-0.336317,-7.092101,-0.306422,-4.035037,-0.493699,-7.190885,0.187276,3.518195
"doxy",12,-0.320276,-14.44196,-0.226679,-6.382844,0.022384,0.697166,-0.249063,-10.00511
"oxy",5,-0.025848,-0.925151,0.412177,9.21225,0.599135,14.81153,-0.186958,-5.961232
"doxy",5,0.054096,1.233282,-0.629326,-8.959229,-0.938307,-14.77518,0.30898,6.275309
"oxy",13,1.049015,26.37417,0.656388,10.30527,-0.429757,-7.463025,1.086146,24.32743
"doxy",13,0.454469,23.29943,0.078838,2.523944,-0.172059,-6.092737,0.250897,11.45902
"oxy",6,0.252932,7.112668,0.000753,0.013231,-0.473741,-9.201606,0.474494,11.88694
"doxy",6,-0.077481,-6.057669,-0.01215,-0.593189,-0.001176,-0.063521,-0.010974,-0.76433
"oxy",14,0.653012,22.57843,0.345302,7.455445,-0.516932,-12.34528,0.862234,26.55885
"doxy",14,0.186715,5.225781,-0.155041,-2.709696,-0.113119,-2.186769,-0.041922,-1.045264
"oxy",7,1.004771,27.85696,0.405541,7.021059,-0.408339,-7.819547,0.813879,20.10193
"doxy",7,-1.083675,-29.1105,-0.673186,-11.29242,0.029347,0.544522,-0.702533,-16.81236
"oxy",15,0.104814,2.385476,0.037729,0.536204,-0.305602,-4.804031,0.343331,6.961117
"doxy",15,-0.33712,-5.086783,-0.452862,-4.267032,0.317347,3.307411,-0.770209,-10.35329
"oxy",8,0.581117,14.62353,0.238557,3.748711,-0.857576,-14.90581,1.096133,24.57325
"doxy",8,0.216128,11.46111,0.245726,8.13709,-0.092519,-3.388779,0.338246,15.97936
"oxy",16,1.022847,24.53967,0.383682,5.748188,-0.381762,-6.32624,0.765445,16.35998
"doxy",16,0.458334,21.74965,0.17619,5.220989,0.126438,4.144223,0.049752,2.103245
