"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.164978,4.160277,0.644977,9.992201,0.4434,7.67461,0.201578,4.62241
"doxy",1,-0.234547,-16.80731,-0.073612,-3.240699,0.153453,7.547579,-0.227065,-14.79612
"oxy",9,0.807649,17.94274,1.139608,15.55397,1.005569,15.33353,0.134039,2.707853
"doxy",9,0.943404,22.25361,0.243271,3.525438,-0.121451,-1.966388,0.364722,7.823375
"oxy",2,0.827209,21.57545,0.616983,9.886397,0.174733,3.128126,0.44225,10.48919
"doxy",2,-0.205052,-9.829396,-0.155337,-4.57467,0.07464,2.455846,-0.229978,-10.02486
"oxy",10,1.293256,20.70007,1.571039,15.44879,1.327409,14.58333,0.24363,3.54607
"doxy",10,0.660088,17.79264,0.534926,8.858337,0.996272,18.43235,-0.461346,-11.30821
"oxy",3,0.499991,18.99865,0.545525,12.73489,0.346436,9.035427,0.199088,6.879159
"doxy",3,0.330177,22.13248,-0.037205,-1.532182,-0.060573,-2.78694,0.023368,1.424384
"oxy",11,0.499943,13.05535,0.990295,15.88739,0.902057,16.16838,0.088237,2.095316
"doxy",11,0.263712,11.97107,0.302281,8.430124,0.299004,9.316319,0.003277,0.135277
"oxy",4,0.957845,26.9676,0.855961,14.80543,0.377923,7.303221,0.478039,12.2388
"doxy",4,-0.074654,-4.987607,-0.128705,-5.28267,-0.015924,-0.730238,-0.112781,-6.851752
"oxy",12,0.753505,10.3465,1.079855,9.109468,0.160833,1.515815,0.919022,11.47526
"doxy",12,0.118167,3.343475,0.229369,3.987081,0.123651,2.40139,0.105718,2.720057
"oxy",5,0.957127,27.42434,1.086702,19.12922,0.693133,13.63163,0.393569,10.25454
"doxy",5,0.619911,29.38397,0.27824,8.102541,0.170864,5.55899,0.107376,4.628273
"oxy",13,0.088776,2.602499,0.786097,14.15761,0.854234,17.18837,-0.068136,-1.816356
"doxy",13,-0.133208,-7.972486,0.130493,4.798097,0.441201,18.1244,-0.310708,-16.91005
"oxy",6,1.296591,33.90931,1.213252,19.49337,0.776768,13.9435,0.436484,10.38038
"doxy",6,0.471066,36.07235,0.219115,10.30823,0.333322,17.51946,-0.114207,-7.952711
"oxy",14,0.795742,18.54169,0.895921,12.82527,0.19314,3.088976,0.70278,14.89106
"doxy",14,0.174552,7.269689,0.155456,3.977588,0.065579,1.874661,0.089877,3.40384
"oxy",7,0.436024,11.8194,0.915804,15.25134,0.777455,14.46523,0.138349,3.410282
"doxy",7,0.671109,19.29045,0.174698,3.085007,-0.124075,-2.447926,0.298773,7.809427
"oxy",15,0.281518,7.633208,0.81016,13.4956,0.713445,13.2778,0.096715,2.38466
"doxy",15,0.10295,5.423243,0.220051,7.121558,0.436956,15.79912,-0.216904,-10.39031
"oxy",8,1.501885,23.33647,1.622529,15.48855,1.635987,17.44788,-0.013458,-0.190161
"doxy",8,1.003066,22.58595,0.674845,9.335397,1.265073,19.5519,-0.590228,-12.08532
"oxy",16,0.495919,15.71935,0.906134,17.64561,0.486592,10.58651,0.419543,12.09287
"doxy",16,-0.028378,-1.429274,0.245397,7.59318,0.36183,12.50841,-0.116432,-5.332553
