"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.023112,-2.289339,-0.001506,-0.174767,-0.002813,-0.342266,-0.001506,-0.174767,-0.002813,-0.342266,-0.001306,-0.133027,-0.004319,-0.31562
"doxy",1,0.004292,1.051137,0.013453,3.859169,-0.050921,-15.32309,0.013453,3.859169,-0.050921,-15.32309,-0.064373,-16.21287,-0.037468,-6.770669
"oxy",9,0.15718,14.71188,-0.048737,-5.342817,0.029417,3.382717,-0.048737,-5.342817,0.029417,3.382717,0.078153,7.521855,-0.01932,-1.334157
"doxy",9,-0.078655,-17.09234,-0.044567,-11.34303,-0.062135,-16.58875,-0.044567,-11.34303,-0.062135,-16.58875,-0.017568,-3.925564,-0.106702,-17.10673
"oxy",2,0.06691,5.542602,-0.030241,-2.934005,-0.038792,-3.947879,-0.030241,-2.934005,-0.038792,-3.947879,-0.008551,-0.728322,-0.069033,-4.218884
"doxy",2,-0.078026,-12.59799,0.047444,8.971899,-0.024933,-4.945909,0.047444,8.971899,-0.024933,-4.945909,-0.072377,-12.01629,0.022511,2.681449
"oxy",10,0.201529,17.64142,-0.085805,-8.797283,-0.033683,-3.62253,-0.085805,-8.797283,-0.033683,-3.62253,0.052122,4.691585,-0.119488,-7.716852
"doxy",10,-0.080127,-16.8657,0.094575,23.31545,-0.025144,-6.50236,0.094575,23.31545,-0.025144,-6.50236,-0.119719,-25.91175,0.06943,10.78195
"oxy",3,0.008686,3.617028,0.026702,13.02368,0.021192,10.84223,0.026702,13.02368,0.021192,10.84223,-0.00551,-2.359533,0.047894,14.71457
"doxy",3,-0.021062,-4.955897,-0.044936,-12.38414,-0.035984,-10.40273,-0.044936,-12.38414,-0.035984,-10.40273,0.008952,2.165901,-0.08092,-14.0478
"oxy",11,0.199139,18.3203,-0.017173,-1.850366,-0.014421,-1.629968,-0.017173,-1.850366,-0.014421,-1.629968,0.002752,0.260298,-0.031594,-2.14437
"doxy",11,-0.101468,-26.3374,-0.011962,-3.636433,-0.050364,-16.06063,-0.011962,-3.636433,-0.050364,-16.06063,-0.038402,-10.24948,-0.062325,-11.93513
"oxy",4,0.110381,10.20535,-0.0229,-2.479784,-0.020217,-2.296415,-0.0229,-2.479784,-0.020217,-2.296415,0.002683,0.255102,-0.043117,-2.941051
"doxy",4,-0.041216,-8.342778,-0.003669,-0.869941,-0.025225,-6.273084,-0.003669,-0.869941,-0.025225,-6.273084,-0.021556,-4.48654,-0.028894,-4.315005
"oxy",12,0.206896,19.97202,-0.106497,-12.04054,-0.070216,-8.327424,-0.106497,-12.04054,-0.070216,-8.327424,0.03628,3.601179,-0.176713,-12.58513
"doxy",12,-0.048375,-12.22756,0.032694,9.678911,-0.021123,-6.559407,0.032694,9.678911,-0.021123,-6.559407,-0.053817,-13.98743,0.011572,2.15789
"oxy",5,0.021468,4.937802,0.046381,12.49436,0.052325,14.78584,0.046381,12.49436,0.052325,14.78584,0.005944,1.405804,0.098705,16.74931
"doxy",5,-0.042903,-5.975763,-0.079753,-13.01069,-0.074785,-12.79753,-0.079753,-13.01069,-0.074785,-12.79753,0.004969,0.711624,-0.154538,-15.88056
"oxy",13,0.101372,11.0427,-0.017641,-2.25072,0.001921,0.257125,-0.017641,-2.25072,0.001921,0.257125,0.019562,2.191198,-0.01572,-1.263348
"doxy",13,-0.047727,-10.26687,0.010879,2.740975,-0.055212,-14.59199,0.010879,2.740975,-0.055212,-14.59199,-0.066091,-14.61926,-0.044333,-7.035999
"oxy",6,0.151978,12.06852,-0.077587,-7.216074,-0.004157,-0.405515,-0.077587,-7.216074,-0.004157,-0.405515,0.07343,5.995877,-0.081743,-4.788995
"doxy",6,-0.040645,-8.571543,-0.003648,-0.90112,-0.015951,-4.132781,-0.003648,-0.90112,-0.015951,-4.132781,-0.012303,-2.667827,-0.019599,-3.049383
"oxy",14,0.077128,8.14654,-0.054269,-6.713476,0.014728,1.911213,-0.054269,-6.713476,0.014728,1.911213,0.068997,7.493628,-0.03954,-3.081196
"doxy",14,-0.027625,-6.867247,0.104997,30.56995,-0.039685,-12.12,0.104997,30.56995,-0.039685,-12.12,-0.144682,-36.98247,0.065313,11.97821
"oxy",7,0.073105,6.809438,-0.05523,-6.025289,0.074768,8.556239,-0.05523,-6.025289,0.074768,8.556239,0.129997,12.45104,0.019538,1.342675
"doxy",7,0.011857,2.009158,-0.061209,-12.14764,-0.088112,-18.34318,-0.061209,-12.14764,-0.088112,-18.34318,-0.026903,-4.687538,-0.149321,-18.66711
"oxy",15,0.032675,3.181353,-0.00375,-0.427626,0.067803,8.110445,-0.00375,-0.427626,0.067803,8.110445,0.071553,7.163516,0.064053,4.601001
"doxy",15,0.12093,20.16135,0.082428,16.09542,0.013363,2.737046,0.082428,16.09542,0.013363,2.737046,-0.069065,-11.84001,0.095791,11.78228
"oxy",8,0.224289,16.70242,-0.056866,-4.959846,0.018063,1.652632,-0.056866,-4.959846,0.018063,1.652632,0.07493,5.737625,-0.038803,-2.131845
"doxy",8,-0.012853,-2.789408,0.063712,16.19487,-0.021322,-5.685071,0.063712,16.19487,-0.021322,-5.685071,-0.085034,-18.97627,0.042391,6.787403
"oxy",16,0.085583,7.523122,-0.073095,-7.525479,-0.026671,-2.880398,-0.073095,-7.525479,-0.026671,-2.880398,0.046423,4.196149,-0.099766,-6.470074
"doxy",16,-0.049998,-9.6727,0.100964,22.87727,-0.017572,-4.176553,0.100964,22.87727,-0.017572,-4.176553,-0.118536,-23.58045,0.083392,11.90259
