"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.415856,-28.32586,0.177222,17.82542,0.177222,17.82542
"doxy",1,-0.190359,-20.67886,0.107942,17.3151,0.107942,17.3151
"oxy",9,-0.514231,-41.96066,0.097233,11.71601,0.097233,11.71601
"doxy",9,-0.373364,-45.1225,-0.015749,-2.810639,-0.015749,-2.810639
"oxy",2,-0.490889,-36.52549,0.069268,7.610735,0.069268,7.610735
"doxy",2,-0.271471,-31.86307,0.070885,12.28577,0.070885,12.28577
"oxy",10,-0.239108,-17.98651,0.0674,7.48677,0.0674,7.48677
"doxy",10,-0.118322,-17.49974,-0.017171,-3.750175,-0.017171,-3.750175
"oxy",3,0.202405,29.3265,-0.073203,-15.66213,-0.073203,-15.66213
"doxy",3,-0.359341,-31.40832,0.120835,15.59594,0.120835,15.59594
"oxy",11,-0.47177,-35.86681,0.079209,8.892369,0.079209,8.892369
"doxy",11,-0.437116,-42.58266,0.05381,7.740779,0.05381,7.740779
"oxy",4,-0.138417,-13.48402,-0.030193,-4.343305,-0.030193,-4.343305
"doxy",4,0.038527,8.088778,0.026181,8.116859,0.026181,8.116859
"oxy",12,-0.1609,-15.30784,-0.023286,-3.271478,-0.023286,-3.271478
"doxy",12,-0.109847,-24.18632,0.012198,3.966106,0.012198,3.966106
"oxy",5,-0.315532,-40.18132,0.05638,10.60196,0.05638,10.60196
"doxy",5,-0.225001,-20.90381,0.027767,3.809363,0.027767,3.809363
"oxy",13,-0.15402,-18.86572,0.043741,7.911618,0.043741,7.911618
"doxy",13,-0.292674,-26.35957,0.089845,11.94895,0.089845,11.94895
"oxy",6,-0.1571,-11.18021,-0.042159,-4.43039,-0.042159,-4.43039
"doxy",6,-0.001491,-0.299126,0.023499,6.964019,0.023499,6.964019
"oxy",14,-0.04827,-5.743494,-0.035705,-6.273448,-0.035705,-6.273448
"doxy",14,-0.002037,-0.464842,0.000645,0.217434,0.000645,0.217434
"oxy",7,-0.154722,-14.89242,0.128718,18.29506,0.128718,18.29506
"doxy",7,-0.195806,-28.3729,-0.018355,-3.927443,-0.018355,-3.927443
"oxy",15,-0.173817,-17.22717,0.169265,24.77247,0.169265,24.77247
"doxy",15,-0.771639,-34.61746,0.253416,16.78793,0.253416,16.78793
"oxy",8,-0.337187,-23.15851,0.106914,10.8432,0.106914,10.8432
"doxy",8,-0.12776,-16.51349,-0.026332,-5.025931,-0.026332,-5.025931
"oxy",16,-0.180529,-18.94328,-0.003849,-0.596368,-0.003849,-0.596368
"doxy",16,-0.042616,-7.086511,-0.017824,-4.376603,-0.017824,-4.376603
