"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.38956,-29.97164,-0.017865,-2.030282,-0.017865,-2.030282
"doxy",1,0.187281,68.3325,0.018454,9.945936,0.018454,9.945936
"oxy",9,-0.34969,-20.28334,-0.061268,-5.24953,-0.061268,-5.24953
"doxy",9,0.017775,5.326021,-0.014064,-6.22476,-0.014064,-6.22476
"oxy",2,-0.517424,-35.02472,-0.09459,-9.458006,-0.09459,-9.458006
"doxy",2,0.269693,76.42507,0.041051,17.18362,0.041051,17.18362
"oxy",10,-0.510455,-19.49883,-0.167065,-9.426767,-0.167065,-9.426767
"doxy",10,-0.00724,-0.694336,-0.083681,-11.8549,-0.083681,-11.8549
"oxy",3,-0.241986,-27.47034,-0.069663,-11.68167,-0.069663,-11.68167
"doxy",3,0.119303,34.35339,0.039107,16.6343,0.039107,16.6343
"oxy",11,-0.243074,-15.07935,-0.043265,-3.964656,-0.043265,-3.964656
"doxy",11,0.07947,21.92467,0.001555,0.633883,0.001555,0.633883
"oxy",4,-0.518407,-32.05859,-0.087702,-8.011415,-0.087702,-8.011415
"doxy",4,0.22183,67.77094,0.042312,19.09486,0.042312,19.09486
"oxy",12,-0.467484,-29.81656,-0.079779,-7.516385,-0.079779,-7.516385
"doxy",12,0.108205,26.33497,0.028669,10.30681,0.028669,10.30681
"oxy",5,-0.412376,-25.64883,-0.125327,-11.51457,-0.125327,-11.51457
"doxy",5,0.163687,47.54617,0.01067,4.578058,0.01067,4.578058
"oxy",13,-0.263168,-27.10053,-0.06406,-9.744511,-0.06406,-9.744511
"doxy",13,0.140062,28.68946,0.012748,3.857208,0.012748,3.857208
"oxy",6,-0.506321,-27.04361,-0.136614,-10.77857,-0.136614,-10.77857
"doxy",6,0.161664,37.10439,0.025036,8.488001,0.025036,8.488001
"oxy",14,-0.50471,-41.32727,-0.095832,-11.59134,-0.095832,-11.59134
"doxy",14,0.163041,41.79321,0.044001,16.66081,0.044001,16.66081
"oxy",7,-0.365046,-23.26241,-0.063843,-6.009663,-0.063843,-6.009663
"doxy",7,0.140064,27.60972,0.011282,3.285026,0.011282,3.285026
"oxy",15,-0.233294,-19.88555,-0.081312,-10.23798,-0.081312,-10.23798
"doxy",15,0.230898,56.99907,0.003755,1.36923,0.003755,1.36923
"oxy",8,-0.594657,-22.56441,-0.252212,-14.13682,-0.252212,-14.13682
"doxy",8,-0.083653,-6.386008,-0.159791,-18.01887,-0.159791,-18.01887
"oxy",16,-0.453807,-40.34303,-0.101159,-13.28402,-0.101159,-13.28402
"doxy",16,0.198722,51.9081,0.059026,22.775,0.059026,22.775
