"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",9,0.187049,19.61883,-0.005848,-0.753528,0.192854,23.69076,-0.005848,-0.753528,0.192854,23.69076,0.198702,21.42898,0.187007,14.4712
"doxy",9,-0.016237,-3.572087,-0.067082,-18.13169,-0.134856,-34.74785,-0.067082,-18.13169,-0.134856,-34.74785,-0.067775,-15.33111,-0.201938,-32.77724
"oxy",2,0.188988,24.90025,0.104253,16.87593,0.181155,27.95457,0.104253,16.87593,0.181155,27.95457,0.076902,10.41816,0.285408,27.7438
"doxy",2,0.029759,9.560975,-0.001282,-0.506203,0.004128,1.553473,-0.001282,-0.506203,0.004128,1.553473,0.005411,1.787451,0.002846,0.674611
"oxy",10,0.32239,30.80548,0.088619,10.40352,0.210363,23.54225,0.088619,10.40352,0.210363,23.54225,0.121745,11.96129,0.298982,21.07756
"doxy",10,0.046351,9.447847,0.05372,13.45296,-0.006058,-1.446227,0.05372,13.45296,-0.006058,-1.446227,-0.059778,-12.52841,0.047662,7.167601
"oxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",11,0.107668,13.58846,-0.058558,-9.079842,0.183001,27.05,-0.058558,-9.079842,0.183001,27.05,0.241559,31.34636,0.124443,11.58727
"doxy",11,-0.197665,-43.35966,-0.043431,-11.70475,-0.146177,-37.55496,-0.043431,-11.70475,-0.146177,-37.55496,-0.102746,-23.17419,-0.189607,-30.6861
"oxy",4,0.120589,11.87529,0.193729,23.43903,0.229276,26.44399,0.193729,23.43903,0.229276,26.44399,0.035547,3.599361,0.423004,30.73343
"doxy",4,-0.006135,-1.296361,-0.003903,-1.013278,-0.012479,-3.08813,-0.003903,-1.013278,-0.012479,-3.08813,-0.008576,-1.86309,-0.016383,-2.553812
"oxy",12,0.18705,16.98726,0.019064,2.12716,0.137181,14.59123,0.019064,2.12716,0.137181,14.59123,0.118116,11.02957,0.156245,10.46894
"doxy",12,-0.095269,-26.41524,-0.009081,-3.093497,-0.040006,-12.9916,-0.009081,-3.093497,-0.040006,-12.9916,-0.030925,-8.816518,-0.049087,-10.04158
"oxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",13,0.062674,9.00752,0.013338,2.355081,0.172462,29.02965,0.013338,2.355081,0.172462,29.02965,0.159124,23.51445,0.185799,19.70111
"doxy",13,-0.074552,-18.16532,-0.009932,-2.97331,-0.123886,-35.35368,-0.009932,-2.97331,-0.123886,-35.35368,-0.113953,-28.54899,-0.133818,-24.05611
"oxy",6,0.20941,20.01664,0.175801,20.64551,0.254607,28.5034,0.175801,20.64551,0.254607,28.5034,0.078806,7.745237,0.430408,30.35319
"doxy",6,0.019951,4.980895,-0.001161,-0.356079,-0.04257,-12.44732,-0.001161,-0.356079,-0.04257,-12.44732,-0.041409,-10.62962,-0.043731,-8.054861
"oxy",14,0.104521,9.234883,0.035947,3.902107,0.181838,18.81683,0.035947,3.902107,0.181838,18.81683,0.145891,13.25382,0.217785,14.19668
"doxy",14,-0.188012,-39.29591,-0.066722,-17.13321,-0.0613,-15.00568,-0.066722,-17.13321,-0.0613,-15.00568,0.005422,1.165121,-0.128022,-19.7413
"oxy",7,0.326661,28.14536,0.05606,5.934314,0.267055,26.94905,0.05606,5.934314,0.267055,26.94905,0.210995,18.69242,0.323115,20.53983
"doxy",7,-0.022092,-3.49484,-0.071436,-13.88426,-0.164836,-30.54082,-0.071436,-13.88426,-0.164836,-30.54082,-0.0934,-15.19239,-0.236272,-27.57644
"oxy",15,0.109966,14.6642,-0.006901,-1.130615,0.185516,28.97434,-0.006901,-1.130615,0.185516,28.97434,0.192417,26.38307,0.178615,17.57308
"doxy",15,-0.085044,-16.16251,-0.051642,-12.05821,-0.213906,-47.61268,-0.051642,-12.05821,-0.213906,-47.61268,-0.162264,-31.70816,-0.265548,-37.23408
"oxy",8,-0.034024,-2.215665,-0.064926,-5.194503,0.100208,7.642834,-0.064926,-5.194503,0.100208,7.642834,0.165134,11.05699,0.035283,1.695157
"doxy",8,-0.23635,-19.26882,-0.091608,-9.175762,-0.101263,-9.669057,-0.091608,-9.175762,-0.101263,-9.669057,-0.009655,-0.809383,-0.192871,-11.60104
"oxy",16,0.153501,19.36674,0.020409,3.163574,0.212253,31.36415,0.020409,3.163574,0.212253,31.36415,0.191844,24.88732,0.232662,21.65722
"doxy",16,-0.011596,-2.532235,-0.024132,-6.474209,-0.031435,-8.03962,-0.024132,-6.474209,-0.031435,-8.03962,-0.007303,-1.639809,-0.055568,-8.952284
