"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",9,0.131685,11.45014,-0.002481,-0.263086,-0.096295,-10.31752,-0.002481,-0.263086,-0.096295,-10.31752,-0.093814,-7.333975,-0.098776,-7.195335
"doxy",9,0.028153,5.293906,0.038088,8.734322,0.016494,3.821883,0.038088,8.734322,0.016494,3.821883,-0.021594,-3.650633,0.054582,8.59849
"oxy",2,0.055085,8.10152,-0.008625,-1.546952,-0.110035,-19.94168,-0.008625,-1.546952,-0.110035,-19.94168,-0.10141,-13.4095,-0.11866,-14.6205
"doxy",2,-0.027273,-4.817066,0.062448,13.45146,-0.027027,-5.882336,0.062448,13.45146,-0.027027,-5.882336,-0.089475,-14.20868,0.035421,5.241323
"oxy",10,-0.091644,-8.195163,-0.081134,-8.848149,0.045309,4.992682,-0.081134,-8.848149,0.045309,4.992682,0.126443,10.16588,-0.035825,-2.6839
"doxy",10,-0.074631,-12.3236,0.05343,10.75968,0.06459,13.14252,0.05343,10.75968,0.06459,13.14252,0.01116,1.656791,0.11802,16.32667
"oxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",11,0.039085,4.411911,0.041541,5.718637,-0.08456,-11.76205,0.041541,5.718637,-0.08456,-11.76205,-0.126101,-12.79783,-0.043019,-4.068248
"doxy",11,0.000757,0.136798,0.020975,4.624413,0.01066,2.374713,0.020975,4.624413,0.01066,2.374713,-0.010315,-1.67659,0.031634,4.791272
"oxy",4,0.094111,15.16027,0.046495,9.134213,-0.091819,-18.22619,0.046495,9.134213,-0.091819,-18.22619,-0.138314,-20.03228,-0.045324,-6.116691
"doxy",4,-0.073622,-15.41122,0.002787,0.711563,0.020039,5.168865,0.002787,0.711563,0.020039,5.168865,0.017251,3.246752,0.022826,4.002984
"oxy",12,-0.076382,-8.135622,-0.086775,-11.2718,-0.021081,-2.766934,-0.086775,-11.2718,-0.021081,-2.766934,0.065694,6.291049,-0.107857,-9.624394
"doxy",12,-0.002577,-0.417388,0.064165,12.67415,0.030417,6.070757,0.064165,12.67415,0.030417,6.070757,-0.033748,-4.914348,0.094582,12.83393
"oxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",13,0.036768,4.557674,0.087086,13.16491,-0.060824,-9.290665,0.087086,13.16491,-0.060824,-9.290665,-0.14791,-16.48423,0.026262,2.727243
"doxy",13,0.148916,15.80697,0.122329,15.83542,0.040318,5.273503,0.122329,15.83542,0.040318,5.273503,-0.082011,-7.826616,0.162646,14.46355
"oxy",6,0.05278,9.091871,0.022192,4.662062,-0.023351,-4.956681,0.022192,4.662062,-0.023351,-4.956681,-0.045543,-7.053518,-0.001159,-0.167281
"doxy",6,-0.176083,-28.36201,-0.053374,-10.48441,-0.059331,-11.77591,-0.053374,-10.48441,-0.059331,-11.77591,-0.005957,-0.862613,-0.112705,-15.20845
"oxy",14,0.02548,3.251704,-0.029955,-4.661927,-0.021503,-3.381499,-0.029955,-4.661927,-0.021503,-3.381499,0.008451,0.96967,-0.051458,-5.501528
"doxy",14,-0.036687,-5.619254,0.033839,6.320952,0.001829,0.345225,0.033839,6.320952,0.001829,0.345225,-0.03201,-4.408091,0.035669,4.576925
"oxy",7,0.159157,14.13655,0.003684,0.399004,-0.031565,-3.454815,0.003684,0.399004,-0.031565,-3.454815,-0.035249,-2.814877,-0.027882,-2.074737
"doxy",7,-0.077972,-12.05816,-0.012394,-2.337574,0.079233,15.09901,-0.012394,-2.337574,0.079233,15.09901,0.091628,12.73994,0.066839,8.659598
"oxy",15,0.026108,3.471123,0.065668,10.64739,-0.033099,-5.422475,0.065668,10.64739,-0.033099,-5.422475,-0.098767,-11.80592,0.03257,3.627696
"doxy",15,0.192889,24.54071,0.088888,13.79163,0.034822,5.45914,0.088888,13.79163,0.034822,5.45914,-0.054066,-6.184432,0.123709,13.18576
"oxy",8,-0.128906,-9.947353,-0.00863,-0.812194,0.114126,10.85213,-0.00863,-0.812194,0.114126,10.85213,0.122757,8.516764,0.105496,6.82013
"doxy",8,-0.148455,-25.04921,-0.051861,-10.67168,0.073399,15.26111,-0.051861,-10.67168,0.073399,15.26111,0.12526,19.00234,0.021538,3.044638
"oxy",16,-0.022191,-2.408318,0.034611,4.580836,-0.058592,-7.835508,0.034611,4.580836,-0.058592,-7.835508,-0.093203,-9.094101,-0.023981,-2.180316
"doxy",16,-0.156568,-16.68423,0.052086,6.768884,-0.023204,-3.046949,0.052086,6.768884,-0.023204,-3.046949,-0.07529,-7.213335,0.028882,2.578387
