"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.561083,14.32125,-0.303283,-4.709344,-0.184181,-3.007437,-0.119101,-2.168068
"doxy",1,-0.642401,-17.2957,-1.09093,-17.86847,0.126163,2.173012,-1.217093,-23.36996
"oxy",9,1.014718,38.07962,0.038522,0.879457,0.220829,5.301523,-0.182307,-4.879254
"doxy",9,-0.29956,-15.22127,-0.473149,-14.62596,0.439727,14.2938,-0.912876,-33.08123
"oxy",2,0.664827,22.22776,0.034952,0.710924,0.481336,10.29514,-0.446384,-10.64382
"doxy",2,-0.357693,-16.01004,-0.610629,-16.62717,-0.123204,-3.527786,-0.487426,-15.5594
"oxy",10,0.925566,31.54103,0.202849,4.205339,0.686679,14.9699,-0.483829,-11.7588
"doxy",10,-0.415073,-15.65051,-0.827094,-18.97219,0.394931,9.526243,-1.222024,-32.8614
"oxy",3,0.937586,30.58747,0.336075,6.670019,0.500487,10.44534,-0.164413,-3.825345
"doxy",3,-0.243206,-14.37611,-0.522771,-18.79915,0.359584,13.59768,-0.882355,-37.19747
"oxy",11,1.197753,47.65704,0.334354,8.093293,-0.285193,-7.259315,0.619547,17.58071
"doxy",11,-0.456916,-26.07474,-0.513686,-17.83365,0.221992,8.104346,-0.735678,-29.94152
"oxy",4,0.772587,23.56047,0.529056,9.815152,0.499431,9.743365,0.029625,0.644314
"doxy",4,-0.61141,-27.90286,-0.558902,-15.51709,0.316023,9.22637,-0.874924,-28.47663
"oxy",12,0.771931,32.72324,0.010665,0.275048,0.32729,8.875798,-0.316625,-9.572489
"doxy",12,-0.59374,-28.24667,-0.550313,-15.92722,0.391445,11.91348,-0.941758,-31.95309
"oxy",5,0.970232,32.59217,0.685879,14.01664,0.506126,10.87661,0.179753,4.306417
"doxy",5,-0.060332,-3.18353,-0.500271,-16.05929,0.332125,11.21142,-0.832396,-31.32524
"oxy",13,0.952329,26.02158,-0.15006,-2.494429,-0.324811,-5.677737,0.174751,3.405413
"doxy",13,-0.072651,-3.98986,-0.367345,-12.27303,0.111837,3.929174,-0.479182,-18.76816
"oxy",6,0.794484,30.1136,0.409309,9.438156,0.480422,11.64923,-0.071113,-1.922336
"doxy",6,-0.488143,-18.16327,-0.68126,-15.42122,0.247899,5.900916,-0.929159,-24.65695
"oxy",14,0.49407,16.61095,-0.309071,-6.321552,0.156605,3.36829,-0.465676,-11.16588
"doxy",14,-0.297233,-26.56902,-0.392134,-21.32415,0.139585,7.982025,-0.531719,-33.8971
"oxy",7,0.701198,20.70918,0.058152,1.04483,0.583836,11.03088,-0.525684,-11.0726
"doxy",7,-0.172019,-12.50338,-0.438021,-19.3689,0.207614,9.653951,-0.645635,-33.46884
"oxy",15,0.70297,24.37718,-0.378024,-7.974896,0.116745,2.589892,-0.494769,-12.23634
"doxy",15,-0.0866,-5.350901,-0.262805,-9.878716,0.421654,16.66717,-0.684459,-30.16186
"oxy",8,0.786793,23.07586,0.184366,3.289548,0.643858,12.08047,-0.459492,-9.611195
"doxy",8,-0.282481,-11.3485,-0.470262,-11.49341,0.564629,14.51143,-1.034891,-29.65153
"oxy",16,1.037673,33.73271,-0.067712,-1.339101,-0.209449,-4.355772,0.141737,3.286063
"doxy",16,-0.143693,-12.9064,-0.188075,-10.27682,-0.124551,-7.156707,-0.063524,-4.069198
