"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.347471,12.146,0.291266,10.92205,0.453171,16.99384,0.291266,10.92205,0.453171,16.99384,0.161905,4.417356,0.744437,19.21359
"doxy",1,-0.068028,-10.47606,0.006363,1.051204,0.072211,11.92975,0.006363,1.051204,0.072211,11.92975,0.065848,7.914848,0.078574,8.934267
"oxy",9,0.374468,25.96294,0.055559,4.132317,0.061089,4.543751,0.055559,4.132317,0.061089,4.543751,0.00553,0.29924,0.116648,5.971471
"doxy",9,-0.052481,-12.57679,-0.014688,-3.775996,0.026834,6.898607,-0.014688,-3.775996,0.026834,6.898607,0.041522,7.766589,0.012146,2.14907
"oxy",2,0.27314,7.148783,0.372645,10.46264,0.398242,11.1817,0.372645,10.46264,0.398242,11.1817,0.025597,0.522896,0.770887,14.89714
"doxy",2,0.127671,12.12241,0.050881,5.182669,0.135402,13.79226,0.050881,5.182669,0.135402,13.79226,0.084521,6.263928,0.186283,13.05977
"oxy",10,0.461313,19.3965,0.114951,5.184881,-0.160417,-7.235876,0.114951,5.184881,-0.160417,-7.235876,-0.275368,-9.03707,-0.045466,-1.411487
"doxy",10,0.181901,14.57514,0.048768,4.191892,-0.078015,-6.706115,0.048768,4.191892,-0.078015,-6.706115,-0.126783,-7.929141,-0.029247,-1.730332
"oxy",3,0.518237,18.29164,0.446514,16.9067,0.646116,24.46523,0.446514,16.9067,0.646116,24.46523,0.199602,5.498909,1.092631,28.47496
"doxy",3,0.067054,11.41881,0.004616,0.84323,0.131453,24.01485,0.004616,0.84323,0.131453,24.01485,0.126837,16.85889,0.136069,17.10878
"oxy",11,0.286955,17.16992,0.077791,4.993232,0.110574,7.097747,0.077791,4.993232,0.110574,7.097747,0.032783,1.531048,0.188364,8.321831
"doxy",11,-0.094326,-19.74079,0.00512,1.149387,0.085053,19.09579,0.00512,1.149387,0.085053,19.09579,0.079934,13.05719,0.090173,13.93393
"oxy",4,0.073207,1.989316,0.418296,12.1936,0.607142,17.69919,0.418296,12.1936,0.607142,17.69919,0.188846,4.005374,1.025438,20.57424
"doxy",4,0.01745,1.78927,0.007693,0.846235,0.109912,12.09068,0.007693,0.846235,0.109912,12.09068,0.102219,8.181068,0.117605,8.90395
"oxy",12,0.207442,8.75063,0.153086,6.927504,0.059799,2.706152,0.153086,6.927504,0.059799,2.706152,-0.093287,-3.071495,0.212885,6.630606
"doxy",12,-0.045312,-8.928385,0.046708,9.872916,0.119387,25.23668,0.046708,9.872916,0.119387,25.23668,0.07268,11.17792,0.166095,24.16469
"oxy",5,0.469993,26.18777,0.157236,9.398468,0.364993,21.81756,0.157236,9.398468,0.364993,21.81756,0.207757,9.035486,0.522229,21.4849
"doxy",5,-0.108931,-10.93964,-0.01919,-2.067364,0.174032,18.74969,-0.01919,-2.067364,0.174032,18.74969,0.193222,15.14587,0.154843,11.48169
"oxy",13,0.213928,17.07192,0.076809,6.575504,0.018758,1.605883,0.076809,6.575504,0.018758,1.605883,-0.058052,-3.615903,0.095567,5.631062
"doxy",13,0.1142,24.62572,-0.036756,-8.502569,-0.022122,-5.117615,-0.036756,-8.502569,-0.022122,-5.117615,0.014634,2.463,-0.058878,-9.374403
"oxy",6,0.267742,7.536821,0.406433,12.27327,0.564065,17.03398,0.406433,12.27327,0.564065,17.03398,0.157632,3.463422,0.970498,20.17123
"doxy",6,-0.284396,-30.21367,0.072142,8.221854,0.219162,24.97815,0.072142,8.221854,0.219162,24.97815,0.14702,12.19112,0.291304,22.85036
"oxy",14,0.25841,12.41584,0.201532,10.38747,0.189227,9.753584,0.201532,10.38747,0.189227,9.753584,-0.012305,-0.46146,0.390759,13.86249
"doxy",14,0.004345,0.845825,0.003128,0.653304,0.056526,11.80592,0.003128,0.653304,0.056526,11.80592,0.053398,8.11426,0.059654,8.575171
"oxy",7,0.451187,27.22657,0.162732,10.53437,0.186603,12.0801,0.162732,10.53437,0.186603,12.0801,0.023871,1.124348,0.349335,15.56484
"doxy",7,-0.169149,-18.80911,0.00472,0.563051,0.057972,6.915639,0.00472,0.563051,0.057972,6.915639,0.053252,4.621921,0.062692,5.147279
"oxy",15,-0.077687,-12.54043,0.027285,4.724863,0.010708,1.854266,0.027285,4.724863,0.010708,1.854266,-0.016578,-2.088674,0.037993,4.528251
"doxy",15,0.106847,14.8224,-0.021557,-3.208133,-0.028633,-4.261273,-0.021557,-3.208133,-0.028633,-4.261273,-0.007076,-0.766147,-0.050191,-5.140954
"oxy",8,0.591168,20.6711,0.402678,15.10461,0.436121,16.35963,0.402678,15.10461,0.436121,16.35963,0.033443,0.912725,0.838799,21.65587
"doxy",8,-0.072081,-8.410556,0.087059,10.89719,0.242151,30.31109,0.087059,10.89719,0.242151,30.31109,0.155092,14.12465,0.32921,28.36218
"oxy",16,0.345788,18.25543,0.096244,5.450731,0.054407,3.081441,0.096244,5.450731,0.054407,3.081441,-0.041837,-1.723958,0.150651,5.872466
"doxy",16,0.115948,18.25212,-0.015203,-2.567343,0.011102,1.874789,-0.015203,-2.567343,0.011102,1.874789,0.026305,3.232016,-0.004102,-0.476717
