"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.600447,20.64305,0.013969,0.278583,0.048016,1.027659,-0.034048,-0.805825
"doxy",1,0.003079,0.174458,0.449646,14.77915,0.303873,10.71842,0.145773,5.686024
"oxy",9,0.61011,23.88721,0.347229,7.8863,0.670035,16.33106,-0.322806,-8.70065
"doxy",9,0.196591,14.38484,0.223926,9.50483,0.584691,26.6334,-0.360765,-18.17265
"oxy",2,0.74403,25.96102,0.029687,0.600896,0.335157,7.280135,-0.30547,-7.33758
"doxy",2,0.347047,19.19659,0.639519,20.52057,0.546749,18.82714,0.09277,3.532603
"oxy",10,0.460397,10.01231,-0.861405,-10.86699,-0.369928,-5.008168,-0.491477,-7.357977
"doxy",10,0.209873,5.516897,-0.899531,-13.71683,-0.264502,-4.328391,-0.635029,-11.4917
"oxy",3,0.665637,24.73164,-0.22397,-4.827312,-0.141439,-3.271472,-0.082532,-2.111001
"doxy",3,-0.188138,-14.29591,0.014182,0.625136,-0.063568,-3.007019,0.07775,4.067159
"oxy",11,0.69123,26.29266,0.326452,7.203281,0.634833,15.03249,-0.308381,-8.075191
"doxy",11,0.195539,15.17173,0.422016,18.99459,0.621288,30.00918,-0.199272,-10.64391
"oxy",4,0.674327,29.55686,-0.400754,-10.1898,0.19904,5.431097,-0.599794,-18.09852
"doxy",4,0.444578,18.5785,0.498606,12.08704,0.411832,10.71375,0.086775,2.49637
"oxy",12,0.346392,10.23582,-1.123928,-19.26607,-0.885904,-16.29675,-0.238024,-4.842048
"doxy",12,-0.208467,-11.5236,-1.080724,-34.65499,-0.846969,-29.14597,-0.233755,-8.895386
"oxy",5,0.723431,24.80087,0.4447,8.843748,0.488511,10.42566,-0.043811,-1.033962
"doxy",5,0.366356,17.3676,0.02007,0.551927,0.309739,9.140965,-0.289669,-9.45348
"oxy",13,0.291915,12.17514,0.123516,2.988412,0.352808,9.160419,-0.229292,-6.583533
"doxy",13,-0.150531,-11.82623,-0.526392,-23.98995,-0.370648,-18.12766,-0.155744,-8.423346
"oxy",6,0.765871,20.98953,-0.76605,-12.17878,-0.422174,-7.202748,-0.343876,-6.487857
"doxy",6,0.226899,10.14333,-0.895885,-23.23277,-0.547989,-15.25038,-0.347896,-10.70659
"oxy",14,-0.287988,-7.586358,-1.440231,-22.00855,-1.031539,-16.91629,-0.408692,-7.411544
"doxy",14,-0.167525,-10.58532,-0.891835,-32.68959,-0.842881,-33.15518,-0.048953,-2.129424
"oxy",7,0.630612,26.94773,-0.028582,-0.708523,0.29106,7.742867,-0.319642,-9.403221
"doxy",7,0.23068,17.47188,-0.167591,-7.363424,0.156622,7.384849,-0.324213,-16.90491
"oxy",15,0.139505,4.827599,-0.31768,-6.377212,0.374642,8.070803,-0.692322,-16.49309
"doxy",15,-0.084597,-5.301697,-0.563998,-20.50389,-0.591498,-23.07661,0.0275,1.186439
"oxy",8,0.839195,16.93676,-0.903647,-10.57952,-0.284623,-3.575996,-0.619024,-8.600586
"doxy",8,0.5451,15.08971,-0.994142,-15.96441,-0.288108,-4.965005,-0.706034,-13.45499
"oxy",16,-0.304367,-6.865844,-1.455645,-19.04809,-0.69763,-9.796734,-0.758014,-11.77136
"doxy",16,-0.019901,-1.073052,-0.977428,-30.5729,-1.032285,-34.65064,0.054857,2.036272
