"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-6.630046,-4.301672,-5.198156,-2.009345,-19.02308,-7.798829,13.82492,6.270596
"doxy",1,-17.12166,-6.346225,-2.870323,-0.633847,-31.83448,-7.455818,28.96416,7.50509
"oxy",9,0.276303,11.76139,-0.195117,-4.948238,0.031694,0.852458,-0.22681,-6.749321
"doxy",9,0.094477,10.58392,-0.165327,-11.03435,-0.033271,-2.355152,-0.132055,-10.34191
"oxy",2,0.561681,16.96468,-0.310421,-5.585871,-0.122955,-2.346543,-0.187466,-3.958256
"doxy",2,0.197325,8.168739,0.508548,12.54264,-0.135621,-3.547534,0.644169,18.64222
"oxy",10,0.607489,18.72753,-0.255771,-4.697615,-0.172261,-3.355503,-0.083509,-1.799712
"doxy",10,0.338463,23.76306,-0.196343,-8.212784,-0.184547,-8.187015,-0.011796,-0.57896
"oxy",3,-0.88707,-1.806333,-7.147438,-8.671111,3.569992,4.593409,-10.71743,-15.25654
"doxy",3,-7.462278,-8.564644,-15.04523,-10.28777,9.820693,7.122097,-24.86592,-19.95114
"oxy",11,0.322425,15.96495,-0.040768,-1.202658,0.035406,1.107749,-0.076174,-2.636755
"doxy",11,0.161709,29.2543,0.029659,3.19667,0.007725,0.883051,0.021934,2.773953
"oxy",4,1.097355,34.98039,-0.501145,-9.517556,0.269844,5.435232,-0.770989,-17.1811
"doxy",4,0.191172,17.48929,0.204486,11.14541,0.039362,2.275361,0.165124,10.56049
"oxy",12,0.384677,11.62384,-0.117136,-2.108775,-0.166932,-3.18729,0.049796,1.051891
"doxy",12,0.222449,18.37858,0.014727,0.724914,-0.16337,-8.528687,0.178097,10.28642
"oxy",5,-6.846754,-9.823965,-9.018229,-7.709172,5.003626,4.536437,-14.02185,-14.06478
"doxy",5,-3.24608,-4.144368,-11.66343,-8.871764,7.603457,6.13392,-19.26689,-17.19634
"oxy",13,0.096693,4.869514,-0.316607,-9.499431,-0.174447,-5.551164,-0.14216,-5.0049
"doxy",13,0.10007,12.61277,-0.307939,-23.12369,-0.121391,-9.667686,-0.186548,-16.43704
"oxy",6,0.967227,34.21131,0.080897,1.704746,-0.067623,-1.511348,0.14852,3.672425
"doxy",6,0.157032,15.76783,-0.078523,-4.697469,0.02799,1.775911,-0.106513,-7.476746
"oxy",14,0.352448,10.63064,-0.008299,-0.149142,-0.090183,-1.718774,0.081884,1.726586
"doxy",14,0.303405,29.06931,0.028327,1.616978,-0.122482,-7.415016,0.15081,10.10103
"oxy",7,0.50262,24.16766,0.12032,3.446818,-0.117557,-3.571669,0.237877,7.996008
"doxy",7,0.037215,5.310589,0.005036,0.428154,-0.016725,-1.508056,0.021761,2.170847
"oxy",15,0.092068,3.21606,-0.162416,-3.380088,-0.166003,-3.664024,0.003587,0.087591
"doxy",15,0.159793,15.44597,-0.149717,-8.622092,-0.086604,-5.289581,-0.063113,-4.264849
"oxy",8,1.110221,35.48759,-0.090424,-1.722007,-0.120847,-2.440784,0.030423,0.679813
"doxy",8,0.218498,16.54483,-0.235283,-10.61426,-0.023957,-1.14626,-0.211326,-11.18644
"oxy",16,0.058589,1.499433,-0.14354,-2.188613,0.032966,0.533096,-0.176507,-3.157885
"doxy",16,0.352374,27.46501,-0.071698,-3.329401,0.035628,1.754669,-0.107326,-5.847972
