"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.382123,32.63232,-0.107445,-9.93972,0.027835,2.605953,-0.107445,-9.93972,0.027835,2.605953,0.13528,10.26522,-0.07961,-4.689445
"doxy",1,-0.144956,-20.19939,-0.025941,-3.915883,-0.01924,-2.939254,-0.025941,-3.915883,-0.01924,-2.939254,0.006701,0.829738,-0.045181,-4.342715
"oxy",9,0.335649,34.7978,0.021637,2.42995,-0.000356,-0.040471,0.021637,2.42995,-0.000356,-0.040471,-0.021993,-2.025975,0.02128,1.52179
"doxy",9,-0.080356,-17.55169,0.065994,15.61521,0.029261,7.00692,0.065994,15.61521,0.029261,7.00692,-0.036733,-7.129291,0.095255,14.35145
"oxy",2,0.363323,37.85306,-0.067483,-7.61638,-0.05106,-5.832108,-0.067483,-7.61638,-0.05106,-5.832108,0.016423,1.520412,-0.118544,-8.519092
"doxy",2,-0.064892,-10.41844,-0.02693,-4.683738,-0.060144,-10.58618,-0.02693,-4.683738,-0.060144,-10.58618,-0.033214,-4.738291,-0.087074,-9.642898
"oxy",10,0.457099,23.62767,-0.01728,-0.967602,0.06632,3.758285,-0.01728,-0.967602,0.06632,3.758285,0.0836,3.839782,0.04904,1.748505
"doxy",10,0.188736,9.773685,0.047561,2.668084,0.058539,3.323454,0.047561,2.668084,0.058539,3.323454,0.010978,0.505169,0.106101,3.789917
"oxy",3,-8.430394,-21.12138,-2.503895,-6.795695,7.403347,20.33474,-2.503895,-6.795695,7.403347,20.33474,9.907242,22.05557,4.899452,8.466997
"doxy",3,-20.66314,-21.26459,-4.706169,-5.246522,19.21601,21.68004,-4.706169,-5.246522,19.21601,21.68004,23.92218,21.87523,14.50985,10.29985
"oxy",11,0.180051,24.70447,0.001461,0.217225,-0.043817,-6.591173,0.001461,0.217225,-0.043817,-6.591173,-0.045279,-5.520349,-0.042356,-4.008684
"doxy",11,-0.000305,-0.069743,0.014572,3.606442,-0.000988,-0.247544,0.014572,3.606442,-0.000988,-0.247544,-0.01556,-3.158831,0.013583,2.140628
"oxy",4,0.414543,43.8694,0.004667,0.535001,-0.013635,-1.581863,0.004667,0.535001,-0.013635,-1.581863,-0.018301,-1.720941,-0.008968,-0.65461
"doxy",4,0.010708,3.139631,-0.02241,-7.117783,-0.025779,-8.286432,-0.02241,-7.117783,-0.025779,-8.286432,-0.003369,-0.877802,-0.04819,-9.745812
"oxy",12,0.381293,25.75223,-0.020313,-1.486223,0.021057,1.559148,-0.020313,-1.486223,0.021057,1.559148,0.04137,2.482774,0.000743,0.034635
"doxy",12,0.170433,17.30138,0.033329,3.665108,0.080425,8.950624,0.033329,3.665108,0.080425,8.950624,0.047096,4.248197,0.113754,7.965239
"oxy",5,-5.339051,-18.45319,-1.062776,-3.97917,3.232953,12.2502,-1.062776,-3.97917,3.232953,12.2502,4.295729,13.19275,2.170177,5.173807
"doxy",5,-21.24448,-21.42643,-5.177614,-5.656878,19.7089,21.79226,-5.177614,-5.656878,19.7089,21.79226,24.88651,22.30277,14.53128,10.10916
"oxy",13,0.061002,7.639911,-0.097312,-13.20249,0.054137,7.433235,-0.097312,-13.20249,0.054137,7.433235,0.151449,16.85404,-0.043175,-3.729787
"doxy",13,0.252242,34.05482,0.013795,2.017611,-0.015202,-2.250115,0.013795,2.017611,-0.015202,-2.250115,-0.028998,-3.478677,-0.001407,-0.131016
"oxy",6,0.581444,53.56907,0.047251,4.715817,-0.054345,-5.489081,0.047251,4.715817,-0.054345,-5.489081,-0.101595,-8.317083,-0.007094,-0.450828
"doxy",6,0.278757,33.38621,0.062203,8.070396,-0.017126,-2.248756,0.062203,8.070396,-0.017126,-2.248756,-0.079329,-8.44239,0.045077,3.723907
"oxy",14,0.355645,24.52699,-0.08938,-6.677493,0.068433,5.174048,-0.08938,-6.677493,0.068433,5.174048,0.157813,9.670817,-0.020947,-0.996466
"doxy",14,0.432496,48.04261,0.06056,7.287462,-0.07791,-9.488046,0.06056,7.287462,-0.07791,-9.488046,-0.138471,-13.66766,-0.01735,-1.329399
"oxy",7,0.453051,55.05946,0.005951,0.783398,-0.008666,-1.154581,0.005951,0.783398,-0.008666,-1.154581,-0.014616,-1.578377,-0.002715,-0.22761
"doxy",7,0.054207,12.15868,0.054118,13.14973,-0.023393,-5.752291,0.054118,13.14973,-0.023393,-5.752291,-0.077511,-15.44836,0.030726,4.753802
"oxy",15,0.163754,14.02542,-0.020619,-1.913128,0.110677,10.39241,-0.020619,-1.913128,0.110677,10.39241,0.131296,9.992338,0.090058,5.320475
"doxy",15,0.366487,38.54345,0.025618,2.918684,-0.098519,-11.35927,0.025618,2.918684,-0.098519,-11.35927,-0.124138,-11.60079,-0.072901,-5.288517
"oxy",8,0.580342,37.15753,-0.065987,-4.576829,0.009829,0.689926,-0.065987,-4.576829,0.009829,0.689926,0.075816,4.313344,-0.056158,-2.480179
"doxy",8,0.189068,17.84752,0.045736,4.676936,-0.034838,-3.605359,0.045736,4.676936,-0.034838,-3.605359,-0.080574,-6.758427,0.010898,0.709605
"oxy",16,0.24902,14.51384,-0.037744,-2.38309,0.076159,4.866409,-0.037744,-2.38309,0.076159,4.866409,0.113903,5.898979,0.038415,1.544407
"doxy",16,0.714343,54.11686,0.086794,7.122937,-0.195303,-16.22071,0.086794,7.122937,-0.195303,-16.22071,-0.282097,-18.98956,-0.108509,-5.670185
