"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.361818,-29.5937,0.134147,16.27062,0.134147,16.27062
"doxy",1,-0.028092,-4.44945,0.130671,30.69097,0.130671,30.69097
"oxy",9,0.250084,14.84112,0.357186,31.43316,0.357186,31.43316
"doxy",9,0.088777,12.01484,0.164632,33.04062,0.164632,33.04062
"oxy",2,-0.282576,-21.13038,0.208524,23.12288,0.208524,23.12288
"doxy",2,0.136922,20.90951,0.109486,24.79373,0.109486,24.79373
"oxy",10,0.320948,16.73739,0.291434,22.53749,0.291434,22.53749
"doxy",10,0.361166,17.96482,0.182161,13.43645,0.182161,13.43645
"oxy",3,0.02874,2.244769,0.269671,31.23471,0.269671,31.23471
"doxy",3,0.074677,16.39823,0.099084,32.26447,0.099084,32.26447
"oxy",11,0.167221,14.46265,0.220088,28.22712,0.220088,28.22712
"doxy",11,0.070179,15.62007,0.104495,34.48923,0.104495,34.48923
"oxy",4,-0.098953,-8.11285,0.246372,29.95366,0.246372,29.95366
"doxy",4,0.122148,24.63653,0.039691,11.87141,0.039691,11.87141
"oxy",12,0.193322,13.45657,0.297027,30.65919,0.297027,30.65919
"doxy",12,0.177786,17.3416,0.15864,22.94659,0.15864,22.94659
"oxy",5,0.104125,8.027146,0.283539,32.414,0.283539,32.414
"doxy",5,0.046251,5.013098,0.254627,40.92648,0.254627,40.92648
"oxy",13,0.047734,5.021617,0.135513,21.14037,0.135513,21.14037
"doxy",13,0.131508,17.09007,0.098987,19.07581,0.098987,19.07581
"oxy",6,0.119688,7.755056,0.305332,29.33722,0.305332,29.33722
"doxy",6,0.166842,14.8708,0.221402,29.2633,0.221402,29.2633
"oxy",14,-0.018051,-1.406878,0.169609,19.60303,0.169609,19.60303
"doxy",14,0.081883,8.705297,0.075087,11.83777,0.075087,11.83777
"oxy",7,0.15155,11.03713,0.274767,29.67414,0.274767,29.67414
"doxy",7,0.077414,10.46809,0.204996,41.10599,0.204996,41.10599
"oxy",15,0.070308,4.760674,0.175125,17.58417,0.175125,17.58417
"doxy",15,0.08924,10.85398,0.033264,5.999524,0.033264,5.999524
"oxy",8,0.309124,15.56887,0.360995,26.96121,0.360995,26.96121
"doxy",8,0.344817,19.55022,0.314293,26.42479,0.314293,26.42479
"oxy",16,-0.201271,-13.17293,0.133916,12.99717,0.133916,12.99717
"doxy",16,0.066966,5.172002,0.047419,5.43082,0.047419,5.43082
