"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.687379,16.91058,1.194505,13.55221,0.392908,3.783042,0.801597,13.13145
"doxy",1,0.061812,1.506436,0.839995,9.440962,1.322502,12.61433,-0.482507,-7.830287
"oxy",9,0.794046,30.10553,0.663711,11.60485,-0.112719,-1.67258,0.77643,19.60186
"doxy",9,0.225838,29.94323,0.174636,10.67812,0.137221,7.120489,0.037415,3.303251
"oxy",2,1.255755,17.22272,1.198588,7.580998,-0.062686,-0.336479,1.261274,11.51862
"doxy",2,0.171716,6.859476,-0.357268,-6.581629,-0.002815,-0.044009,-0.354453,-9.428278
"oxy",10,0.632535,15.21395,1.098822,12.18835,0.48847,4.598153,0.610352,9.775352
"doxy",10,0.088677,4.166704,-0.113991,-2.47007,0.257414,4.733702,-0.371405,-11.62043
"oxy",3,-8.964611,-18.18958,-5.79182,-5.419588,0.215065,0.170785,-6.006886,-8.115866
"doxy",3,-24.61543,-19.09584,-16.74862,-5.991978,0.889306,0.270004,-17.63792,-9.111147
"oxy",11,1.035019,30.72983,0.920665,12.60589,-0.192447,-2.236201,1.113112,22.0062
"doxy",11,-0.024862,-2.860315,-0.087185,-4.625768,0.050284,2.264141,-0.137469,-10.53131
"oxy",4,0.643021,13.24172,0.900142,8.548512,0.2153,1.73521,0.684842,9.390833
"doxy",4,-0.129149,-7.414026,-0.091376,-2.4191,0.312892,7.029832,-0.404267,-15.45346
"oxy",12,0.823217,16.37155,1.316851,12.07736,0.370642,2.884816,0.946209,12.53017
"doxy",12,-0.177097,-9.649155,-0.190857,-4.795623,0.054971,1.172199,-0.245828,-8.918734
"oxy",5,-9.145712,-18.17257,-5.969038,-5.469697,-0.009147,-0.007113,-5.959891,-7.885543
"doxy",5,-23.4353,-18.84808,-15.99387,-5.932118,0.976479,0.30736,-16.97034,-9.088274
"oxy",13,1.451413,28.55808,1.495172,13.56716,0.957995,7.377164,0.537177,7.038007
"doxy",13,-0.386042,-29.16968,-0.285681,-9.95496,0.026703,0.789668,-0.312384,-15.71742
"oxy",6,1.017104,12.24557,1.212001,6.729402,0.240245,1.132027,0.971756,7.790492
"doxy",6,-0.038949,-2.274538,0.039298,1.058323,0.468608,10.71,-0.42931,-16.69388
"oxy",14,1.555695,19.92613,1.911181,11.28913,1.053186,5.279486,0.857996,7.317757
"doxy",14,-0.235767,-12.07581,-0.311173,-7.350139,0.136992,2.746098,-0.448164,-15.28501
"oxy",7,0.713399,18.89437,0.635053,7.756578,-0.386527,-4.006529,1.021581,18.01636
"doxy",7,0.110703,10.76573,0.019108,0.856935,0.417051,15.87308,-0.397944,-25.76911
"oxy",15,0.838666,28.76635,0.548612,8.678036,-0.169783,-2.279174,0.718395,16.40792
"doxy",15,0.055564,2.849288,0.01016,0.240278,-0.068965,-1.384092,0.079126,2.701828
"oxy",8,0.701619,10.9148,1.189132,8.531089,0.408009,2.484115,0.781124,8.091491
"doxy",8,-0.089851,-4.713696,-0.271677,-6.572862,0.405985,8.335642,-0.677662,-23.67274
"oxy",16,0.946996,22.83896,0.87878,9.773911,0.064314,0.607045,0.814466,13.07964
"doxy",16,0.509791,21.20231,-0.089169,-1.710267,-0.24947,-4.060671,0.160301,4.439381
