"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-1.430207,-60.0446,0.050165,2.598662,0.257628,13.20977,0.050165,2.598662,0.257628,13.20977,0.207463,7.834489,0.307792,10.84974
"doxy",1,0.158358,24.20525,0.067025,12.64111,0.134269,25.06535,0.067025,12.64111,0.134269,25.06535,0.067244,9.24523,0.201294,25.83378
"oxy",9,-0.404211,-31.23113,0.028365,2.704232,-0.110171,-10.39615,0.028365,2.704232,-0.110171,-10.39615,-0.138536,-9.627999,-0.081805,-5.306974
"doxy",9,0.311369,47.3149,0.041176,7.720415,0.006168,1.144703,0.041176,7.720415,0.006168,1.144703,-0.035008,-4.784987,0.047344,6.040472
"oxy",2,-0.253072,-10.83739,0.11181,5.907946,0.162219,8.484181,0.11181,5.907946,0.162219,8.484181,0.05041,1.941725,0.274029,9.852872
"doxy",2,0.277678,37.41397,0.054169,9.005718,0.057468,9.456916,0.054169,9.005718,0.057468,9.456916,0.0033,0.399912,0.111637,12.62955
"oxy",10,-1.087029,-61.68966,0.199233,13.95116,-0.121239,-8.403116,0.199233,13.95116,-0.121239,-8.403116,-0.320472,-16.35897,0.077994,3.716391
"doxy",10,0.064131,7.578535,0.17192,25.06811,0.063706,9.194462,0.17192,25.06811,0.063706,9.194462,-0.108214,-11.50259,0.235626,23.3791
"oxy",3,0.781682,1.845931,0.072003,0.209803,-1.527729,-4.406147,0.072003,0.209803,-1.527729,-4.406147,-1.599732,-3.398027,-1.455726,-2.886365
"doxy",3,2.761522,2.157127,2.486441,2.396528,-2.25365,-2.150013,2.486441,2.396528,-2.25365,-2.150013,-4.740091,-3.330491,0.232791,0.152679
"oxy",11,-0.40848,-42.81908,-0.006891,-0.891366,-0.198002,-25.34915,-0.006891,-0.891366,-0.198002,-25.34915,-0.19111,-18.01961,-0.204893,-18.03354
"doxy",11,0.193856,32.91116,0.051462,10.78014,0.021934,4.54792,0.051462,10.78014,0.021934,4.54792,-0.029527,-4.509038,0.073396,10.46216
"oxy",4,-0.211473,-10.88804,0.20932,13.29794,0.100457,6.316868,0.20932,13.29794,0.100457,6.316868,-0.108864,-5.041657,0.309777,13.39156
"doxy",4,-0.088133,-11.94808,0.087076,14.56585,0.061296,10.14894,0.087076,14.56585,0.061296,10.14894,-0.02578,-3.143662,0.148372,16.8888
"oxy",12,-0.590684,-36.33543,0.297585,22.58725,-0.138291,-10.38952,0.297585,22.58725,-0.138291,-10.38952,-0.435876,-24.11749,0.159295,8.227388
"doxy",12,0.090901,15.99339,0.03581,7.774123,-0.020622,-4.431334,0.03581,7.774123,-0.020622,-4.431334,-0.056432,-8.930836,0.015188,2.243616
"oxy",5,-20.0168,-25.32027,3.705692,5.783891,5.829163,9.005488,3.705692,5.783891,5.829163,9.005488,2.123471,2.416097,9.534856,10.12684
"doxy",5,-35.00908,-21.19623,8.878173,6.632522,11.26439,8.32939,8.878173,6.632522,11.26439,8.32939,2.38622,1.299519,20.14256,10.23951
"oxy",13,-0.599776,-29.70384,0.068146,4.164293,-0.340086,-20.57026,0.068146,4.164293,-0.340086,-20.57026,-0.408232,-18.18549,-0.27194,-11.30793
"doxy",13,0.28539,37.59253,0.01236,2.008848,0.073613,11.84248,0.01236,2.008848,0.073613,11.84248,0.061253,7.257454,0.085972,9.508407
"oxy",6,-0.365844,-22.25377,0.206245,15.47994,-0.262872,-19.52896,0.206245,15.47994,-0.262872,-19.52896,-0.469117,-25.66749,-0.056626,-2.892091
"doxy",6,0.196439,15.39423,0.148422,14.35181,0.066616,6.375804,0.148422,14.35181,0.066616,6.375804,-0.081806,-5.766506,0.215038,14.14921
"oxy",14,-0.867586,-45.44721,0.275754,17.82355,-0.243821,-15.59885,0.275754,17.82355,-0.243821,-15.59885,-0.519575,-24.48146,0.031934,1.404526
"doxy",14,0.169132,25.18805,0.040316,7.408461,0.050086,9.109981,0.040316,7.408461,0.050086,9.109981,0.00977,1.308771,0.090403,11.30415
"oxy",7,-0.868092,-55.35191,0.073538,5.785703,-0.119248,-9.286375,0.073538,5.785703,-0.119248,-9.286375,-0.192786,-11.057,-0.04571,-2.44718
"doxy",7,0.316172,31.12752,0.131897,16.02263,0.093856,11.28527,0.131897,16.02263,0.093856,11.28527,-0.038041,-3.368731,0.225754,18.66131
"oxy",15,-0.807589,-37.6733,0.045238,2.603918,-0.228255,-13.0044,0.045238,2.603918,-0.228255,-13.0044,-0.273493,-11.47583,-0.183016,-7.168354
"doxy",15,0.348605,46.66272,0.06831,11.28237,0.06403,10.46754,0.06831,11.28237,0.06403,10.46754,-0.004281,-0.515414,0.13234,14.87352
"oxy",8,-1.328579,-69.25726,0.281285,18.09262,-0.233997,-14.89756,0.281285,18.09262,-0.233997,-14.89756,-0.515282,-24.16111,0.047288,2.069746
"doxy",8,0.071197,6.682344,0.263358,30.49945,0.129953,14.89647,0.263358,30.49945,0.129953,14.89647,-0.133404,-11.26248,0.393311,30.99498
"oxy",16,-0.797491,-30.8038,0.135363,6.451422,0.015004,0.707783,0.135363,6.451422,0.015004,0.707783,-0.120359,-4.181701,0.150367,4.876588
"doxy",16,-0.018881,-1.726485,0.20424,23.04346,0.009045,1.010052,0.20424,23.04346,0.009045,1.010052,-0.195195,-16.05439,0.213284,16.37478
