"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.388329,-35.05976,-0.073046,-8.089399,-0.009439,-0.99625,-0.073046,-8.089399,-0.009439,-0.99625,0.063607,5.8784,-0.082485,-5.492553
"doxy",1,0.223519,54.48187,-0.038566,-11.53058,-0.06582,-18.75544,-0.038566,-11.53058,-0.06582,-18.75544,-0.027254,-6.800121,-0.104386,-18.7659
"oxy",9,-0.100046,-8.56617,-0.101295,-10.63866,0.027115,2.714087,-0.101295,-10.63866,0.027115,2.714087,0.12841,11.25463,-0.074181,-4.684541
"doxy",9,0.057694,7.278237,-0.018201,-2.816375,-0.034647,-5.109621,-0.018201,-2.816375,-0.034647,-5.109621,-0.016446,-2.123758,-0.052847,-4.917083
"oxy",2,-0.124002,-8.71035,-0.094964,-8.182302,0.001022,0.083901,-0.094964,-8.182302,0.001022,0.083901,0.095986,6.901727,-0.093942,-4.86695
"doxy",2,0.158512,37.51079,-0.030108,-8.739436,-0.070775,-19.57964,-0.030108,-8.739436,-0.070775,-19.57964,-0.040667,-9.851053,-0.100882,-17.60761
"oxy",10,-0.118742,-10.84464,-0.10226,-11.45578,0.04329,4.62203,-0.10226,-11.45578,0.04329,4.62203,0.14555,13.60716,-0.058969,-3.972146
"doxy",10,0.041167,7.97233,-0.048775,-11.58633,-0.083443,-18.89126,-0.048775,-11.58633,-0.083443,-18.89126,-0.034668,-6.872515,-0.132217,-18.88511
"oxy",3,-0.212978,-13.48488,-0.127514,-9.903333,0.098289,7.275257,-0.127514,-9.903333,0.098289,7.275257,0.225802,14.63482,-0.029225,-1.364772
"doxy",3,0.16764,32.59768,-0.051076,-12.18258,-0.052734,-11.98749,-0.051076,-12.18258,-0.052734,-11.98749,-0.001657,-0.329884,-0.10381,-14.88806
