"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.335553,21.61284,0.263612,23.8017,0.263612,23.8017
"doxy",1,-0.040629,-7.671271,-0.02267,-6.000315,-0.02267,-6.000315
"oxy",9,-0.412925,-24.21435,0.127542,10.48442,0.127542,10.48442
"doxy",9,-0.254898,-47.75381,-0.056709,-14.89305,-0.056709,-14.89305
"oxy",2,-0.005525,-0.467545,0.146994,17.43846,0.146994,17.43846
"doxy",2,0.109002,13.57622,0.097986,17.10804,0.097986,17.10804
"oxy",10,0.549937,23.04503,0.158863,9.332075,0.158863,9.332075
"doxy",10,0.111698,19.64957,-0.020326,-5.012422,-0.020326,-5.012422
"oxy",3,-6.861234,-18.19221,0.901444,3.35053,0.901444,3.35053
"doxy",3,-27.3882,-20.27197,4.161195,4.317597,4.161195,4.317597
"oxy",11,-0.169545,-14.69534,0.148615,18.05714,0.148615,18.05714
"doxy",11,-0.062151,-12.43594,-0.063331,-17.76385,-0.063331,-17.76385
"oxy",4,0.148941,12.28503,0.155764,18.0102,0.155764,18.0102
"doxy",4,0.174212,21.98131,0.063276,11.19203,0.063276,11.19203
"oxy",12,0.173747,14.18246,0.233367,26.70335,0.233367,26.70335
"doxy",12,0.200208,26.46747,-0.055238,-10.23665,-0.055238,-10.23665
"oxy",5,9.438873,14.46569,3.843164,8.256566,3.843164,8.256566
"doxy",5,18.01143,13.91494,8.209561,8.890871,8.209561,8.890871
"oxy",13,0.05939,2.835677,0.12225,8.18243,0.12225,8.18243
"doxy",13,-0.050389,-8.838987,-0.106713,-26.24084,-0.106713,-26.24084
"oxy",6,0.425795,24.99203,0.079871,6.571773,0.079871,6.571773
"doxy",6,0.346071,32.05994,0.065729,8.535816,0.065729,8.535816
"oxy",14,0.428269,28.3236,0.089793,8.32463,0.089793,8.32463
"doxy",14,0.160959,23.01328,-0.055607,-11.14503,-0.055607,-11.14503
"oxy",7,-0.032227,-2.127805,0.080504,7.45108,0.080504,7.45108
"doxy",7,0.119915,17.4917,0.05827,11.91509,0.05827,11.91509
"oxy",15,0.034713,2.104237,0.070849,6.020427,0.070849,6.020427
"doxy",15,-0.115596,-16.10033,-0.072262,-14.10896,-0.072262,-14.10896
"oxy",8,0.423143,20.70818,0.126162,8.655174,0.126162,8.655174
"doxy",8,0.133909,14.46275,0.053967,8.170786,0.053967,8.170786
"oxy",16,0.500819,25.36986,-0.079458,-5.642422,-0.079458,-5.642422
"doxy",16,-0.2485,-20.89661,0.0513,6.047225,0.0513,6.047225
