"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.107691,-2.059039,-0.341118,-4.03443,0.3679,4.800997,-0.709018,-12.24495
"doxy",1,-1.166339,-22.4531,-0.867337,-10.32835,-0.867314,-11.39574,-2.30011e-05,-4e-04
"oxy",9,0.217598,6.596045,0.249244,4.673542,0.351775,7.27796,-0.102531,-2.807359
"doxy",9,-0.527594,-17.38212,-0.43995,-8.965976,-0.084051,-1.889999,-0.355899,-10.59114
"oxy",2,-1.346387,-24.04646,-0.473769,-5.234072,0.192915,2.351589,-0.666684,-10.75511
"doxy",2,-0.532211,-20.83023,0.12461,3.016845,-0.284364,-7.596261,0.408974,14.45836
"oxy",10,-0.207498,-3.479567,0.480614,4.985398,0.418447,4.789246,0.062167,0.941644
"doxy",10,-0.084173,-1.642193,0.328401,3.963197,0.038752,0.516015,0.289649,5.104283
"oxy",3,1.18416,19.48499,1.203541,12.25017,0.476979,5.356785,0.726562,10.79881
"doxy",3,0.647613,23.86502,0.597722,13.62502,-0.109496,-2.75397,0.707218,23.54036
"oxy",11,1.268569,23.63748,1.036965,11.95206,0.706591,8.986076,0.330374,5.560401
"doxy",11,0.811848,25.79819,0.686823,13.50053,0.228184,4.948976,0.458638,13.16432
"oxy",4,-0.081908,-2.068414,0.172492,2.694459,0.690996,11.90975,-0.518505,-11.8271
"doxy",4,0.237588,11.61777,0.229448,6.94024,0.130371,4.351047,0.099077,4.376089
"oxy",12,-0.268399,-6.712547,-0.031869,-0.493026,0.409286,6.986308,-0.441155,-9.965772
"doxy",12,-0.058297,-2.305337,0.085226,2.084735,-0.094376,-2.547192,0.179602,6.41521
"oxy",5,1.206209,16.28737,1.82124,15.21202,0.361382,3.330503,1.459858,17.80542
"doxy",5,0.764114,14.87192,1.099372,13.23563,-0.033574,-0.445998,1.132946,19.91734
"oxy",13,0.329715,7.891607,0.179069,2.651168,0.171983,2.809489,0.007085,0.153179
"doxy",13,0.188553,7.407781,0.167161,4.062389,-0.32813,-8.798673,0.495291,17.5764
"oxy",6,-0.825098,-18.56915,-0.017743,-0.247004,0.089739,1.378428,-0.107482,-2.184927
"doxy",6,-0.031038,-0.933423,0.340005,6.325061,-0.117262,-2.406916,0.457267,12.42143
"oxy",14,-0.176675,-3.924876,-0.217677,-2.991263,0.644823,9.777005,-0.8625,-17.30705
"doxy",14,-0.046184,-2.506627,0.022526,0.756256,-0.077194,-2.859565,0.099719,4.888722
"oxy",7,0.183309,2.917487,1.34232,13.2152,-0.050619,-0.549865,1.392939,20.02496
"doxy",7,-0.48575,-8.880424,0.542676,6.13696,-0.55656,-6.944609,1.099236,18.15204
"oxy",15,0.184105,4.074068,-0.090931,-1.244708,0.320609,4.842336,-0.411541,-8.22602
"doxy",15,-0.32016,-11.80131,-0.334795,-7.633678,-0.468692,-11.79143,0.133898,4.458106
"oxy",8,-1.409395,-13.93722,0.688778,4.213223,-0.334203,-2.255635,1.022981,9.137443
"doxy",8,-1.121838,-11.4007,0.606504,3.812648,-0.84365,-5.851651,1.450154,13.31156
"oxy",16,-0.644201,-15.93208,-0.515377,-7.884373,0.409016,6.904082,-0.924393,-20.65003
"doxy",16,-0.313631,-16.98757,-0.125314,-4.198587,-0.09881,-3.652803,-0.026504,-1.29671
