"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.293984,5.889423,0.565598,6.617436,-0.042737,-0.55804,0.608334,10.29454
"doxy",1,-1.22088,-34.92632,-0.193676,-3.235864,-0.201099,-3.749786,0.007422,0.179366
"oxy",9,-1.124876,-16.03897,-1.205969,-10.04249,-0.346391,-3.219251,-0.859578,-10.35317
"doxy",9,-1.600297,-23.46892,-1.734311,-14.85433,-0.49068,-4.690377,-1.243631,-15.40636
"oxy",2,-0.257034,-4.651396,0.701962,7.418916,0.312242,3.682995,0.389721,5.957479
"doxy",2,-1.303994,-31.09839,-0.221746,-3.088525,-0.104891,-1.630492,-0.116854,-2.354094
"oxy",10,-0.83205,-10.28601,-1.11817,-8.073074,0.685163,5.520878,-1.803333,-18.8317
"doxy",10,-1.290381,-14.83352,-1.546505,-10.38272,0.339061,2.540509,-1.885566,-18.30982
"oxy",3,0.275799,5.059643,0.594168,6.366037,0.505162,6.040519,0.089006,1.379304
"doxy",3,-0.636419,-27.64784,-0.155394,-3.942624,-0.041813,-1.183993,-0.113581,-4.1681
"oxy",11,-0.148154,-2.258917,0.170087,1.514575,0.897739,8.92183,-0.727652,-9.371885
"doxy",11,-0.58033,-21.30754,-0.364942,-7.825564,0.228916,5.478372,-0.593858,-18.41862
"oxy",4,0.19826,4.002359,0.615949,7.262054,0.879661,11.57481,-0.263713,-4.49706
"doxy",4,-0.131618,-3.993021,0.061942,1.097493,0.43746,8.650501,-0.375519,-9.623507
"oxy",12,0.253647,6.002335,0.185095,2.558108,0.610586,9.417889,-0.42549,-8.505422
"doxy",12,-0.093969,-2.635464,-0.183136,-2.999722,0.462832,8.460862,-0.645967,-15.30387
"oxy",5,0.011265,0.179832,0.483948,4.512084,0.39187,4.077591,0.092078,1.241704
"doxy",5,-0.573452,-24.75161,-0.235923,-5.947156,0.103875,2.922356,-0.339797,-12.38917
"oxy",13,0.492931,7.149004,0.600376,5.085295,0.4139,3.912657,0.186476,2.284538
"doxy",13,-0.511354,-14.81383,-0.316508,-5.355051,0.060261,1.137881,-0.376769,-9.220115
"oxy",6,0.810073,16.24578,0.184982,2.166601,0.953041,12.4579,-0.768059,-13.0115
"doxy",6,0.423445,7.766154,-0.517977,-5.548204,0.240791,2.878491,-0.758767,-11.75529
"oxy",14,0.273198,6.579321,0.450171,6.331627,0.780384,12.24981,-0.330213,-6.717598
"doxy",14,-0.270109,-6.056723,-0.173801,-2.276062,0.595541,8.704155,-0.769342,-14.57248
"oxy",7,0.10877,2.548225,-0.273118,-3.736901,-0.276227,-4.21804,0.003109,0.061526
"doxy",7,-0.586638,-14.56507,-1.170071,-16.96634,-0.691403,-11.18899,-0.478668,-10.03905
"oxy",15,0.012231,0.157364,0.440047,3.306643,-0.090788,-0.761378,0.530835,5.769396
"doxy",15,-0.96605,-23.78675,-0.162187,-2.332299,0.068075,1.092545,-0.230261,-4.789311
"oxy",8,0.365297,7.582913,-0.477257,-5.785972,0.255585,3.458136,-0.732842,-12.8504
"doxy",8,-0.15879,-2.516449,-1.157998,-10.71781,-0.588606,-6.08004,-0.569392,-7.622413
"oxy",16,0.433373,10.47205,0.575549,8.122416,0.263697,4.153286,0.311852,6.365517
"doxy",16,-1.026618,-22.88505,-0.445481,-5.799706,0.070791,1.028582,-0.516273,-9.721606
