"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.217987,-6.299102,0.039331,1.461228,0.3897,13.65484,0.039331,1.461228,0.3897,13.65484,0.350369,10.32075,0.429031,9.777244
"doxy",1,-0.500961,-5.67824,0.585573,8.533504,0.913204,12.55126,0.585573,8.533504,0.913204,12.55126,0.32763,3.785581,1.498777,13.39763
"oxy",9,-0.300339,-12.85463,0.122999,6.76838,0.12154,6.307761,0.122999,6.76838,0.12154,6.307761,-0.001459,-0.063665,0.244538,8.254218
"doxy",9,-0.027964,-0.962657,0.609968,26.99661,0.541354,22.59733,0.609968,26.99661,0.541354,22.59733,-0.068614,-2.407782,1.151323,31.25677
"oxy",2,0.071799,2.495092,-0.526639,-23.52987,-0.266546,-11.23186,-0.526639,-23.52987,-0.266546,-11.23186,0.260093,9.213786,-0.793185,-21.73831
"doxy",2,0.388138,29.22413,0.149058,14.4293,-0.026471,-2.416784,0.149058,14.4293,-0.026471,-2.416784,-0.175529,-13.47231,0.122586,7.279112
"oxy",10,-0.598074,-15.90941,0.136078,4.653961,0.400807,12.92837,0.136078,4.653961,0.400807,12.92837,0.264729,7.178587,0.536885,11.26318
"doxy",10,-0.132836,-3.815363,0.754925,27.87785,0.772049,26.88895,0.754925,27.87785,0.772049,26.88895,0.017124,0.501373,1.526973,34.58853
"oxy",3,0.013313,0.479537,-0.103096,-4.77442,0.195214,8.526389,-0.103096,-4.77442,0.195214,8.526389,0.29831,10.95344,0.092118,2.61681
"doxy",3,-0.05822,-4.116686,0.379107,34.46475,0.317382,27.21254,0.379107,34.46475,0.317382,27.21254,-0.061725,-4.44916,0.696488,38.83941
"oxy",11,-0.298656,-7.489324,0.154369,4.976994,0.507931,15.4449,0.154369,4.976994,0.507931,15.4449,0.353562,9.038054,0.6623,13.09805
"doxy",11,-0.093753,-3.119657,0.564073,24.13202,0.639525,25.80417,0.564073,24.13202,0.639525,25.80417,0.075452,2.559375,1.203598,31.5853
"oxy",4,-0.138339,-4.848761,-0.30126,-13.57574,-0.153307,-6.515652,-0.30126,-13.57574,-0.153307,-6.515652,0.147953,5.286255,-0.454566,-12.56507
"doxy",4,0.235238,17.08402,0.167866,15.67405,0.032171,2.833077,0.167866,15.67405,0.032171,2.833077,-0.135695,-10.0458,0.200037,11.45708
"oxy",12,-0.520194,-16.71871,0.115128,4.757239,0.26744,10.42253,0.115128,4.757239,0.26744,10.42253,0.152312,4.990098,0.382568,9.696766
"doxy",12,-0.123746,-5.074636,0.545037,28.73671,0.544918,27.09665,0.545037,28.73671,0.544918,27.09665,-0.000119,-0.004985,1.089955,35.25044
"oxy",5,-0.449393,-14.45842,0.147806,6.113966,0.390681,15.24142,0.147806,6.113966,0.390681,15.24142,0.242874,7.965526,0.538487,13.66313
"doxy",5,-0.342542,-13.12958,0.637937,31.43773,0.557042,25.8902,0.637937,31.43773,0.557042,25.8902,-0.080894,-3.160782,1.194979,36.12258
"oxy",13,0.136623,5.930178,0.040262,2.246838,0.223336,11.75476,0.040262,2.246838,0.223336,11.75476,0.183075,8.1005,0.263598,9.023348
"doxy",13,-0.104625,-7.462681,0.230693,21.1558,0.17684,15.29497,0.230693,21.1558,0.17684,15.29497,-0.053853,-3.9157,0.407533,22.92464
"oxy",6,-0.329511,-11.33666,-0.092215,-4.078969,0.09633,4.018692,-0.092215,-4.078969,0.09633,4.018692,0.188545,6.61252,0.004115,0.111656
"doxy",6,0.226103,16.7752,0.30487,29.08119,0.260748,23.45806,0.30487,29.08119,0.260748,23.45806,-0.044122,-3.336992,0.565617,33.09525
"oxy",14,-0.358079,-15.18148,-0.061112,-3.33116,-0.09823,-5.049965,-0.061112,-3.33116,-0.09823,-5.049965,-0.037118,-1.604208,-0.159342,-5.327768
"doxy",14,-0.099062,-5.747336,0.236969,17.67615,0.16349,11.50165,0.236969,17.67615,0.16349,11.50165,-0.073479,-4.345742,0.400458,18.32309
"oxy",7,-0.84113,-17.47411,0.589018,15.73244,0.550496,13.8674,0.589018,15.73244,0.550496,13.8674,-0.038522,-0.815794,1.139513,18.66947
"doxy",7,-0.350841,-7.540459,1.025565,28.3391,0.846737,22.06709,1.025565,28.3391,0.846737,22.06709,-0.178828,-3.917963,1.872302,31.73539
"oxy",15,-0.161316,-9.296801,-0.017488,-1.295791,-0.125119,-8.743606,-0.017488,-1.295791,-0.125119,-8.743606,-0.107631,-6.323151,-0.142607,-6.481562
"doxy",15,-0.384193,-24.55165,0.305645,25.11217,0.144211,11.17475,0.305645,25.11217,0.144211,11.17475,-0.161435,-10.51637,0.449856,22.67176
"oxy",8,-0.461546,-10.65719,0.279111,8.285916,0.441086,12.34982,0.279111,8.285916,0.441086,12.34982,0.161975,3.812546,0.720198,13.11475
"doxy",8,0.037614,0.966751,0.886995,29.31049,0.66722,20.79431,0.886995,29.31049,0.66722,20.79431,-0.219775,-5.758153,1.554214,31.50344
"oxy",16,-0.2266,-11.79907,0.051192,3.427073,-0.153123,-9.668048,0.051192,3.427073,-0.153123,-9.668048,-0.204315,-10.84493,-0.101932,-4.185794
"doxy",16,-0.242426,-18.91787,0.225973,22.67179,0.0571,5.403047,0.225973,22.67179,0.0571,5.403047,-0.168873,-13.4336,0.283073,17.42098
