"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.240941,-9.978795,0.29041,17.66621,0.29041,17.66621
"doxy",1,0.024218,1.65204,-0.149826,-15.01211,-0.149826,-15.01211
"oxy",9,-1.261442,-20.97845,1.316918,32.16846,1.316918,32.16846
"doxy",9,-1.193148,-24.06067,0.888932,26.32978,0.888932,26.32978
"oxy",2,-0.204511,-7.573761,0.256128,13.93215,0.256128,13.93215
"doxy",2,-0.079246,-4.990266,-0.139776,-12.92842,-0.139776,-12.92842
"oxy",10,-0.619778,-17.48075,0.806655,33.41776,0.806655,33.41776
"doxy",10,-0.592565,-17.21678,0.478114,20.40388,0.478114,20.40388
"oxy",3,-0.22181,-7.878885,0.236287,12.3279,0.236287,12.3279
"doxy",3,0.105893,8.823707,-0.147301,-18.02829,-0.147301,-18.02829
"oxy",11,-0.511264,-14.59865,0.458352,19.22348,0.458352,19.22348
"doxy",11,-0.124333,-7.410431,0.137118,12.0037,0.137118,12.0037
"oxy",4,-0.186545,-8.405012,0.16274,10.76998,0.16274,10.76998
"doxy",4,-0.122797,-7.199173,-0.319575,-27.51896,-0.319575,-27.51896
"oxy",12,-0.333087,-12.29255,0.314914,17.07031,0.314914,17.07031
"doxy",12,-0.203668,-11.81081,-0.005702,-0.485649,-0.005702,-0.485649
"oxy",5,-0.459781,-15.4468,0.510129,25.17287,0.510129,25.17287
"doxy",5,-0.183347,-10.97536,0.203038,17.85206,0.203038,17.85206
"oxy",13,-0.384676,-12.00441,0.375134,17.19482,0.375134,17.19482
"doxy",13,0.206399,13.47472,-0.082502,-7.911197,-0.082502,-7.911197
"oxy",6,-0.525538,-18.65581,0.654588,34.13062,0.654588,34.13062
"doxy",6,-0.474579,-22.34587,0.206976,14.3144,0.206976,14.3144
"oxy",14,-0.275512,-10.79565,0.216338,12.45108,0.216338,12.45108
"doxy",14,0.131076,9.101698,-0.160157,-16.33475,-0.160157,-16.33475
"oxy",7,-0.782509,-20.81637,0.935609,36.55743,0.935609,36.55743
"doxy",7,-0.700235,-26.26697,0.4864,26.79942,0.4864,26.79942
"oxy",15,-0.271808,-8.581306,0.284522,13.19385,0.284522,13.19385
"doxy",15,0.096726,5.136673,0.024985,1.948901,0.024985,1.948901
"oxy",8,-0.528871,-18.77374,0.682417,35.58088,0.682417,35.58088
"doxy",8,-0.436802,-17.85637,0.288196,17.30463,0.288196,17.30463
"oxy",16,-0.423414,-15.09458,0.206801,10.82866,0.206801,10.82866
"doxy",16,-0.070192,-3.073439,-0.245943,-15.8175,-0.245943,-15.8175
