"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.204757,11.66556,-0.013058,-0.447501,0.285538,8.108068,-0.298596,-15.46445
"doxy",1,-0.213928,-10.89003,0.014551,0.445544,0.023019,0.584026,-0.008468,-0.39185
"oxy",9,0.058052,3.618434,0.09378,3.515977,0.009139,0.283923,0.08464,4.795795
"doxy",9,-0.090755,-3.630945,-0.144989,-3.489181,-0.009615,-0.19173,-0.135374,-4.923448
"oxy",2,0.227441,12.0081,-0.133106,-4.227099,-0.084539,-2.224577,-0.048568,-2.33098
"doxy",2,-0.108209,-5.781555,0.047192,1.51666,0.113682,3.027333,-0.06649,-3.229391
"oxy",10,0.842703,27.50286,0.807431,15.85062,1.625911,26.44765,-0.81848,-24.28259
"doxy",10,0.749285,27.49382,0.018185,0.401369,0.298385,5.456985,-0.2802,-9.346307
"oxy",3,0.325967,17.636,0.088201,2.870357,0.284126,7.661692,-0.195925,-9.636092
"doxy",3,-0.042974,-3.122536,0.093159,4.071634,0.216594,7.843987,-0.123434,-8.153106
"oxy",11,0.294061,37.23177,0.001761,0.134143,-0.000644,-0.040617,0.002405,0.276809
"doxy",11,-0.656636,-41.37568,-0.178939,-6.782081,-0.017417,-0.547007,-0.161522,-9.251969
"oxy",4,-0.007462,-0.451257,-0.120638,-4.388384,-0.019551,-0.589294,-0.101087,-5.55729
"doxy",4,-0.478596,-56.45004,-0.093359,-6.623555,0.017961,1.055905,-0.111321,-11.93591
"oxy",12,0.326774,20.15237,0.074355,2.758212,0.118178,3.632463,-0.043822,-2.45674
"doxy",12,0.051187,4.524415,0.069372,3.688271,0.182784,8.052483,-0.113413,-9.112746
"oxy",5,0.214273,13.67291,0.18796,7.214371,-0.083066,-2.641836,0.271027,15.72135
"doxy",5,-0.324447,-13.40742,-0.287803,-7.153748,0.126393,2.603225,-0.414196,-15.55931
"oxy",13,0.852682,38.89737,0.281553,7.725591,0.252871,5.749365,0.028682,1.189399
"doxy",13,0.498963,29.45728,0.381407,13.5441,0.36599,10.76914,0.015416,0.82734
"oxy",6,0.260497,12.96862,-0.103583,-3.10183,-0.109967,-2.728614,0.006384,0.288924
"doxy",6,-0.253287,-21.00236,-0.123107,-6.140083,0.022882,0.945671,-0.145989,-11.0042
"oxy",14,0.656133,39.83163,0.216234,7.895826,0.100645,3.045204,0.115589,6.378739
"doxy",14,0.132581,7.552287,0.16085,5.51134,0.188444,5.35019,-0.027595,-1.428913
"oxy",7,0.357373,28.90905,0.213833,10.40458,0.117745,4.747251,0.096088,7.065852
"doxy",7,-0.547147,-28.5139,-0.330058,-10.34619,-0.184901,-4.802638,-0.145157,-6.876585
"oxy",15,0.455074,19.23197,0.184801,4.697682,0.355825,7.494882,-0.171024,-6.570242
"doxy",15,0.268829,13.00382,0.390965,11.3755,0.649304,15.65416,-0.258339,-11.35972
"oxy",8,-0.561076,-25.86006,-0.226944,-6.291641,-0.460508,-10.5787,0.233564,9.785829
"doxy",8,0.936519,26.46813,0.30437,5.17423,0.817005,11.50849,-0.512635,-13.17038
"oxy",16,-0.020601,-0.874195,-0.231448,-5.907605,0.079201,1.67508,-0.310648,-11.98321
"doxy",16,-0.441315,-17.77132,-0.240537,-5.826261,0.2659,5.336747,-0.506437,-18.53872
