"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.41885,22.63794,0.66067,15.57621,0.959195,20.7235,-0.298525,-11.92125
"doxy",1,-0.046697,-4.571146,-0.016949,-0.723758,0.004832,0.189066,-0.021781,-1.575369
"oxy",9,0.17813,9.603636,0.409488,9.630262,0.650476,14.0187,-0.240989,-9.599711
"doxy",9,0.183349,20.40336,0.172891,8.392533,0.355585,15.81771,-0.182694,-15.0214
"oxy",2,0.332968,15.32293,0.840215,16.86665,1.137292,20.92133,-0.297077,-10.10117
"doxy",2,-0.151459,-22.2212,0.156486,10.01488,0.212343,12.4534,-0.055857,-6.055021
"oxy",10,0.317181,15.25902,0.390974,8.204774,0.503807,9.688626,-0.112833,-4.010703
"doxy",10,0.022756,2.177409,0.018051,0.753431,0.13417,5.131845,-0.116119,-8.209306
"oxy",3,0.240588,12.11454,0.549957,12.07983,0.936354,18.8474,-0.386398,-14.37577
"doxy",3,-0.197127,-27.56996,0.150006,9.151624,0.213393,11.93017,-0.063386,-6.550094
"oxy",11,0.063649,3.756484,0.199368,5.132683,0.282484,6.664408,-0.083116,-3.624407
"doxy",11,0.026422,3.510348,-0.088927,-5.153642,-0.074554,-3.959377,-0.014374,-1.410951
"oxy",4,0.170108,8.381897,0.58773,12.63264,0.947635,18.66534,-0.359904,-13.1029
"doxy",4,-0.419071,-32.57766,-0.033341,-1.130596,0.035544,1.104539,-0.068885,-3.956596
"oxy",12,0.198866,11.88156,0.433748,11.30443,0.610161,14.57253,-0.176413,-7.787659
"doxy",12,0.041008,4.983487,0.09584,5.080546,0.269203,13.0774,-0.173363,-15.56621
"oxy",5,0.455257,26.33603,0.407563,10.28461,0.63417,14.66484,-0.226607,-9.685685
"doxy",5,0.108958,16.13928,0.161165,10.41343,0.201499,11.93092,-0.040334,-4.414228
"oxy",13,0.337611,12.26248,0.227676,3.607263,0.249851,3.627604,-0.022175,-0.595086
"doxy",13,0.031924,2.955237,0.139888,5.648806,0.141691,5.24322,-0.001803,-0.123334
"oxy",6,0.246197,14.0943,0.403282,10.0709,0.469392,10.74172,-0.06611,-2.796326
"doxy",6,-0.16811,-30.5326,-0.069143,-5.477917,-0.088609,-6.433157,0.019466,2.612211
"oxy",14,0.26037,10.68379,0.36209,6.481111,0.732602,12.01655,-0.370512,-11.23309
"doxy",14,-0.16808,-19.45704,0.044719,2.258144,0.026419,1.222508,0.0183,1.565236
"oxy",7,-0.166352,-15.90059,-0.148917,-6.209109,-0.254713,-9.732301,0.105796,7.471704
"doxy",7,0.282042,16.35757,0.258866,6.549067,0.452002,10.47907,-0.193135,-8.276177
"oxy",15,0.432072,22.38838,0.35039,7.919843,0.208955,4.328103,0.141434,5.414833
"doxy",15,0.238619,15.79089,0.32523,9.388404,0.354521,9.378244,-0.02929,-1.432162
"oxy",8,0.198087,15.73774,0.09688,3.357523,0.26631,8.457703,-0.169431,-9.945838
"doxy",8,-0.023523,-1.799766,0.11583,3.865781,0.066029,2.019448,0.0498,2.815239
"oxy",16,0.70917,34.16069,0.513617,10.79231,0.486317,9.364261,0.0273,0.971634
"doxy",16,-0.057427,-1.98045,0.755737,11.36885,0.342822,4.726008,0.412914,10.52133
