"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.066108,-5.128419,-0.106123,-10.76692,-0.210291,-20.04075,-0.106123,-10.76692,-0.210291,-20.04075,-0.104168,-8.281079,-0.316414,-19.76508
"doxy",1,-0.027832,-1.922071,0.078461,7.086558,0.098028,8.316506,0.078461,7.086558,0.098028,8.316506,0.019566,1.384716,0.176489,9.814295
"oxy",9,0.067573,11.15227,0.1576,34.01693,-0.080674,-16.35633,0.1576,34.01693,-0.080674,-16.35633,-0.238274,-40.29853,0.076926,10.22288
"doxy",9,-0.106362,-11.29384,-0.246585,-34.24303,0.125431,16.36145,-0.246585,-34.24303,0.125431,16.36145,0.372015,40.47996,-0.121154,-10.35874
"oxy",2,0.040093,2.477175,0.239473,19.35055,-0.560513,-42.54367,0.239473,19.35055,-0.560513,-42.54367,-0.799987,-50.6515,-0.32104,-15.97192
"doxy",2,-0.144349,-16.04306,0.027034,3.92954,0.028748,3.925098,0.027034,3.92954,0.028748,3.925098,0.001714,0.195205,0.055783,4.992139
"oxy",10,0.510693,34.03175,0.01731,1.508622,-0.230004,-18.82887,0.01731,1.508622,-0.230004,-18.82887,-0.247315,-16.88879,-0.212694,-11.41281
"doxy",10,0.174193,10.89347,0.350852,28.69534,-0.082968,-6.373981,0.350852,28.69534,-0.082968,-6.373981,-0.43382,-27.80164,0.267884,13.48951
"oxy",3,-0.135988,-12.51099,-0.149308,-17.96502,-0.177671,-20.0804,-0.149308,-17.96502,-0.177671,-20.0804,-0.028362,-2.67399,-0.326979,-24.22286
"doxy",3,-0.05089,-6.749959,0.001048,0.181817,0.07284,11.86881,0.001048,0.181817,0.07284,11.86881,0.071792,9.758277,0.073889,7.891525
"oxy",11,0.055355,4.425442,-0.182343,-19.06523,-0.134131,-13.17333,-0.182343,-19.06523,-0.134131,-13.17333,0.048212,3.949845,-0.316474,-20.37291
"doxy",11,-0.264009,-21.44814,-0.199526,-21.19934,0.156812,15.65004,-0.199526,-21.19934,0.156812,15.65004,0.356338,29.66598,-0.042714,-2.794175
"oxy",4,0.130154,12.16055,0.084581,10.33529,-0.242696,-27.85637,0.084581,10.33529,-0.242696,-27.85637,-0.327278,-31.33561,-0.158115,-11.89552
"doxy",4,-0.081839,-12.22097,0.073832,14.41928,0.035747,6.557702,0.073832,14.41928,0.035747,6.557702,-0.038085,-5.828088,0.10958,13.17614
"oxy",12,0.131967,11.56254,-0.026752,-3.065419,-0.207696,-22.3552,-0.026752,-3.065419,-0.207696,-22.3552,-0.180944,-16.24635,-0.234448,-16.54038
"doxy",12,-0.098038,-11.77424,0.015915,2.499797,0.053258,7.857476,0.015915,2.499797,0.053258,7.857476,0.037342,4.595814,0.069173,6.689394
"oxy",5,0.285867,18.42358,0.20626,17.38506,-0.137836,-10.91283,0.20626,17.38506,-0.137836,-10.91283,-0.344096,-22.72555,0.068424,3.550837
"doxy",5,-0.440439,-18.37646,-0.319409,-17.42907,0.210819,10.80561,-0.319409,-17.42907,0.210819,10.80561,0.530228,22.6706,-0.10859,-3.648206
"oxy",13,0.155944,11.69271,-0.183408,-17.98524,-0.113269,-10.43329,-0.183408,-17.98524,-0.113269,-10.43329,0.070139,5.3893,-0.296677,-17.91198
"doxy",13,-0.067253,-5.772753,-0.161233,-18.09986,0.097287,10.25861,-0.161233,-18.09986,0.097287,10.25861,0.258519,22.73992,-0.063946,-4.419746
"oxy",6,0.134992,13.04807,-0.011741,-1.484202,-0.162412,-19.28512,-0.011741,-1.484202,-0.162412,-19.28512,-0.150671,-14.92433,-0.174153,-13.55452
"doxy",6,-0.000124,-0.016981,0.147434,26.31132,0.014454,2.422917,0.147434,26.31132,0.014454,2.422917,-0.13298,-18.5954,0.161888,17.78775
"oxy",14,0.135707,9.292389,-0.058349,-5.225329,-0.153788,-12.93634,-0.058349,-5.225329,-0.153788,-12.93634,-0.095438,-6.696886,-0.212137,-11.69649
"doxy",14,-0.07953,-7.346376,0.035543,4.2939,0.209133,23.73169,0.035543,4.2939,0.209133,23.73169,0.173589,16.432,0.244676,18.19898
"oxy",7,0.217043,28.75943,0.033494,5.804399,0.01419,2.309824,0.033494,5.804399,0.01419,2.309824,-0.019304,-2.621295,0.047684,5.087717
"doxy",7,-0.335687,-28.72681,-0.052565,-5.882974,-0.024728,-2.599578,-0.052565,-5.882974,-0.024728,-2.599578,0.027837,2.441157,-0.077292,-5.326018
"oxy",15,0.07571,7.4225,-0.050935,-6.530701,-0.120328,-14.4919,-0.050935,-6.530701,-0.120328,-14.4919,-0.069393,-6.971663,-0.171262,-13.51981
"doxy",15,-0.110901,-10.36854,-0.061506,-7.520627,0.088016,10.10906,-0.061506,-7.520627,0.088016,10.10906,0.149523,14.32567,0.02651,1.995754
"oxy",8,-0.286072,-13.38939,-0.190891,-11.68485,0.194951,11.2092,-0.190891,-11.68485,0.194951,11.2092,0.385842,18.50632,0.004059,0.152989
"doxy",8,0.436348,13.11663,0.294656,11.58393,-0.310481,-11.46534,0.294656,11.58393,-0.310481,-11.46534,-0.605137,-18.6409,-0.015824,-0.383017
"oxy",16,0.254108,17.2579,0.257074,22.8338,-0.256781,-21.42375,0.257074,22.8338,-0.256781,-21.42375,-0.513854,-35.763,0.000293,0.016038
"doxy",16,-0.336856,-22.86518,0.177165,15.72753,0.233136,19.44036,0.177165,15.72753,0.233136,19.44036,0.055971,3.893293,0.410302,22.42574
