"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.322106,-29.24755,0.052542,7.047109,0.052542,7.047109
"doxy",1,-0.132516,-22.79071,-0.062053,-15.7641,-0.062053,-15.7641
"oxy",9,0.177612,33.60492,-0.010952,-3.060697,-0.010952,-3.060697
"doxy",9,-0.281521,-34.34527,0.020512,3.69645,0.020512,3.69645
"oxy",2,0.103201,9.868311,0.258253,36.47684,0.258253,36.47684
"doxy",2,0.177327,24.61001,-0.007334,-1.503398,-0.007334,-1.503398
"oxy",10,0.061193,6.092847,0.255059,37.51217,0.255059,37.51217
"doxy",10,0.343535,42.97456,0.124206,22.95072,0.124206,22.95072
"oxy",3,-0.458612,-37.74093,0.142392,17.30882,0.142392,17.30882
"doxy",3,-0.149875,-31.06482,0.025706,7.870319,0.025706,7.870319
"oxy",11,-0.452881,-53.84325,-0.034894,-6.127954,-0.034894,-6.127954
"doxy",11,-0.16959,-25.02779,-0.205998,-44.90545,-0.205998,-44.90545
"oxy",4,-0.124006,-11.54954,0.074541,10.2548,0.074541,10.2548
"doxy",4,0.148325,39.33259,-0.065754,-25.75577,-0.065754,-25.75577
"oxy",12,-0.184682,-18.96315,0.064016,9.709314,0.064016,9.709314
"doxy",12,0.063227,18.75376,-0.111525,-48.86219,-0.111525,-48.86219
"oxy",5,0.291684,25.66176,0.082942,10.7786,0.082942,10.7786
"doxy",5,-0.455563,-25.92704,-0.127189,-10.69222,-0.127189,-10.69222
"oxy",13,-0.173079,-14.08772,0.248809,29.91414,0.248809,29.91414
"doxy",13,0.279482,43.87408,0.055065,12.7687,0.055065,12.7687
"oxy",6,-0.298815,-24.95394,0.193067,23.81549,0.193067,23.81549
"doxy",6,0.022324,4.351298,-0.007177,-2.066182,-0.007177,-2.066182
"oxy",14,-0.206954,-18.2522,0.243001,31.65659,0.243001,31.65659
"doxy",14,0.03716,4.846145,0.077848,14.99631,0.077848,14.99631
"oxy",7,0.018282,2.822917,0.017801,4.060148,0.017801,4.060148
"doxy",7,-0.034177,-3.41448,-0.027597,-4.072488,-0.027597,-4.072488
"oxy",15,-0.094106,-10.75166,0.127481,21.51388,0.127481,21.51388
"doxy",15,0.360502,58.95469,0.012885,3.112466,0.012885,3.112466
"oxy",8,-0.273419,-23.61945,-0.059998,-7.65577,-0.059998,-7.65577
"doxy",8,0.5881,40.10766,0.254026,25.58992,0.254026,25.58992
"oxy",16,-0.147047,-17.79492,0.162919,29.12232,0.162919,29.12232
"doxy",16,-0.327255,-43.96538,-0.03485,-6.91586,-0.03485,-6.91586
