"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.090036,-6.304975,-0.098449,-10.18647,-0.098449,-10.18647
"doxy",1,0.04362,6.988176,0.025846,6.117958,0.025846,6.117958
"oxy",9,-0.232255,-15.47526,-0.12624,-12.42837,-0.12624,-12.42837
"doxy",9,0.059524,10.01344,-0.033126,-8.233867,-0.033126,-8.233867
"oxy",2,-0.225994,-14.80985,-0.10651,-10.31318,-0.10651,-10.31318
"doxy",2,0.014469,2.116583,-0.015379,-3.324086,-0.015379,-3.324086
"oxy",10,-0.332931,-19.45864,-0.197195,-17.02944,-0.197195,-17.02944
"doxy",10,-0.1703,-17.53171,-0.073765,-11.22037,-0.073765,-11.22037
"oxy",3,-0.179577,-12.08516,0.0237,2.356683,0.0237,2.356683
"doxy",3,-0.073298,-14.56341,0.011334,3.327205,0.011334,3.327205
"oxy",11,-0.115,-11.3263,-0.039518,-5.750822,-0.039518,-5.750822
"doxy",11,0.171062,24.85588,0.024869,5.339271,0.024869,5.339271
"oxy",4,0.104358,7.037217,0.078174,7.789035,0.078174,7.789035
"doxy",4,-0.073836,-11.07395,0.044088,9.770101,0.044088,9.770101
"oxy",12,-0.098442,-7.829926,-0.034046,-4.001267,-0.034046,-4.001267
"doxy",12,-0.04772,-9.692877,0.007817,2.346079,0.007817,2.346079
"oxy",5,-0.086999,-9.325488,-0.062183,-9.848635,-0.062183,-9.848635
"doxy",5,-0.020764,-3.714871,-0.026624,-7.037937,-0.026624,-7.037937
"oxy",13,-0.366641,-17.90558,-0.231152,-16.67983,-0.231152,-16.67983
"doxy",13,0.024479,3.222523,-0.030196,-5.873383,-0.030196,-5.873383
"oxy",6,-0.087768,-7.619177,-0.082828,-10.62411,-0.082828,-10.62411
"doxy",6,-0.024577,-4.410656,0.013152,3.48743,0.013152,3.48743
"oxy",14,-0.327776,-14.44419,-0.120296,-7.832738,-0.120296,-7.832738
"doxy",14,-0.105352,-9.571553,-0.091033,-12.22045,-0.091033,-12.22045
"oxy",7,0.111673,17.83979,0.099131,23.39909,0.099131,23.39909
"doxy",7,-0.182889,-18.15388,-0.161091,-23.62648,-0.161091,-23.62648
"oxy",15,-0.303923,-17.57055,-0.199133,-17.01023,-0.199133,-17.01023
"doxy",15,0.0261,2.688351,-0.017433,-2.653087,-0.017433,-2.653087
"oxy",8,-0.155436,-10.09621,-0.218589,-20.97878,-0.218589,-20.97878
"doxy",8,-0.08342,-9.505356,-0.079118,-13.32058,-0.079118,-13.32058
"oxy",16,-0.381202,-18.17382,-0.190447,-13.41567,-0.190447,-13.41567
"doxy",16,0.060849,5.968799,-0.101323,-14.68545,-0.101323,-14.68545
