"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.262707,13.51024,0.085375,2.10604,-0.161204,-3.338741,0.246579,8.54213
"doxy",1,0.103323,14.06132,-0.147388,-9.621339,-0.159527,-8.743377,0.01214,1.112894
"oxy",9,0.784283,15.55735,-0.680855,-6.478342,-1.661993,-13.27725,0.981138,13.1103
"doxy",9,0.338655,9.1587,-0.696521,-9.035613,-0.679132,-7.396857,-0.017389,-0.316795
"oxy",2,-0.125689,-22.29379,-0.176797,-15.04208,-0.074425,-5.316428,-0.102372,-12.23176
"doxy",2,-0.015954,-1.813776,0.1711,9.330373,0.090077,4.124113,0.081023,6.204874
"oxy",10,0.171028,6.923485,1.154833,22.42445,0.834719,13.60858,0.320114,8.729316
"doxy",10,0.248322,16.16819,0.786749,24.57129,1.115872,29.26009,-0.329123,-14.4352
"oxy",3,0.190355,11.05951,0.551381,15.3663,0.511541,11.96927,0.03984,1.559236
"doxy",3,-0.021527,-3.460324,0.087647,6.758032,0.041581,2.691845,0.046066,4.988099
"oxy",11,0.09165,4.145837,0.162352,3.522748,-0.251002,-4.572692,0.413354,12.59564
"doxy",11,0.206696,11.20692,-0.129528,-3.368719,-0.09726,-2.123756,-0.032268,-1.178551
"oxy",4,0.204188,8.007276,0.415655,7.818683,0.261323,4.127132,0.154332,4.076893
"doxy",4,0.10684,8.850412,-0.077945,-3.097185,-0.175651,-5.860013,0.097706,5.452207
"oxy",12,-0.004562,-0.210561,0.232202,5.141322,-0.316154,-5.877297,0.548356,17.05081
"doxy",12,0.339426,36.07104,0.028298,1.442512,0.041039,1.756421,-0.012741,-0.912085
"oxy",5,0.126775,3.896461,1.163622,17.15513,1.42337,17.61854,-0.259749,-5.377859
"doxy",5,-0.033855,-1.731908,0.654395,16.05769,0.927742,19.1135,-0.273347,-9.419575
"oxy",13,-0.214004,-14.04583,0.269775,8.493238,0.251949,6.659692,0.017826,0.788129
"doxy",13,0.16063,19.22885,0.088883,5.103766,0.014987,0.722555,0.073895,5.958864
"oxy",6,0.299494,12.08899,0.457907,8.86595,0.110957,1.803735,0.34695,9.433833
"doxy",6,0.123644,12.40465,-0.036249,-1.744427,-0.097387,-3.934853,0.061138,4.131835
"oxy",14,-0.261817,-10.94841,0.250176,5.018167,0.137097,2.308858,0.113079,3.185332
"doxy",14,0.114883,8.016696,0.006646,0.222447,-0.152713,-4.291729,0.159359,7.490928
"oxy",7,0.256948,9.684056,0.597464,10.80115,0.627654,9.526828,-0.03019,-0.766473
"doxy",7,-0.01459,-0.928278,0.24562,7.495916,0.361884,9.272572,-0.116264,-4.982874
"oxy",15,-0.012363,-0.777,-0.08236,-2.482873,-0.201403,-5.097695,0.119043,5.039826
"doxy",15,0.129511,12.92214,-0.235928,-11.29151,-0.255005,-10.24688,0.019077,1.282215
"oxy",8,0.191438,5.559347,1.585283,22.08253,1.58419,18.5276,0.001092,0.02137
"doxy",8,-0.004744,-0.235499,0.868684,20.68604,1.213855,24.269,-0.345171,-11.5431
"oxy",16,-0.257709,-14.06626,0.381435,9.986536,0.403194,8.862953,-0.021759,-0.800041
"doxy",16,0.021503,2.253127,0.248193,12.47419,0.220257,9.294445,0.027935,1.971753
