"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.458572,42.43251,-0.094919,-11.368,0.10678,12.02795,-0.094919,-11.368,0.10678,12.02795,0.201699,19.06372,0.011861,0.871761
"doxy",1,0.285166,77.37966,0.012083,4.243542,-0.018321,-6.051968,0.012083,4.243542,-0.018321,-6.051968,-0.030404,-8.426966,-0.006239,-1.344659
"oxy",9,0.495861,33.60873,-0.317223,-27.829,-0.11987,-9.890389,-0.317223,-27.829,-0.11987,-9.890389,0.197353,13.66312,-0.437093,-23.53162
"doxy",9,0.376324,52.19203,-0.160742,-28.85438,-0.090551,-15.28791,-0.160742,-28.85438,-0.090551,-15.28791,0.07019,9.943384,-0.251293,-27.68271
"oxy",2,-0.1429,-18.89332,-0.02448,-4.189116,0.122307,19.68522,-0.02448,-4.189116,0.122307,19.68522,0.146787,19.82338,0.097828,10.27364
"doxy",2,0.037939,14.75618,0.029697,14.94987,-0.036672,-17.36315,0.029697,14.94987,-0.036672,-17.36315,-0.066368,-26.36708,-0.006975,-2.154799
"oxy",10,0.41529,39.82499,-0.042024,-5.216037,-0.055709,-6.503387,-0.042024,-5.216037,-0.055709,-6.503387,-0.013685,-1.340485,-0.097733,-7.444404
"doxy",10,0.270755,38.47696,0.108866,20.0244,-0.065561,-11.34179,0.108866,20.0244,-0.065561,-11.34179,-0.174427,-25.31938,0.043305,4.88825
"oxy",3,0.226891,30.23048,-0.09243,-15.93976,0.012437,2.017242,-0.09243,-15.93976,0.012437,2.017242,0.104867,14.27187,-0.079993,-8.465755
"doxy",3,0.101999,25.49631,0.01816,5.875484,-0.071875,-21.87101,0.01816,5.875484,-0.071875,-21.87101,-0.090035,-22.98826,-0.053715,-10.66495
"oxy",11,0.239173,22.94764,-0.134503,-16.70322,-0.028136,-3.286201,-0.134503,-16.70322,-0.028136,-3.286201,0.106368,10.42437,-0.162639,-12.39472
"doxy",11,-0.007037,-1.041966,-0.139254,-26.68926,-0.098543,-17.76341,-0.139254,-26.68926,-0.098543,-17.76341,0.040711,6.157596,-0.237797,-27.96925
"oxy",4,0.020545,1.642488,-0.010892,-1.127076,0.117927,11.47704,-0.010892,-1.127076,0.117927,11.47704,0.128819,10.51958,0.107035,6.796995
"doxy",4,0.064973,12.1701,0.153414,37.19363,-0.015741,-3.589256,0.153414,37.19363,-0.015741,-3.589256,-0.169155,-32.36391,0.137673,20.4832
"oxy",12,0.296072,28.32248,-0.043939,-5.440371,0.091163,10.6161,-0.043939,-5.440371,0.091163,10.6161,0.135103,13.20113,0.047224,3.588237
