"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.355443,-15.13439,-0.060711,-3.827846,-0.060711,-3.827846
"doxy",1,-0.236531,-5.700632,-0.430053,-15.34798,-0.430053,-15.34798
"oxy",9,-0.803815,-22.84926,0.601673,25.32629,0.601673,25.32629
"doxy",9,-0.133505,-6.706707,0.385328,28.66397,0.385328,28.66397
"oxy",2,-0.073371,-5.617591,0.060773,6.890191,0.060773,6.890191
"doxy",2,0.186653,26.08222,0.0019,0.393231,0.0019,0.393231
"oxy",10,-1.272046,-34.18658,0.173574,6.907678,0.173574,6.907678
"doxy",10,-0.726848,-30.66911,-0.004352,-0.271936,-0.004352,-0.271936
"oxy",3,-0.322096,-22.8964,0.14942,15.72845,0.14942,15.72845
"doxy",3,0.225078,33.0844,-0.025725,-5.599316,-0.025725,-5.599316
"oxy",11,-0.849937,-26.9206,0.335997,15.75898,0.335997,15.75898
"doxy",11,-0.306165,-18.66896,0.068832,6.215158,0.068832,6.215158
"oxy",4,-0.246413,-24.08527,0.009281,1.343295,0.009281,1.343295
"doxy",4,0.207788,32.60352,-0.083492,-19.3991,-0.083492,-19.3991
"oxy",12,-0.62239,-23.95905,0.342868,19.54468,0.342868,19.54468
"doxy",12,-0.195456,-15.16668,0.092669,10.64811,0.092669,10.64811
"oxy",5,-0.203861,-13.85275,0.16872,16.97707,0.16872,16.97707
"doxy",5,0.13603,15.86303,-0.018452,-3.186343,-0.018452,-3.186343
"oxy",13,-0.032117,-2.351293,0.148485,16.09704,0.148485,16.09704
"doxy",13,-0.133189,-22.50604,-0.02828,-7.076241,-0.02828,-7.076241
"oxy",6,-0.202357,-16.55512,-0.118757,-14.3869,-0.118757,-14.3869
"doxy",6,0.030254,6.526031,-0.159216,-50.85606,-0.159216,-50.85606
"oxy",14,-0.092053,-7.42598,0.187646,22.41571,0.187646,22.41571
"doxy",14,-0.084064,-19.0221,0.034392,11.5239,0.034392,11.5239
"oxy",7,-0.082219,-7.485957,0.060622,8.173358,0.060622,8.173358
"doxy",7,0.416674,52.54711,-0.079896,-14.9202,-0.079896,-14.9202
"oxy",15,-0.030916,-6.910344,0.012269,4.060796,0.012269,4.060796
"doxy",15,0.034251,4.532028,0.027789,5.44479,0.027789,5.44479
"oxy",8,-0.326101,-14.61577,0.167614,11.12436,0.167614,11.12436
"doxy",8,-0.179485,-12.14349,0.112805,11.3016,0.112805,11.3016
"oxy",16,-0.139271,-10.90951,0.112739,13.07713,0.112739,13.07713
"doxy",16,0.07539,15.14816,-0.089433,-26.60968,-0.089433,-26.60968
