"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.004905,-0.297002,0.314432,28.07885,0.314432,28.07885
"doxy",1,0.205199,33.84597,0.064702,15.7396,0.064702,15.7396
"oxy",9,-0.862939,-32.014,0.967235,52.92168,0.967235,52.92168
"doxy",9,-0.436528,-31.6186,0.534424,57.08967,0.534424,57.08967
"oxy",2,-0.495335,-38.64808,0.020189,2.323151,0.020189,2.323151
"doxy",2,0.042362,5.502764,-0.002926,-0.560558,-0.002926,-0.560558
"oxy",10,-0.753448,-38.73619,0.458698,34.78018,0.458698,34.78018
"doxy",10,-0.067129,-8.765426,0.212795,40.9794,0.212795,40.9794
"oxy",3,-0.269945,-17.643,0.217231,20.93921,0.217231,20.93921
"doxy",3,0.055952,9.463818,-0.060438,-15.07672,-0.060438,-15.07672
"oxy",11,-0.60951,-31.46226,0.24095,18.34333,0.24095,18.34333
"doxy",11,-0.578998,-47.34448,0.07198,8.680518,0.07198,8.680518
"oxy",4,-0.988011,-37.64776,0.34123,19.17637,0.34123,19.17637
"doxy",4,-0.373925,-26.20141,0.159901,16.52465,0.159901,16.52465
"oxy",12,-0.324892,-17.35374,0.413205,32.55079,0.413205,32.55079
"doxy",12,0.136901,16.28889,0.145345,25.50516,0.145345,25.50516
"oxy",5,-1.076339,-42.94282,0.343216,20.19529,0.343216,20.19529
"doxy",5,-0.570615,-45.3817,0.027871,3.269157,0.027871,3.269157
"oxy",13,-0.390624,-27.47949,0.141634,14.6947,0.141634,14.6947
"doxy",13,-0.342053,-33.62658,-0.085922,-12.4577,-0.085922,-12.4577
"oxy",6,-0.848217,-40.11526,0.17369,12.1149,0.17369,12.1149
"doxy",6,-0.191725,-23.43385,-0.100621,-18.13828,-0.100621,-18.13828
"oxy",14,-0.595832,-29.00403,0.424717,30.49129,0.424717,30.49129
"doxy",14,-0.14563,-20.68165,0.104131,21.80995,0.104131,21.80995
"oxy",7,-0.831376,-43.45554,0.484763,37.36959,0.484763,37.36959
"doxy",7,-0.321828,-27.55631,0.236991,29.92764,0.236991,29.92764
"oxy",15,-0.34472,-22.64089,0.15455,14.97059,0.15455,14.97059
"doxy",15,-0.165539,-18.24001,-0.213534,-34.70026,-0.213534,-34.70026
"oxy",8,-1.309046,-51.1855,0.236996,13.66707,0.236996,13.66707
"doxy",8,-0.605115,-48.71586,-0.054798,-6.506392,-0.054798,-6.506392
"oxy",16,-0.74327,-45.23543,0.155013,13.91364,0.155013,13.91364
"doxy",16,-0.043364,-5.864558,-0.067895,-13.54209,-0.067895,-13.54209
