"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.699224,-2.42092,-0.53238,-1.150372,0.358257,0.80354,-0.890637,-2.094733
"doxy",1,-1.327613,-2.94276,-1.171829,-1.621065,-0.401587,-0.576648,-0.770242,-1.159777
"oxy",9,0.203348,9.84621,0.188052,5.682749,-0.080924,-2.538379,0.268976,8.847202
"doxy",9,0.026748,2.795906,0.088321,5.761672,-0.065843,-4.458543,0.154164,10.94662
"oxy",2,0.417011,24.93742,0.156394,5.836843,0.016277,0.630551,0.140118,5.691945
"doxy",2,0.016932,4.383414,0.03644,5.887686,0.08913,14.94812,-0.05269,-9.266315
"oxy",10,0.356383,20.97994,0.095027,3.491301,0.0018,0.068658,0.093227,3.728132
"doxy",10,0.082615,11.08862,-0.002178,-0.182478,0.063393,5.512039,-0.065572,-5.978617
"oxy",3,0.349133,22.04802,0.021515,0.847952,0.045621,1.866331,-0.024106,-1.034101
"doxy",3,-0.010015,-4.77229,-0.020536,-6.106977,0.042318,13.06246,-0.062854,-20.34465
"oxy",11,0.200882,10.56194,-0.113879,-3.736783,0.127093,4.328851,-0.240972,-8.606617
"doxy",11,0.10183,13.11349,0.001187,0.095391,0.097534,8.136652,-0.096347,-8.428373
"oxy",4,0.392292,28.1174,0.041255,1.845419,0.017473,0.81131,0.023782,1.157907
"doxy",4,-0.017428,-3.322896,-0.002846,-0.338595,-0.037595,-4.643439,0.03475,4.500626
"oxy",12,0.372597,17.49299,0.057312,1.679291,0.201305,6.122488,-0.143993,-4.592287
"doxy",12,0.081005,7.636305,0.009796,0.576334,0.218613,13.35037,-0.208817,-13.37207
"oxy",5,0.268239,14.61547,-0.113641,-3.864381,0.166145,5.864429,-0.279786,-10.35573
"doxy",5,0.038197,5.277981,-0.116967,-10.08697,0.101018,9.042551,-0.217986,-20.46136
"oxy",13,0.113148,8.163218,-0.090457,-4.072934,0.065622,3.066962,-0.156078,-7.649268
"doxy",13,0.141494,17.08154,0.024413,1.839357,0.07227,5.651951,-0.047857,-3.924653
"oxy",6,0.407409,23.68403,0.083288,3.021747,0.051621,1.943996,0.031667,1.25054
"doxy",6,-0.01999,-2.925293,-0.087045,-7.949804,-0.009248,-0.876732,-0.077796,-7.733662
"oxy",14,0.264856,12.88064,-0.22259,-6.75594,-0.032968,-1.038638,-0.189623,-6.264416
"doxy",14,0.005629,0.625102,-0.006246,-0.432928,-0.085785,-6.171675,0.079538,6.000479
"oxy",7,0.112588,6.002964,0.150979,5.02394,0.02973,1.026874,0.121249,4.391545
"doxy",7,-0.139223,-16.5126,-0.002057,-0.152286,-0.013453,-1.033643,0.011396,0.918135
"oxy",15,0.189001,10.26078,-0.023168,-0.784968,-0.117701,-4.139455,0.094533,3.486285
"doxy",15,0.092837,9.260074,-0.030781,-1.916113,0.144326,9.325763,-0.175107,-11.86472
"oxy",8,0.43517,22.94429,0.154943,5.09848,-0.000729,-0.024892,0.155672,5.575574
"doxy",8,-0.026024,-4.535087,-0.059465,-6.467282,0.006527,0.736826,-0.065991,-7.812
"oxy",16,0.308393,18.50256,-0.059105,-2.213127,0.03054,1.186973,-0.089645,-3.653568
"doxy",16,0.05897,10.38294,0.12197,13.40283,0.140385,16.01247,-0.018415,-2.202494
