"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.036794,-4.397341,-0.099139,-13.93513,-0.121733,-16.79218,-0.099139,-13.93513,-0.121733,-16.79218,-0.022595,-2.620516,-0.220872,-19.22502
"doxy",1,-0.061141,-11.80445,-0.033418,-7.588322,0.085652,19.08711,-0.033418,-7.588322,0.085652,19.08711,0.11907,22.30939,0.052235,7.344954
"oxy",9,-0.099774,-12.17002,-0.003996,-0.57325,-0.20242,-28.49815,-0.003996,-0.57325,-0.20242,-28.49815,-0.198424,-23.4878,-0.206416,-18.33727
"doxy",9,-0.087252,-17.72138,-0.00342,-0.81695,0.141741,33.2281,-0.00342,-0.81695,0.141741,33.2281,0.145161,28.61174,0.138321,20.46099
"oxy",2,0.097217,10.37886,-0.127623,-16.02478,-0.098934,-12.19097,-0.127623,-16.02478,-0.098934,-12.19097,0.028689,2.972314,-0.226556,-17.61565
"doxy",2,-0.041171,-6.232521,-0.061196,-10.89575,0.15714,27.45688,-0.061196,-10.89575,0.15714,27.45688,0.218336,32.07557,0.095944,10.57818
"oxy",10,-0.010182,-1.162139,0.038417,5.157187,-0.183173,-24.13125,0.038417,5.157187,-0.183173,-24.13125,-0.22159,-24.54446,-0.144756,-12.03325
"doxy",10,0.061279,14.53288,0.008204,2.288351,0.108603,29.72821,0.008204,2.288351,0.108603,29.72821,0.100399,23.10686,0.116807,20.17549
"oxy",3,0.147693,32.08189,-0.05059,-12.92471,-0.100243,-25.13281,-0.05059,-12.92471,-0.100243,-25.13281,-0.049653,-10.4669,-0.150833,-23.86225
"doxy",3,-0.010553,-4.534633,-0.007238,-3.657924,0.051609,25.59609,-0.007238,-3.657924,0.051609,25.59609,0.058847,24.53901,0.044371,13.88597
"oxy",11,0.073512,7.740821,-0.062323,-7.718509,-0.300631,-36.53832,-0.062323,-7.718509,-0.300631,-36.53832,-0.238308,-24.3522,-0.362954,-27.83522
"doxy",11,-0.141205,-19.65309,0.035866,5.871223,0.202199,32.48251,0.035866,5.871223,0.202199,32.48251,0.166333,22.46635,0.238066,24.1321
"oxy",4,0.04142,6.401208,-0.124679,-22.66225,-0.085064,-15.17353,-0.124679,-22.66225,-0.085064,-15.17353,0.039615,5.941303,-0.209743,-23.60782
"doxy",4,0.040497,7.341972,-0.017157,-3.65847,0.163376,34.18774,-0.017157,-3.65847,0.163376,34.18774,0.180533,31.76318,0.146219,19.30695
"oxy",12,-0.290753,-23.91506,-0.040379,-3.906235,-0.145891,-13.85047,-0.040379,-3.906235,-0.145891,-13.85047,-0.105513,-8.422167,-0.18627,-11.15852
"doxy",12,0.049721,11.85476,0.03774,10.5832,0.145685,40.0921,0.03774,10.5832,0.145685,40.0921,0.107945,24.97646,0.183426,31.85159
"oxy",5,0.357125,38.50043,0.046318,5.872952,-0.24236,-30.15748,0.046318,5.872952,-0.24236,-30.15748,-0.288679,-30.2018,-0.196042,-15.39256
"doxy",5,-0.077219,-29.53123,-0.012644,-5.687388,0.073389,32.39492,-0.012644,-5.687388,0.073389,32.39492,0.086033,31.9299,0.060745,16.91929
"oxy",13,0.160405,29.66134,-0.029928,-6.508949,-0.10129,-21.61863,-0.029928,-6.508949,-0.10129,-21.61863,-0.071362,-12.80597,-0.131218,-17.67192
"doxy",13,-0.0149,-5.240869,0.013746,5.686338,0.07699,31.25575,0.013746,5.686338,0.07699,31.25575,0.063245,21.58746,0.090736,23.24353
"oxy",6,0.03297,3.578904,-0.041994,-5.361288,-0.158046,-19.80159,-0.041994,-5.361288,-0.158046,-19.80159,-0.116053,-12.22519,-0.20004,-15.81469
"doxy",6,-0.013265,-3.49019,-0.011317,-3.502047,0.08003,24.30412,-0.011317,-3.502047,0.08003,24.30412,0.091347,23.32412,0.068713,13.16726
"oxy",14,-0.08396,-11.55506,-0.126673,-20.5043,-0.081718,-12.98103,-0.126673,-20.5043,-0.081718,-12.98103,0.044955,6.004164,-0.208391,-20.88807
"doxy",14,0.030758,6.965408,0.017488,4.657841,0.024551,6.41715,0.017488,4.657841,0.024551,6.41715,0.007063,1.552184,0.042039,6.933528
"oxy",7,0.334152,44.08239,0.060074,9.321017,-0.17551,-26.72461,0.060074,9.321017,-0.17551,-26.72461,-0.235583,-30.16056,-0.115436,-11.09125
"doxy",7,-0.036874,-12.2377,-0.001605,-0.626391,0.049494,18.95927,-0.001605,-0.626391,0.049494,18.95927,0.051099,16.4575,0.047889,11.57539
"oxy",15,0.193498,33.35238,0.024287,4.923509,-0.128189,-25.50278,0.024287,4.923509,-0.128189,-25.50278,-0.152475,-25.5048,-0.103902,-13.04339
"doxy",15,-0.017305,-5.189221,-0.02212,-7.801389,0.072778,25.18915,-0.02212,-7.801389,0.072778,25.18915,0.094898,27.61569,0.050658,11.06339
"oxy",8,0.386685,34.04635,0.088106,9.123844,-0.089552,-9.100708,0.088106,9.123844,-0.089552,-9.100708,-0.177658,-15.17996,-0.001446,-0.092694
"doxy",8,0.316262,34.33593,0.060512,7.726796,0.038918,4.876827,0.060512,7.726796,0.038918,4.876827,-0.021594,-2.275137,0.099429,7.862003
"oxy",16,-0.079433,-6.945671,0.012369,1.272081,-0.206161,-20.80687,0.012369,1.272081,-0.206161,-20.80687,-0.21853,-18.54371,-0.193792,-12.34138
"doxy",16,0.050076,5.518497,-0.133767,-17.33783,0.028449,3.618642,-0.133767,-17.33783,0.028449,3.618642,0.162216,17.3482,-0.105317,-8.452898
