"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-5.716558,-18.60609,-0.676047,-3.246747,-0.676047,-3.246747
"doxy",1,-13.32522,-19.50241,-0.788787,-1.703433,-0.788787,-1.703433
"oxy",9,0.179494,23.69214,0.045683,8.897419,0.045683,8.897419
"doxy",9,0.037154,13.42157,0.014847,7.913893,0.014847,7.913893
"oxy",2,-0.17695,-27.75714,-0.046883,-10.85162,-0.046883,-10.85162
"doxy",2,-0.018505,-5.658331,0.056687,25.57638,0.056687,25.57638
"oxy",10,0.04429,6.752161,0.030909,6.952897,0.030909,6.952897
"doxy",10,0.004454,2.280765,0.03167,23.92827,0.03167,23.92827
"oxy",3,-0.018074,-3.709029,0.023382,7.080271,0.023382,7.080271
"doxy",3,-0.032625,-16.42028,0.019652,14.5945,0.019652,14.5945
"oxy",11,0.101643,15.02345,0.110978,24.20342,0.110978,24.20342
"doxy",11,-0.019053,-5.381353,-0.008602,-3.58483,-0.008602,-3.58483
"oxy",4,-0.267671,-43.04059,-0.071691,-17.00953,-0.071691,-17.00953
"doxy",4,0.025484,7.551659,0.083775,36.62947,0.083775,36.62947
"oxy",12,-0.141862,-16.27519,0.087167,14.75579,0.087167,14.75579
"doxy",12,0.020054,6.860798,0.013401,6.764816,0.013401,6.764816
"oxy",5,0.01844,3.621696,0.018626,5.397911,0.018626,5.397911
"doxy",5,-0.001057,-0.438998,0.032655,20.00703,0.032655,20.00703
"oxy",13,0.080043,12.22759,0.029697,6.693903,0.029697,6.693903
"doxy",13,-0.121574,-38.92872,0.038626,18.24993,0.038626,18.24993
"oxy",6,0.066351,10.15499,-0.052907,-11.948,-0.052907,-11.948
"doxy",6,0.053348,15.46059,0.094577,40.44333,0.094577,40.44333
"oxy",14,0.136328,17.9625,0.059205,11.51033,0.059205,11.51033
"doxy",14,-0.058879,-10.52094,-0.01426,-3.759713,-0.01426,-3.759713
"oxy",7,0.162987,33.66385,0.002791,0.850677,0.002791,0.850677
"doxy",7,0.040068,17.47558,0.018666,12.01282,0.018666,12.01282
"oxy",15,0.042283,4.736892,-0.024405,-4.034276,-0.024405,-4.034276
"doxy",15,-0.148711,-29.06117,0.001687,0.486377,0.001687,0.486377
"oxy",8,0.104642,14.94966,-0.047692,-10.05359,-0.047692,-10.05359
"doxy",8,0.069737,27.65252,0.071694,41.94736,0.071694,41.94736
"oxy",16,0.234064,29.03775,-0.030666,-5.613509,-0.030666,-5.613509
"doxy",16,-0.093258,-16.64955,-0.047209,-12.43626,-0.047209,-12.43626
