"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-12.11072,-31.81656,0.657975,2.513816,0.657975,2.513816
"doxy",1,-33.8042,-47.3948,-2.773483,-5.654921,-2.773483,-5.654921
"oxy",9,0.139403,14.04046,0.068306,10.00476,0.068306,10.00476
"doxy",9,-0.031196,-7.728891,0.020912,7.534591,0.020912,7.534591
"oxy",2,0.316004,24.81669,0.045653,5.213929,0.045653,5.213929
"doxy",2,-0.017369,-4.244236,0.094621,33.62424,0.094621,33.62424
"oxy",10,0.323145,28.42939,0.04238,5.422127,0.04238,5.422127
"doxy",10,-0.003701,-0.918843,0.001968,0.710734,0.001968,0.710734
"oxy",3,0.13205,19.5981,0.04228,9.125332,0.04228,9.125332
"doxy",3,-0.034258,-14.44393,0.042767,26.22214,0.042767,26.22214
"oxy",11,0.125563,11.76136,0.091704,12.4918,0.091704,12.4918
"doxy",11,-0.064848,-10.04894,-0.002137,-0.481547,-0.002137,-0.481547
"oxy",4,0.313195,23.76583,0.013658,1.507148,0.013658,1.507148
"doxy",4,-0.01707,-4.871791,0.111973,46.47397,0.111973,46.47397
"oxy",12,0.387832,31.13994,0.192644,22.49426,0.192644,22.49426
"doxy",12,0.021465,5.401708,0.032502,11.89461,0.032502,11.89461
"oxy",5,0.085147,14.96485,0.032314,8.259064,0.032314,8.259064
"doxy",5,-0.058773,-23.9337,0.047785,28.29856,0.047785,28.29856
"oxy",13,-0.079322,-10.27522,0.064336,12.11971,0.064336,12.11971
"doxy",13,-0.112362,-44.86931,0.021228,12.32758,0.021228,12.32758
"oxy",6,0.474685,38.46053,0.015268,1.798999,0.015268,1.798999
"doxy",6,-0.005589,-1.977153,0.088515,45.5362,0.088515,45.5362
"oxy",14,0.06017,5.726043,0.181101,25.0633,0.181101,25.0633
"doxy",14,-0.029353,-6.517834,0.029785,9.618083,0.029785,9.618083
"oxy",7,0.310739,40.17088,0.05417,10.18392,0.05417,10.18392
"doxy",7,-0.090704,-35.4271,0.046906,26.64299,0.046906,26.64299
"oxy",15,0.057276,6.573761,0.034324,5.728985,0.034324,5.728985
"doxy",15,-0.128415,-34.65393,0.012903,5.063792,0.012903,5.063792
"oxy",8,0.218546,19.55576,-0.023811,-3.098456,-0.023811,-3.098456
"doxy",8,-0.021646,-4.479449,0.020891,6.286981,0.020891,6.286981
"oxy",16,0.117422,9.077565,-0.01337,-1.503145,-0.01337,-1.503145
"doxy",16,-0.0614,-13.81351,-0.012913,-4.224798,-0.012913,-4.224798
