"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.342451,16.27277,0.479282,10.07343,0.25137,4.496605,0.227912,7.122513
"doxy",1,-0.528338,-16.29903,-0.727103,-9.921306,-0.368762,-4.282567,-0.358341,-7.270247
"oxy",9,0.060367,1.884841,-0.615687,-8.502786,-0.645374,-7.585742,0.029687,0.609597
"doxy",9,-0.031282,-4.196766,-0.020291,-1.204021,-0.006032,-0.304655,-0.014258,-1.258016
"oxy",2,0.15272,4.412158,-0.092424,-1.181038,0.120305,1.308417,-0.212729,-4.041884
"doxy",2,-0.138975,-9.834363,0.203965,6.383912,0.234526,6.247517,-0.030561,-1.422251
"oxy",10,0.478062,12.63319,0.870801,10.17819,0.926819,9.220034,-0.056019,-0.973565
"doxy",10,-0.738201,-12.61966,-1.350189,-10.20918,-1.446527,-9.309121,0.096339,1.08312
"oxy",3,0.078499,4.563614,0.14941,3.84194,-0.103341,-2.261662,0.252751,9.66368
"doxy",3,-0.122356,-4.575722,-0.216954,-3.58859,0.180871,2.546314,-0.397825,-9.784266
"oxy",11,0.238799,13.6496,0.306558,7.750399,0.217595,4.682146,0.088963,3.344276
"doxy",11,-0.377254,-13.53268,-0.493877,-7.835958,-0.36341,-4.907448,-0.130467,-3.07789
"oxy",4,0.062697,3.04656,0.232447,4.99585,0.028713,0.525227,0.203734,6.510715
"doxy",4,-0.098212,-3.092254,-0.346241,-4.821837,-0.022267,-0.263927,-0.323974,-6.708469
"oxy",12,0.054808,1.773919,-0.644549,-9.227146,-0.73616,-8.969526,0.091612,1.950029
"doxy",12,-0.528079,-11.45998,-0.430628,-4.13343,0.06232,0.509122,-0.492948,-7.035403
"oxy",5,-0.005052,-10.13035,-0.00506,-4.487563,-0.001364,-1.029843,-0.003695,-4.873381
"doxy",5,0.001172,3.909646,0.001102,1.625218,0.000819,1.028122,0.000283,0.620391
"oxy",13,0.45852,15.11223,0.471554,6.874248,-0.074159,-0.920112,0.545712,11.8287
"doxy",13,-0.704786,-15.0761,-0.72085,-6.820237,0.118684,0.95572,-0.839533,-11.8106
"oxy",6,0.191342,4.142467,-0.574314,-5.499489,-0.06183,-0.503916,-0.512484,-7.296803
"doxy",6,-0.231871,-12.07337,-0.152744,-3.517775,0.01399,0.274233,-0.166734,-5.709636
"oxy",14,0.033112,1.419835,0.045229,0.85781,-0.371636,-5.999013,0.416865,11.75577
"doxy",14,-0.051472,-1.418502,-0.067971,-0.828526,0.577606,5.992429,-0.645577,-11.70073
"oxy",7,0.135835,5.075009,-0.29932,-4.946355,-0.051199,-0.720103,-0.248121,-6.096673
"doxy",7,-0.099055,-8.611573,-0.011626,-0.447058,0.075883,2.483469,-0.087509,-5.003357
"oxy",15,0.734937,21.19145,0.606613,7.736522,0.1445,1.56851,0.462113,8.763178
"doxy",15,-1.128852,-21.18542,-0.931391,-7.731347,-0.220851,-1.5603,-0.71054,-8.769827
"oxy",8,0.473649,11.40802,0.687879,7.328061,0.38546,3.494959,0.302419,4.790328
"doxy",8,-0.737253,-11.36197,-1.055175,-7.192587,-0.575089,-3.336426,-0.480085,-4.865849
"oxy",16,0.076984,3.483979,-0.404432,-8.095471,-0.769375,-13.10749,0.364942,10.86175
"doxy",16,-0.117054,-3.395884,0.633233,8.125543,1.199318,13.0981,-0.566084,-10.80063
