"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.226653,-19.74923,-0.148895,-6.82912,-0.227499,-8.798321,0.078604,4.845365
"doxy",1,0.346135,19.72614,0.242708,7.28077,0.366305,9.265549,-0.123597,-4.983064
"oxy",9,-0.237786,-9.555263,0.146932,3.107895,0.362108,6.458395,-0.215177,-6.117049
"doxy",9,0.041006,7.985589,0.028301,2.901014,-0.025462,-2.20084,0.053763,7.406852
"oxy",2,-0.151194,-7.897481,-0.08351,-2.296079,0.362536,8.404962,-0.446046,-16.48257
"doxy",2,-0.153034,-10.97602,0.026981,1.018608,-0.055164,-1.756084,0.082145,4.16802
"oxy",10,0.497125,17.37434,0.211812,3.896633,-0.020459,-0.317364,0.232271,5.742883
"doxy",10,-0.767554,-17.43824,-0.31508,-3.767995,0.048762,0.49171,-0.363843,-5.847885
"oxy",3,-0.155731,-13.45758,-0.113753,-5.174271,-0.262329,-10.06164,0.148576,9.083074
"doxy",3,0.238061,13.52136,0.185697,5.551773,0.414199,10.44171,-0.228502,-9.181496
"oxy",11,-0.072832,-7.927348,-0.140998,-8.078172,-0.168711,-8.150381,0.027713,2.133899
"doxy",11,0.114156,7.956511,0.233922,8.582045,0.282945,8.753015,-0.049023,-2.417236
"oxy",4,0.152229,15.90399,0.114392,6.290728,0.050997,2.364733,0.063396,4.685533
"doxy",4,-0.242321,-15.85851,-0.167421,-5.767351,-0.069771,-2.026639,-0.09765,-4.521007
"oxy",12,0.512033,14.69182,0.357821,5.40429,0.339969,4.329609,0.017851,0.362355
"doxy",12,-0.792413,-14.67641,-0.539609,-5.260694,-0.506414,-4.162981,-0.033196,-0.434951
"oxy",5,0.039603,2.251156,-0.094632,-2.831504,-0.030892,-0.779397,-0.06374,-2.563233
"doxy",5,-0.076205,-2.649749,0.151258,2.76845,0.074437,1.148787,0.076822,1.889719
"oxy",13,-0.123549,-11.44104,-0.096588,-4.708127,-0.180359,-7.413041,0.083771,5.487962
"doxy",13,0.190157,11.41838,0.148035,4.678977,0.275716,7.348265,-0.127682,-5.423894
"oxy",6,-0.558182,-21.96225,-0.308074,-6.380456,0.270518,4.724189,-0.578592,-16.10515
"doxy",6,-0.506217,-10.68431,-0.365931,-4.065406,-0.602929,-5.648152,0.236998,3.538718
"oxy",14,0.236629,8.768115,0.220605,4.30277,0.147224,2.421293,0.073381,1.923586
"doxy",14,-0.366967,-8.767588,-0.342098,-4.302286,-0.230616,-2.445533,-0.111482,-1.884299
"oxy",7,-0.045848,-2.014336,0.219314,5.071949,0.44813,8.738735,-0.228817,-7.112011
"doxy",7,0.074747,15.73245,0.048164,5.336082,0.046972,4.388091,0.001192,0.17747
"oxy",15,-0.036764,-1.933075,-0.069514,-1.923943,-0.249779,-5.829283,0.180266,6.705527
"doxy",15,0.056621,1.941907,0.103835,1.874501,0.377219,5.742123,-0.273384,-6.633052
"oxy",8,0.359749,12.02922,0.141905,2.497643,-0.137875,-2.046226,0.279779,6.618286
"doxy",8,-0.56709,-12.19291,-0.225207,-2.548783,0.227792,2.173829,-0.452999,-6.890404
"oxy",16,0.007821,0.662606,-0.097343,-4.341005,-0.062674,-2.356711,-0.034669,-2.077911
"doxy",16,-0.110452,-4.614932,0.051973,1.14305,0.305541,5.666187,-0.253568,-7.495082
