"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.224421,36.81804,-0.075051,-14.46399,0.069031,13.30396,-0.075051,-14.46399,0.069031,13.30396,0.144082,22.91184,-0.006021,-0.72932
"doxy",1,-0.343815,-36.42526,0.11985,14.91586,-0.11185,-13.92049,0.11985,14.91586,-0.11185,-13.92049,-0.231699,-23.7934,0.008,0.625828
"oxy",9,-0.272545,-27.88224,0.122936,14.77413,-0.087751,-10.54587,0.122936,14.77413,-0.087751,-10.54587,-0.210687,-20.89203,0.035185,2.65783
"doxy",9,-0.065782,-19.92511,-0.053787,-19.1383,-0.042526,-15.13157,-0.053787,-19.1383,-0.042526,-15.13157,0.011262,3.306323,-0.096313,-21.54028
"oxy",2,-0.649644,-28.94714,0.408155,21.36431,-0.27896,-14.60208,0.408155,21.36431,-0.27896,-14.60208,-0.687116,-29.67658,0.129195,4.250619
"doxy",2,0.114787,15.48455,0.035777,5.669454,-0.061812,-9.795424,0.035777,5.669454,-0.061812,-9.795424,-0.097589,-12.76031,-0.026036,-2.593268
"oxy",10,0.173558,13.35123,0.116132,10.49454,0.080266,7.25357,0.116132,10.49454,0.080266,7.25357,-0.035866,-2.674334,0.196398,11.15555
"doxy",10,-0.261925,-13.0575,-0.178659,-10.46262,-0.132004,-7.730611,-0.178659,-10.46262,-0.132004,-7.730611,0.046654,2.254383,-0.310663,-11.43533
"oxy",3,0.194686,32.76125,-0.138516,-27.38154,0.064164,12.68406,-0.138516,-27.38154,0.064164,12.68406,0.202679,33.05898,-0.074352,-9.238335
"doxy",3,-0.29573,-32.21478,0.216523,27.70749,-0.103343,-13.22462,0.216523,27.70749,-0.103343,-13.22462,-0.319867,-33.77395,0.11318,9.103447
"oxy",11,0.069595,18.05907,0.028862,8.79775,0.034396,10.48497,0.028862,8.79775,0.034396,10.48497,0.005534,1.391989,0.063257,12.1201
"doxy",11,-0.108179,-17.87339,-0.04313,-8.371041,-0.063016,-12.23072,-0.04313,-8.371041,-0.063016,-12.23072,-0.019885,-3.184511,-0.106146,-12.94917
"oxy",4,-0.252287,-32.18059,-0.066664,-9.989044,0.04015,6.016217,-0.066664,-9.989044,0.04015,6.016217,0.106814,13.20626,-0.026514,-2.497217
"doxy",4,0.394868,32.39813,0.108794,10.48595,-0.067514,-6.507348,0.108794,10.48595,-0.067514,-6.507348,-0.176308,-14.02151,0.04128,2.500855
"oxy",12,0.087007,10.19375,-0.021074,-2.900462,0.070106,9.648853,-0.021074,-2.900462,0.070106,9.648853,0.09118,10.35461,0.049031,4.241604
"doxy",12,-0.127655,-9.661092,0.033773,3.002571,-0.117658,-10.46054,0.033773,3.002571,-0.117658,-10.46054,-0.151431,-11.10859,-0.083885,-4.687599
"oxy",5,-0.000733,-2.862563,0.001781,8.170652,-0.004259,-19.53361,0.001781,8.170652,-0.004259,-19.53361,-0.00604,-22.85918,-0.002477,-7.141978
"doxy",5,0.000285,2.284948,-0.000418,-3.936957,0.000991,9.325301,-0.000418,-3.936957,0.000991,9.325301,0.001409,10.94288,0.000572,3.386744
"oxy",13,0.233938,52.83858,0.037466,9.940909,0.073229,19.4302,0.037466,9.940909,0.073229,19.4302,0.035763,7.829532,0.110696,18.46108
"doxy",13,-0.365688,-53.08113,-0.052658,-8.97895,-0.118359,-20.18237,-0.052658,-8.97895,-0.118359,-20.18237,-0.065701,-9.243892,-0.171017,-18.32921
"oxy",6,-0.369888,-20.22784,0.236207,15.17419,-0.117255,-7.532727,0.236207,15.17419,-0.117255,-7.532727,-0.353462,-18.73595,0.118953,4.803176
"doxy",6,0.187445,16.75108,-0.10933,-11.47733,-0.015028,-1.577604,-0.10933,-11.47733,-0.015028,-1.577604,0.094303,8.168555,-0.124358,-8.205716
"oxy",14,-0.020522,-1.811366,0.03969,4.115206,0.005706,0.591644,0.03969,4.115206,0.005706,0.591644,-0.033983,-2.907395,0.045396,2.958503
"doxy",14,0.039931,2.290626,-0.057706,-3.888664,-0.011693,-0.787996,-0.057706,-3.888664,-0.011693,-0.787996,0.046013,2.558457,-0.0694,-2.939525
"oxy",7,-0.55724,-48.18631,0.184081,18.69918,-0.133428,-13.55408,0.184081,18.69918,-0.133428,-13.55408,-0.317508,-26.61279,0.050653,3.23415
"doxy",7,-0.19436,-35.29329,0.107757,22.98607,-0.133516,-28.4812,0.107757,22.98607,-0.133516,-28.4812,-0.241273,-42.46652,-0.025758,-3.453615
"oxy",15,0.249556,39.4227,0.027517,5.106422,0.087476,16.23332,0.027517,5.106422,0.087476,16.23332,0.059958,9.180816,0.114993,13.41297
"doxy",15,-0.375337,-38.94395,-0.040754,-4.967319,-0.136826,-16.67741,-0.040754,-4.967319,-0.136826,-16.67741,-0.096072,-9.662021,-0.17758,-13.60467
"oxy",8,0.105003,6.031661,0.06268,4.229551,0.122095,8.238952,0.06268,4.229551,0.122095,8.238952,0.059415,3.30812,0.184774,7.837023
"doxy",8,-0.157663,-5.836874,-0.089913,-3.910262,-0.196743,-8.556418,-0.089913,-3.910262,-0.196743,-8.556418,-0.10683,-3.833519,-0.286656,-7.835874
"oxy",16,-0.147653,-7.465359,0.658238,39.09529,-0.269474,-16.00543,0.658238,39.09529,-0.269474,-16.00543,-0.927712,-45.46479,0.388764,14.51344
"doxy",16,-0.140667,-22.61327,-0.04531,-8.556522,-0.090238,-17.04139,-0.04531,-8.556522,-0.090238,-17.04139,-0.044929,-7.000796,-0.135548,-16.08946
