"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.101933,19.97973,-0.06872,-17.45798,0.073232,17.49726,-0.06872,-17.45798,0.073232,17.49726,0.141952,28.4504,0.004512,0.703564
"doxy",1,-0.155303,-19.95005,0.10688,17.7949,-0.113129,-17.71469,0.10688,17.7949,-0.113129,-17.71469,-0.220009,-28.89859,-0.00625,-0.63867
"oxy",9,-0.04175,-10.32917,-0.036001,-11.54412,0.031276,9.4323,-0.036001,-11.54412,0.031276,9.4323,0.067278,17.01961,-0.004725,-0.929925
"doxy",9,0.063784,10.43202,0.058607,12.42347,-0.046751,-9.320621,0.058607,12.42347,-0.046751,-9.320621,-0.105358,-17.61968,0.011856,1.542546
"oxy",2,0.097364,28.00532,-0.031671,-11.80718,-0.011405,-3.998648,-0.031671,-11.80718,-0.011405,-3.998648,0.020267,5.960759,-0.043076,-9.856675
"doxy",2,-0.149065,-27.8545,0.049274,11.9336,0.017487,3.983185,0.049274,11.9336,0.017487,3.983185,-0.031787,-6.073469,0.066761,9.92418
"oxy",10,0.053474,6.047446,-0.062851,-9.212467,0.021654,2.985158,-0.062851,-9.212467,0.021654,2.985158,0.084505,9.772008,-0.041196,-3.706316
"doxy",10,-0.082365,-6.037195,0.099042,9.409118,-0.032072,-2.86557,0.099042,9.409118,-0.032072,-2.86557,-0.131114,-9.826836,0.06697,3.905063
"oxy",3,-0.013917,-18.9028,-0.003782,-6.657603,0.003456,5.721841,-0.003782,-6.657603,0.003456,5.721841,0.007237,10.05205,-0.000326,-0.352165
"doxy",3,0.020598,18.75515,0.008829,10.41977,-0.005039,-5.592647,0.008829,10.41977,-0.005039,-5.592647,-0.013868,-12.91174,0.00379,2.745644
