"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.008892,1.16126,0.012284,2.3674,0.012284,2.3674
"doxy",1,-0.016443,-1.392409,-0.019273,-2.408545,-0.019273,-2.408545
"oxy",9,-0.31022,-29.94503,-0.073587,-10.48273,-0.073587,-10.48273
"doxy",9,0.005761,1.472638,0.056136,21.17651,0.056136,21.17651
"oxy",2,-0.306915,-28.9457,-0.047716,-6.641303,-0.047716,-6.641303
"doxy",2,0.379002,66.48332,0.140889,36.47282,0.140889,36.47282
"oxy",10,0.481778,37.95494,0.066559,7.738402,0.066559,7.738402
"doxy",10,-0.747156,-37.95741,-0.102718,-7.701121,-0.102718,-7.701121
"oxy",3,0.075569,18.00096,-0.022221,-7.811584,-0.022221,-7.811584
"doxy",3,-0.118496,-18.41273,0.033975,7.790996,0.033975,7.790996
"oxy",11,0.063223,12.71001,-0.023379,-6.936004,-0.023379,-6.936004
"doxy",11,-0.102389,-12.93884,0.03535,6.59252,0.03535,6.59252
"oxy",4,0.204871,49.28191,-0.055994,-19.87766,-0.055994,-19.87766
"doxy",4,-0.319235,-49.83765,0.086451,19.91754,0.086451,19.91754
"oxy",12,0.128391,21.65529,-0.071256,-17.73674,-0.071256,-17.73674
"doxy",12,-0.390598,-37.44451,0.034518,4.883431,0.034518,4.883431
"oxy",5,-0.002874,-16.85213,-0.001185,-10.25611,-0.001185,-10.25611
"doxy",5,0.000776,9.390893,0.000528,9.434607,0.000528,9.434607
"oxy",13,0.039043,6.951512,-0.003078,-0.80884,-0.003078,-0.80884
"doxy",13,-0.063765,-7.377109,0.003451,0.589168,0.003451,0.589168
"oxy",6,-0.698411,-57.93961,-0.077163,-9.447073,-0.077163,-9.447073
"doxy",6,0.018486,3.489115,0.059034,16.44375,0.059034,16.44375
"oxy",14,0.097251,19.82618,-0.06811,-20.49179,-0.06811,-20.49179
"doxy",14,-0.155795,-20.66404,0.103852,20.32811,0.103852,20.32811
"oxy",7,-0.231676,-27.83521,-0.138521,-24.56126,-0.138521,-24.56126
"doxy",7,-0.062779,-9.402815,0.013706,3.029637,0.013706,3.029637
"oxy",15,0.046597,7.328288,0.018531,4.301039,0.018531,4.301039
"doxy",15,-0.075921,-7.752167,-0.029929,-4.509994,-0.029929,-4.509994
"oxy",8,0.392709,39.88068,0.060968,9.137234,0.060968,9.137234
"doxy",8,-0.616126,-40.24755,-0.098912,-9.535451,-0.098912,-9.535451
"oxy",16,-0.0346,-5.58075,-0.023616,-5.621445,-0.023616,-5.621445
"doxy",16,0.045139,4.725284,0.034329,5.30357,0.034329,5.30357
