"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.304969,-1.021456,-4.597644,-7.543267,-3.2242,-4.450694,-1.373445,-3.127244
"doxy",1,0.469475,0.596991,16.38631,10.20696,8.94424,4.687492,7.442067,6.433325
"oxy",9,-0.223187,-22.47266,-0.136029,-6.709297,-0.227594,-9.444727,0.091565,6.267653
"doxy",9,0.051182,5.830763,-0.133849,-7.46938,-0.02681,-1.258765,-0.107039,-8.289699
"oxy",2,-0.133046,-4.890321,0.575044,10.35372,0.139607,2.114878,0.435437,10.88045
"doxy",2,-0.140296,-8.02383,0.320991,8.992691,0.314924,7.423089,0.006067,0.235871
"oxy",10,-0.024264,-0.980301,0.604652,11.96629,0.147081,2.449013,0.457571,12.56723
"doxy",10,0.254884,16.99272,0.54799,17.89588,0.305494,8.393918,0.242496,10.99035
"oxy",3,-0.174424,-9.255461,0.104307,2.711222,0.07096,1.551835,0.033347,1.202923
"doxy",3,-0.178283,-8.5126,0.116262,2.719271,-0.132499,-2.6074,0.248762,8.074631
"oxy",11,-0.529332,-49.34695,-0.143328,-6.545228,0.09228,3.545547,-0.235609,-14.93174
"doxy",11,0.185384,13.9513,-0.112306,-4.14006,-0.270549,-8.391306,0.158242,8.095648
"oxy",4,-0.052025,-2.464033,0.145494,3.375532,-0.032607,-0.636476,0.178101,5.734407
"doxy",4,-0.008084,-0.901849,0.108565,5.932872,0.078355,3.602649,0.03021,2.291165
"oxy",12,-0.079306,-10.62483,0.135529,8.894208,0.152254,8.40669,-0.016725,-1.523223
"doxy",12,0.123401,10.65904,-0.205364,-8.689273,-0.238865,-8.503419,0.033501,1.967183
"oxy",5,0.169254,7.074507,0.015904,0.325623,-0.087674,-1.510314,0.103577,2.943118
"doxy",5,-0.109654,-7.658866,0.145835,4.989567,-0.078212,-2.251413,0.224047,10.63815
"oxy",13,-0.046103,-4.126206,0.104762,4.592935,0.045815,1.68995,0.058947,3.586544
"doxy",13,0.074245,4.263071,-0.160503,-4.5144,-0.071981,-1.703387,-0.088523,-3.45539
"oxy",6,0.02224,0.814089,-0.043621,-0.782152,-0.33106,-4.994434,0.287439,7.152706
"doxy",6,-0.059318,-6.170695,-0.06039,-3.07732,-0.067788,-2.906294,0.007398,0.523149
"oxy",14,-0.082452,-9.911016,-0.121173,-7.134813,-0.17114,-8.478315,0.049967,4.083053
"doxy",14,0.132402,10.22408,0.193429,7.316632,0.267212,8.50408,-0.073783,-3.873223
"oxy",7,-0.114655,-5.187932,-0.267621,-5.931728,-0.541785,-10.10343,0.274163,8.43327
"doxy",7,-0.101557,-8.798416,-0.086479,-3.669984,-0.188716,-6.738194,0.102237,6.021257
"oxy",15,0.39453,17.21294,0.71129,15.20133,0.389638,7.006136,0.321651,9.539965
"doxy",15,0.327705,20.99701,0.277859,8.720886,0.245877,6.492855,0.031982,1.393058
"oxy",8,0.012221,0.450221,0.1891,3.412568,-0.266246,-4.042546,0.455345,11.40402
"doxy",8,0.024629,1.376842,0.29965,8.205771,-0.032008,-0.737475,0.331659,12.6044
"oxy",16,-0.556046,-34.54279,-0.552635,-16.81689,-0.436175,-11.16735,-0.11646,-4.91824
"doxy",16,0.458734,20.16034,0.706023,15.19904,0.561495,10.17008,0.144529,4.317955
