"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.424713,-27.23638,0.230051,6.970581,0.220645,5.632624,0.009407,0.404349
"doxy",1,0.146001,30.70099,0.080017,7.950036,0.154219,12.90919,-0.074202,-10.45872
"oxy",9,-0.700152,-54.20581,-0.116424,-4.258776,-0.232297,-7.159122,0.115873,6.013113
"doxy",9,0.077588,3.19262,-0.165884,-3.225108,0.145633,2.385473,-0.311517,-8.592031
"oxy",2,-0.477594,-18.22933,0.607682,10.95917,0.308734,4.690931,0.298948,7.648405
"doxy",2,0.152023,17.29304,0.195458,10.50528,0.103596,4.691026,0.091863,7.004324
"oxy",10,-0.200576,-10.29562,-0.497245,-12.05962,-0.210413,-4.299417,-0.286832,-9.868793
"doxy",10,-0.125696,-4.00465,1.052663,15.84607,0.779,9.879681,0.273663,5.844163
"oxy",3,-0.00324,-0.364182,0.133543,7.0917,0.003782,0.169217,0.129761,9.775665
"doxy",3,-0.017178,-1.210605,-0.219095,-7.295344,-0.006592,-0.184926,-0.212503,-10.03811
"oxy",11,-0.905329,-62.00351,-0.389005,-12.58794,-0.732942,-19.98216,0.343937,15.78891
"doxy",11,0.06513,2.493802,0.115219,2.084448,0.792197,12.07464,-0.676978,-17.37465
"oxy",4,0.166173,16.66601,-0.125199,-5.932857,-0.118236,-4.720449,-0.006964,-0.468143
"doxy",4,-0.269584,-17.14251,0.193834,5.823707,0.181391,4.591543,0.012443,0.530355
"oxy",12,-0.517934,-33.14328,0.21231,6.419197,0.428925,10.9261,-0.216615,-9.291229
"doxy",12,-0.123289,-25.37055,0.12658,12.30727,0.322696,26.43403,-0.196116,-27.05099
"oxy",5,-0.44349,-19.21751,-0.12527,-2.564776,0.490099,8.453963,-0.615369,-17.87361
"doxy",5,-0.188702,-11.08577,0.076334,2.118831,0.144768,3.385539,-0.068435,-2.694832
"oxy",13,-0.056433,-4.666502,0.238124,9.303641,0.03472,1.142887,0.203404,11.27412
"doxy",13,0.075859,4.058888,-0.378669,-9.573023,-0.058902,-1.254561,-0.319767,-11.46824
"oxy",6,-0.857628,-42.14837,0.112024,2.601263,0.131491,2.572419,-0.019467,-0.64127
"doxy",6,-0.130385,-8.494688,0.192014,5.910732,-0.06496,-1.684715,0.256974,11.22201
"oxy",14,0.126557,12.43882,-0.122364,-5.682475,-0.269481,-10.54352,0.147117,9.69216
"doxy",14,-0.200792,-12.71582,0.185596,5.553361,0.41498,10.46136,-0.229384,-9.736985
"oxy",7,-0.500662,-31.03849,-0.002805,-0.082163,0.052618,1.298541,-0.055423,-2.303093
"doxy",7,-0.000497,-0.034741,0.157752,5.210263,-0.003115,-0.086682,0.160868,7.537469
"oxy",15,-0.854106,-58.62691,-0.380318,-12.33453,-0.524033,-14.31884,0.143715,6.612286
"doxy",15,0.382611,34.8372,0.37692,16.2153,0.500104,18.12634,-0.123185,-7.518073
"oxy",8,-1.012481,-27.18357,1.139646,14.45705,0.983009,10.50608,0.156637,2.818888
"doxy",8,-0.23245,-7.463208,1.061322,16.10032,0.813637,10.39899,0.247685,5.330409
"oxy",16,-0.720071,-50.80708,-0.323459,-10.78345,-0.32534,-9.137962,0.001881,0.088973
"doxy",16,0.093816,8.271963,0.140256,5.843111,0.30186,10.59504,-0.161605,-9.551042
