"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,1.26528,7.88399,0.409114,2.729263,0.069723,0.465154,0.409114,2.729263,0.069723,0.465154,-0.339391,-1.647374,0.478837,2.198644
"doxy",1,-3.693419,-6.619829,-16.44489,-31.55666,-1.692767,-3.248439,-16.44489,-31.55666,-1.692767,-3.248439,14.75212,20.59709,-18.13766,-23.9556
"oxy",9,0.531991,43.51937,0.037458,3.280656,0.146062,12.79307,0.037458,3.280656,0.146062,12.79307,0.108604,6.920835,0.18352,11.06289
"doxy",9,-0.13996,-33.24882,-0.005843,-1.486197,-0.013305,-3.384216,-0.005843,-1.486197,-0.013305,-3.384216,-0.007462,-1.380895,-0.019149,-3.35212
"oxy",2,0.441838,30.4892,0.198241,14.64598,0.184436,13.62665,0.198241,14.64598,0.184436,13.62665,-0.013805,-0.74206,0.382677,19.45914
"doxy",2,-0.062713,-14.6201,-0.016027,-4.000237,-0.036425,-9.091843,-0.016027,-4.000237,-0.036425,-9.091843,-0.020398,-3.704374,-0.052452,-9.01078
"oxy",10,0.204944,15.03226,0.147613,11.59197,0.157909,12.40098,0.147613,11.59197,0.157909,12.40098,0.010296,0.58827,0.305522,16.51355
"doxy",10,-0.161827,-37.12057,0.05044,12.38744,0.048361,11.87738,0.05044,12.38744,0.048361,11.87738,-0.002079,-0.371461,0.098801,16.70069
"oxy",3,0.302296,20.92744,0.138219,10.24454,0.236997,17.56649,0.138219,10.24454,0.236997,17.56649,0.098778,5.326916,0.375216,19.14132
"doxy",3,-0.222294,-42.0811,-0.06042,-12.24562,-0.080933,-16.40381,-0.06042,-12.24562,-0.080933,-16.40381,-0.020513,-3.025007,-0.141353,-19.71841
"oxy",11,0.503664,38.13685,-0.01922,-1.558129,0.226871,18.39255,-0.01922,-1.558129,0.226871,18.39255,0.246091,14.51553,0.207651,11.5863
"doxy",11,-0.10104,-15.48453,-0.03705,-6.078997,-0.016884,-2.770308,-0.03705,-6.078997,-0.016884,-2.770308,0.020166,2.407476,-0.053933,-6.090734
"oxy",4,0.123752,8.503135,0.269624,19.83483,0.222954,16.40221,0.269624,19.83483,0.222954,16.40221,-0.04667,-2.498045,0.492578,24.94082
"doxy",4,0.098328,24.88149,0.009175,2.485725,-0.013638,-3.695027,0.009175,2.485725,-0.013638,-3.695027,-0.022813,-4.496994,-0.004463,-0.832237
"oxy",12,0.23742,20.6684,0.065345,6.09034,0.156511,14.5879,0.065345,6.09034,0.156511,14.5879,0.091166,6.182383,0.221856,14.23204
"doxy",12,-0.044745,-13.41854,0.050941,16.35586,0.029434,9.450988,0.050941,16.35586,0.029434,9.450988,-0.021507,-5.024249,0.080376,17.76211
"oxy",5,0.494497,31.92549,0.097792,6.759599,0.170094,11.75768,0.097792,6.759599,0.170094,11.75768,0.072301,3.636249,0.267886,12.74477
"doxy",5,-0.067459,-11.44801,-0.12893,-23.42547,0.01218,2.213001,-0.12893,-23.42547,0.01218,2.213001,0.14111,18.65443,-0.116751,-14.60021
"oxy",13,-0.067417,-11.48891,0.008895,1.622943,0.030238,5.517217,0.008895,1.622943,0.030238,5.517217,0.021343,2.833303,0.039133,4.914285
"doxy",13,0.107397,11.7873,-0.012894,-1.515136,-0.045515,-5.348524,-0.012894,-1.515136,-0.045515,-5.348524,-0.032621,-2.789007,-0.058409,-4.72398
"oxy",6,0.15073,11.71887,0.147707,12.29498,0.20054,16.69342,0.147707,12.29498,0.20054,16.69342,0.052833,3.199806,0.348247,19.95171
"doxy",6,0.070384,15.66767,0.000723,0.172243,0.042751,10.18926,0.000723,0.172243,0.042751,10.18926,0.042029,7.288064,0.043474,7.131348
"oxy",14,-0.133994,-24.33887,-0.137219,-26.68526,-0.052617,-10.23295,-0.137219,-26.68526,-0.052617,-10.23295,0.084602,11.97096,-0.189835,-25.40982
"doxy",14,0.206971,24.07832,0.212617,26.48241,0.081646,10.16981,0.212617,26.48241,0.081646,10.16981,-0.130971,-11.86931,0.294264,25.22675
"oxy",7,0.295409,22.26653,0.108016,8.716825,0.158104,12.75943,0.108016,8.716825,0.158104,12.75943,0.050088,2.94102,0.26612,14.78135
"doxy",7,-0.071083,-11.62215,-0.083178,-14.56031,0.056772,9.938376,-0.083178,-14.56031,0.056772,9.938376,0.139951,17.8249,-0.026406,-3.181468
"oxy",15,0.435312,30.53381,0.110199,8.275607,0.202779,15.22866,0.110199,8.275607,0.202779,15.22866,0.09258,5.058578,0.312978,16.17712
"doxy",15,-0.074141,-18.56397,0.041454,11.11288,-0.092754,-24.86605,0.041454,11.11288,-0.092754,-24.86605,-0.134209,-26.17746,-0.0513,-9.465364
"oxy",8,0.04479,3.702065,0.213267,18.87266,0.219232,19.40124,0.213267,18.87266,0.219232,19.40124,0.005964,0.384023,0.432499,26.34267
"doxy",8,-0.144489,-23.98619,0.044278,7.869645,0.108613,19.3049,0.044278,7.869645,0.108613,19.3049,0.064335,8.319702,0.152891,18.7032
"oxy",16,0.43338,27.63016,0.104161,7.10989,0.19093,13.03313,0.104161,7.10989,0.19093,13.03313,0.086769,4.309355,0.295092,13.8637
"doxy",16,0.19819,30.61102,0.119144,19.70199,0.044639,7.38191,0.119144,19.70199,0.044639,7.38191,-0.074505,-8.964276,0.163783,18.64113
