"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,1.174524,1.121957,-4.090748,-4.161952,7.959126,8.096979,-4.090748,-4.161952,7.959126,8.096979,12.04987,8.920281,3.868378,2.708498
"doxy",1,21.47376,11.96046,3.693779,2.191243,6.105145,3.621419,3.693779,2.191243,6.105145,3.621419,2.411365,1.040841,9.798923,4.000398
"oxy",9,0.217881,17.38696,0.349393,29.69603,-0.151375,-12.86473,0.349393,29.69603,-0.151375,-12.86473,-0.500768,-30.96864,0.198019,11.58231
"doxy",9,0.022201,3.593704,0.141382,24.37509,-0.117135,-20.193,0.141382,24.37509,-0.117135,-20.193,-0.258517,-32.42966,0.024247,2.876882
"oxy",2,0.094495,8.951568,0.236662,23.8779,-0.089729,-9.052373,0.236662,23.8779,-0.089729,-9.052373,-0.32639,-23.96112,0.146933,10.20218
"doxy",2,-0.005508,-1.099254,0.098323,20.90147,-0.005156,-1.096061,0.098323,20.90147,-0.005156,-1.096061,-0.10348,-16.00581,0.093167,13.62973
"oxy",10,0.219138,19.90114,0.314867,30.45561,-0.050666,-4.900268,0.314867,30.45561,-0.050666,-4.900268,-0.365533,-25.72577,0.264201,17.58652
"doxy",10,0.018269,5.410272,0.144908,45.70625,-0.010856,-3.424004,0.144908,45.70625,-0.010856,-3.424004,-0.155764,-35.74813,0.134051,29.09781
"oxy",3,0.048924,4.681203,0.216361,22.04923,-0.054448,-5.548264,0.216361,22.04923,-0.054448,-5.548264,-0.270809,-20.0807,0.161913,11.3554
"doxy",3,0.000287,0.070148,0.032822,8.553481,-0.033134,-8.634059,0.032822,8.553481,-0.033134,-8.634059,-0.065955,-12.50644,-0.000312,-0.055953
"oxy",11,0.224256,17.94086,0.375233,31.9728,-0.167041,-14.232,0.375233,31.9728,-0.167041,-14.232,-0.542274,-33.62019,0.208192,12.20812
"doxy",11,0.045372,8.660043,0.177391,36.06194,-0.082908,-16.85305,0.177391,36.06194,-0.082908,-16.85305,-0.2603,-38.50278,0.094483,13.21829
"oxy",4,0.092997,9.119834,0.206266,21.54407,-0.005587,-0.58352,0.206266,21.54407,-0.005587,-0.58352,-0.211854,-16.1004,0.200679,14.4247
"doxy",4,0.030732,11.29687,0.097481,38.16494,0.018948,7.41794,0.097481,38.16494,0.018948,7.41794,-0.078532,-22.37153,0.116429,31.36989
"oxy",12,0.144587,12.93824,0.281432,26.82241,0.034356,3.274062,0.281432,26.82241,0.034356,3.274062,-0.247076,-17.13394,0.315788,20.71214
"doxy",12,-0.033698,-8.678005,0.15331,42.04975,-0.021032,-5.768291,0.15331,42.04975,-0.021032,-5.768291,-0.174342,-34.79349,0.132277,24.96803
"oxy",5,0.304104,22.9461,0.375542,30.18041,-0.105656,-8.490348,0.375542,30.18041,-0.105656,-8.490348,-0.481199,-28.13795,0.269886,14.92629
"doxy",5,0.071334,12.07419,0.140923,25.4052,-0.048532,-8.748528,0.140923,25.4052,-0.048532,-8.748528,-0.189455,-24.85131,0.092391,11.46237
"oxy",13,0.182989,19.85655,0.205722,23.77602,-0.044809,-5.17836,0.205722,23.77602,-0.044809,-5.17836,-0.250531,-21.06796,0.160912,12.79834
"doxy",13,-0.028206,-6.451642,0.108733,26.48933,-0.028929,-7.047066,0.108733,26.48933,-0.028929,-7.047066,-0.137662,-24.40203,0.079804,13.37947
"oxy",6,0.205381,16.70229,0.319965,27.71393,0.069414,6.011823,0.319965,27.71393,0.069414,6.011823,-0.250551,-15.79042,0.389379,23.20991
"doxy",6,0.109126,25.87803,0.146944,37.11362,0.040069,10.11948,0.146944,37.11362,0.040069,10.11948,-0.106874,-19.64073,0.187013,32.5057
"oxy",14,0.112155,15.11305,-0.008642,-1.240247,0.067792,9.728703,-0.008642,-1.240247,0.067792,9.728703,0.076433,7.981772,0.05915,5.842194
"doxy",14,-0.02415,-4.407443,0.269204,52.3273,0.048295,9.386674,0.269204,52.3273,0.048295,9.386674,-0.220909,-31.24368,0.317498,42.47119
"oxy",7,0.341829,22.9401,0.473044,33.81175,-0.159331,-11.38755,0.473044,33.81175,-0.159331,-11.38755,-0.632376,-32.88839,0.313713,15.43134
"doxy",7,0.07672,11.69611,0.155248,25.20787,-0.082473,-13.39016,0.155248,25.20787,-0.082473,-13.39016,-0.237721,-28.08533,0.072775,8.131998
"oxy",15,0.237116,20.03684,0.278149,25.03377,-0.086162,-7.754044,0.278149,25.03377,-0.086162,-7.754044,-0.364311,-23.85739,0.191987,11.8912
"doxy",15,-0.07974,-17.72735,0.114065,27.00836,-0.054426,-12.88591,0.114065,27.00836,-0.054426,-12.88591,-0.168491,-29.02847,0.059639,9.718115
"oxy",8,0.338666,17.64458,0.571599,31.71839,-0.16586,-9.202879,0.571599,31.71839,-0.16586,-9.202879,-0.737458,-29.7755,0.405739,15.49431
"doxy",8,0.031077,3.024971,0.338768,35.12105,-0.07086,-7.345667,0.338768,35.12105,-0.07086,-7.345667,-0.409628,-30.89988,0.267908,19.11418
"oxy",16,0.326267,27.48663,0.286254,25.68503,-0.012826,-1.15071,0.286254,25.68503,-0.012826,-1.15071,-0.29908,-19.52616,0.273429,16.88409
"doxy",16,-0.047369,-8.774677,0.243454,48.03257,0.016413,3.237881,0.243454,48.03257,0.016413,3.237881,-0.227041,-32.5931,0.259867,35.28375
