"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.498164,3.141102,-0.561782,-5.246208,-0.561782,-5.246208
"doxy",1,4.897588,9.63286,-1.15001,-3.349985,-1.15001,-3.349985
"oxy",9,-0.100841,-8.761747,-0.028292,-3.640686,-0.028292,-3.640686
"doxy",9,-0.146347,-26.1549,0.044174,11.69236,0.044174,11.69236
"oxy",2,-0.308966,-37.38014,-0.078108,-13.99575,-0.078108,-13.99575
"doxy",2,0.223605,51.12626,-0.000188,-0.063529,-0.000188,-0.063529
"oxy",10,0.021939,1.61767,0.051668,5.642415,0.051668,5.642415
"doxy",10,-0.121233,-15.53481,0.074814,14.19819,0.074814,14.19819
"oxy",3,-0.231034,-24.07619,-0.06266,-9.670991,-0.06266,-9.670991
"doxy",3,0.202074,39.9336,-0.019537,-5.71805,-0.019537,-5.71805
"oxy",11,0.126238,14.62825,0.02232,3.830594,0.02232,3.830594
"doxy",11,-0.171177,-20.5912,0.038153,6.797175,0.038153,6.797175
"oxy",4,-0.395792,-43.4047,0.056057,9.104766,0.056057,9.104766
"doxy",4,0.148972,36.67753,0.048183,17.56943,0.048183,17.56943
"oxy",12,0.20332,23.01657,0.115729,19.40303,0.115729,19.40303
"doxy",12,-0.130547,-19.12977,0.07153,15.52385,0.07153,15.52385
"oxy",5,-0.357553,-33.50614,-0.079041,-10.96995,-0.079041,-10.96995
"doxy",5,-0.074226,-11.4103,0.020853,4.747606,0.020853,4.747606
"oxy",13,0.002543,0.62456,0.073746,26.82059,0.073746,26.82059
"doxy",13,-0.007527,-1.200884,-0.114577,-27.07483,-0.114577,-27.07483
"oxy",6,-0.229376,-27.11504,-0.011739,-2.055315,-0.011739,-2.055315
"doxy",6,0.00596,1.543182,0.007919,3.036481,0.007919,3.036481
"oxy",14,-0.042611,-14.30485,0.007931,3.943385,0.007931,3.943385
"doxy",14,0.062066,13.52417,-0.013236,-4.271472,-0.013236,-4.271472
"oxy",7,-0.318922,-25.70631,-0.166094,-19.82797,-0.166094,-19.82797
"doxy",7,-0.144229,-20.30245,0.04842,10.09456,0.04842,10.09456
"oxy",15,-0.389497,-42.04147,-0.119525,-19.10734,-0.119525,-19.10734
"doxy",15,0.033537,10.59206,0.005711,2.671303,0.005711,2.671303
"oxy",8,-0.148874,-14.58018,-0.063292,-9.180339,-0.063292,-9.180339
"doxy",8,-0.155797,-23.79356,0.052794,11.94137,0.052794,11.94137
"oxy",16,-0.101675,-12.65311,-0.051592,-9.508909,-0.051592,-9.508909
"doxy",16,-0.008098,-1.343053,0.108678,26.69453,0.108678,26.69453
